SYMBOL,COMPANY_NAME
CREDITACC,Credit Access Grameen Limited
COMSYN,Comfort Synth Limited
BALAJEE,Balaji Amines Limited
BOSCHLTD,Bosch Limited
AARVI,Aarvi Encon Limited
CHOICEIN,Choice International Limited
ASHAPURMIN,Ashapura Minechem Limited
ATHERENERG,Ather Energy Limited
ARVINDFASN,Arvind Fashions Limited
APOLLO,Apollo Tyres Limited
AJAXENGG,Ajax Engineering Limited
CGPOWER,CG Power and Industrial Solutions Limited
DALBHARAT,Dalmia Bharat Limited
ASIANENE,Asian Energy Services Limited
COFFEEDAY,Coffee Day Enterprises Limited
GODFRYPHLP,Godfrey Phillips India Limited
LTF,L&T Finance Holdings Limited
NAVA,Nava Bharat Ventures Limited
ASTERDM,Aster DM Healthcare Limited
PGHL,Procter & Gamble Hygiene and Health Care Limited
DABUR,Dabur India Limited
BRITANNIA,Britannia Industries Limited
COLPAL,Colgate-Palmolive (India) Limited
MARICO,Marico Limited
GODREJCP,Godrej Consumer Products Limited
ALKEM,Alkem Laboratories Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
BIOCON,Biocon Limited
LUPIN,Lupin Limited
AUROPHARMA,Aurobindo Pharma Limited
NATIONALUM,National Aluminium Company Limited
JINDALSTEL,Jindal Steel & Power Limited
WELCORP,Welspun Corp Limited
VEDL,Vedanta Limited
HINDCOPPER,Hindustan Copper Limited
TVSMOTOR,TVS Motor Company Limited
APOLLOTYRE,Apollo Tyres Limited
MRF,MRF Limited
ASHOKLEY,Ashok Leyland Limited
RELAXO,Relaxo Footwears Limited
LALPATHLAB,Dr. Lal PathLabs Limited
GOODLUCK,Goodluck India Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
MAHSCOOTER,Maharashtra Scooters Limited
ESILVER,E-Silver Limited
SILVERIETF,Silver ETF
INDIASHLTR,India Shelter Finance Corporation Limited
GARUDA,Garuda Construction Limited
RBLBANK,RBL Bank Limited
HBLENGINE,HBL Power Systems Limited
HINDALCO,Hindalco Industries Limited
TATAMOTORS,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TATASTEEL,Tata Steel Limited
INFY,Infosys Limited
TCS,Tata Consultancy Services Limited
WIPRO,Wipro Limited
HCLTECH,HCL Technologies Limited
TECHM,Tech Mahindra Limited
RELIANCE,Reliance Industries Limited
ONGC,Oil and Natural Gas Corporation Limited
IOC,Indian Oil Corporation Limited
BPCL,Bharat Petroleum Corporation Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
ITC,ITC Limited
HDFC,Housing Development Finance Corporation Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
AXISBANK,Axis Bank Limited
SBIN,State Bank of India
KOTAKBANK,Kotak Mahindra Bank Limited
BAJFINANCE,Bajaj Finance Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
HEROMOTOCO,Hero MotoCorp Limited
EICHERMOT,Eicher Motors Limited
M&M,Mahindra & Mahindra Limited
MARUTI,Maruti Suzuki India Limited
BHARTIARTL,Bharti Airtel Limited
IDEA,Vodafone Idea Limited
ZEEL,Zee Entertainment Enterprises Limited
SUNTV,Sun TV Network Limited
POWERGRID,Power Grid Corporation of India Limited
NTPC,NTPC Limited
ADANIENT,Adani Enterprises Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADANITRANS,Adani Transmission Limited
ADANIGREEN,Adani Green Energy Limited
ADANIGAS,Adani Gas Limited
ULTRACEMCO,UltraTech Cement Limited
SHREECEM,Shree Cement Limited
RAMCOCEM,Ramco Cements Limited
ACC,ACC Limited
AMBUJACEM,Ambuja Cements Limited
JSWSTEEL,JSW Steel Limited
SAIL,Steel Authority of India Limited
TATACONSUM,Tata Consumer Products Limited
NESTLEIND,Nestle India Limited
UBL,United Breweries Limited
UNIONBANK,Union Bank of India
PUNJABNBK,Punjab National Bank
BANKBARODA,Bank of Baroda
CANBK,Canara Bank
PNB,Punjab National Bank
IDFCFIRSTB,IDFC First Bank Limited
FEDERALBNK,Federal Bank Limited
KARURVYSYA,Karur Vysya Bank Limited
SOUTHBANK,South Indian Bank Limited
UCOBANK,UCO Bank Limited
CENTRALBK,Central Bank of India
INDIANB,Indian Bank
BANKINDIA,Bank of India
ORIENTBANK,Oriental Bank of Commerce
ALLAHABANK,Allahabad Bank
SYNDICATE,Syndicate Bank
CORPBANK,Corporation Bank
ANDHRABANK,Andhra Bank
VIJAYABANK,Vijaya Bank
DHANLAXMI,Dhanlaxmi Bank Limited
JAMMU,The Jammu & Kashmir Bank Limited
KARNATAKA,Karnataka Bank Limited
LAKSHVILAS,Lakshmi Vilas Bank Limited
DCBBANK,DCB Bank Limited
RATNABANK,Ratnabhumi Capital Limited
