SYMBOL,SERIES,SECURITY,HIGH/LOW
1015SCL28,NR,SEC RE NCD 10.15% SR VII,H
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
645GS2029,GS,GOI LOAN 6.45% 2029,H
772GS2055,GS,GOI LOAN 7.72% 2055,H
ABINFRA,EQ,A B INFRABUILD LIMITED,H
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,H
ANONDITA,ST,ANONDITA MEDICARE LIMITED,H
ARISTO,SM,ARISTO BIO T AND LIFESC L,H
ARSHIYA,BZ,ARSHIYA LIMITED,H
ARVINDPORT,SM,ARVIND PORT AND INFRA LTD,H
ATLANTAA,BE,ATLANTAA LIMITED,H
AURIGROW,EQ,AURI GROW INDIA LIMITED,H
AXISCADES,BE,AXISCADES TECH LTD,H
BLUEDART,EQ,BLUE DART EXPRESS LTD,H
CAPTRUST,EQ,CAPITAL TRUST LIMITED,H
CEREBRAINT,BZ,CEREBRA INT TECH LTD,H
CHANDAN,ST,CHANDAN HEALTHCARE LTD,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
CYBERPP,X1,CYBERMEDIA RS.5 PPD UP,H
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,H
DRONE,SM,DRONE DESTINATION LIMITED,H
EMAMIREAL,EQ,EMAMI REALTY LIMITED,H
EUROTEXIND,EQ,EUROTEX INDUSTRIES LTD,H
FELDVR,BZ,FUTURE ENTERPRISES LTD,H
FLFL,BZ,FUT LIFESTYLE FASH LTD,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
GATECH,EQ,GACM TECHNOLOGIES LIMITED,H
GATECHDVR,EQ,GACM TECHNOLOGIES LIMITED,H
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,H
GLFL,BE,GUJARAT LEASE FINANCING L,H
GUJAPOLLO,BE,GUJ. APOLLO IND. LTD.,H
HBSL,EQ,HB STOCKHOLDINGS LIMITED,H
HNGSNGBEES,EQ,NIP IND ETF HANGSENG BEES,H
INDOTHAI,BE,INDO THAI SEC LTD,H
INFOBEAN,EQ,INFOBEANS TECHNO. LTD.,H
ITTL,ST,INNOVATIVE TYRE & TUBE LT,H
IWARE,ST,IWARE SUPPLYCHAIN SER LTD,H
JFLLIFE,SM,JFL LIFE SCIENCES LIMITED,H
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,H
LASA,BE,LASA SUPERGENERICS LTD,H
LCCINFOTEC,EQ,LCC INFOTECH LTD,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MAKS,SM,MAKS ENERGY SOL INDIA LTD,H
MAL,SM,MANGALAM ALLOYS LIMITED,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MEGAFLEX,SM,MEGA FLEX PLASTICS LTD,H
MEGASOFT,EQ,MEGASOFT LTD,H
MEGASTAR,EQ,MEGASTAR FOODS LIMITED,H
MEP,BZ,MEP INFRA. DEVELOPERS LTD,H
MONQ50,EQ,MOTILALAMC - MONQ50,H
MOXSH,SM,MOXSH OVERSEAS EDUCON LTD,H
NECLIFE,BE,NECTAR LIFESCIENCES LTD.,H
NORBTEAEXP,BE,NORBEN TEA &EXPORTS LTD,H
OMKARCHEM,BZ,OMKAR SPL CHEM LTD,H
PASUPTAC,EQ,PASUPATI ACRYLON LIMITED,H
PPAP,EQ,PPAP AUTOMOTIVE LIMITED,H
PRAENG,BE,PRAJAY ENG. SYN. LTD.,H
PRECOT,EQ,PRECOT LIMITED,H
PREMIER,BE,PREMIER LIMITED,H
PROZONER,BE,PROZONE REALTY LIMITED,H
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,H
REFRACTORY,SM,REFRACTORY SHAPES LIMITED,H
RELIABLE,BE,RELIABLE DATA SERVICE LTD,H
RHFL,BZ,RELIANCE HOME FINANCE LTD,H
RICHA,SM,RICHA INFO SYSTEMS LTD,H
SAAKSHI,ST,SAAKSHI MEDTEC N PANELS L,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SAVY,SM,SAVY INFRA AND LOGI LTD,H
SETCO,EQ,SETCO AUTOMOTIVE LTD,H
SEYAIND,BE,SEYA INDUSTRIES LIMITED,H
SHAH,EQ,SHAH METACORP LIMITED,H
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,H
SHANTHALA,SM,SHANTHALA FMCG PRODUCTS L,H
SHUBHLAXMI,SM,SHUBHLAXMI JEWEL ART LTD,H
SIDDHIKA,SM,SIDDHIKA COATINGS LIMITED,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SKMEGGPROD,BE,SKM EGG PROD-ROLL SETT,H
SMLISUZU,EQ,SML ISUZU LIMITED,H
SOMATEX,BE,SOMA TEXTILEI NDUSTRIES L,H
SRPL,BZ,SHREE RAM PROTEINS LTD.,H
STALLION,BE,STALLION IND FLUOROCHEM L,H
TAKE,BE,TAKE SOLUTIONS LTD,H
TANKUP,ST,TANKUP ENGINEERS LIMITED,H
TARAPUR,BE,TARAPUR TRANSFORMERS LTD,H
TECHD,ST,TECHD CYBERSECURITY LTD,H
TECHERA,ST,TECHERA ENGINEER (IND) L,H
TECILCHEM,BE,TECIL CHEMICALS,H
TRIGYN,BE,TRIGYN TECHNOLOGIES LTD,H
TRUST,ST,TRUST FINTECH LIMITED,H
VITAL,SM,VITAL CHEMTECH LIMITED,H
WALCHANNAG,EQ,WALCHANDNAGAR INDUSTRIES,H
WINSOME,BZ,WINSOME YARNS LIMITED,H
YAARI,BE,YAARI DIGI INT SER LTD,H
ZIMLAB,EQ,ZIM LABORATORIES LIMITED,H
695GS2061,GS,GOI LOAN  6.95% 2061,L
AGUL,SM,A G UNIVERSAL LIMITED,L
AKI,EQ,AKI INDIA LIMITED,L
AKIKO,ST,AKIKO GLOBAL SERVICES L,L
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,L
ARTNIRMAN,EQ,ART NIRMAN LIMITED,L
ASPIRE,SM,ASPIRE & INNOVATIVE ADV L,L
CONTI,SM,CONTINENTAL SEED CHEM LTD,L
DELPH-RE,BE,ELPHI WORLD MONEY LTD,L
EMKAY,BE,EMKAY GLOBAL FIN SERV LTD,L
EXCEL,BE,EXCEL REALTY N INFRA LTD,L
FEL,BZ,FUTURE ENTERPRISES LTD,L
GFLLIMITED,BE,GFL LIMITED,L
GOLDENTOBC,BZ,GOLDEN TOBACCO LIMITED,L
GRCL,SM,GAYATRI RUBB AND CHEM LTD,L
GSTL,SM,GLOBESECURE TECHNO LTD,L
GTECJAINX,EQ,G-TEC JAINX EDUCATION LTD,L
GUJRAFFIA,BE,GUJARAT RAFFIA INDUST LTD,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HOLMARC,SM,HOLMARC OPTO MECHATRO L,L
HYBRIDFIN,BE,HYBRID FINANCIAL SERVICE,L
ISHAN,SM,ISHAN INTERNATIONAL LTD,L
ITTL,ST,INNOVATIVE TYRE & TUBE LT,L
JALAN,SM,JALAN TRANSOLU. INDIA LTD,L
KCK,ST,KCK INDUSTRIES LTD,L
KICL,BE,KALYANI INVEST CO LTD,L
KKVAPOW,SM,KKV AGRO POWERS LTD.,L
LRRPL,SM,LEAD REC AND RUB PROD LTD,L
MANAV,ST,MANAV INFRA PROJECTS LTD,L
MASKINVEST,BE,MASK INVESTMENTS LIMITED,L
MCON,SM,MCON RASAYAN INDIA LTD,L
MEDIORG,SM,MEDICAMEN ORGANICS LTD,L
NEWJAISA,ST,NEWJAISA TECHNOLOGIES LTD,L
NIRMAN,SM,NIRMAN AGRI GENTICS LTD,L
NSIL,BE,NALWA SONS INVESTMENT LTD,L
PILANIINVS,BE,PILANI INV & IND COR LTD,L
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,L
SADHNANIQ,BE,SADHANA NITROCHEM LIMITED,L
SANGANI,SM,SANGANI HOSPITALS LIMITED,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SCML,ST,SHARP CHUCKS N MACHINES L,L
SELMC,EQ,SEL MANUFACTURING CO LTD,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SHRIAHIMSA,ST,SHRI AHIMSA NATURALS LTD,L
SHUBHLAXMI,SM,SHUBHLAXMI JEWEL ART LTD,L
SIKKO,BE,SIKKO INDUSTRIES LIMITED,L
SIMBHALS,BZ,SIMBHAOLI SUGARS LTD.,L
SITINET,BZ,SITI NETWORKS LIMITED,L
TAKE,BE,TAKE SOLUTIONS LTD,L
TECILCHEM,BE,TECIL CHEMICALS,L
TERASOFT,BE,TERA SOFTWARE LIMITED,L
THESL,SM,THINKING HATS ENTER SOL L,L
TRANSWIND,SM,TRANSWIND INFRA LIMITED,L
URAVIDEF,EQ,URAVI DEFENCE &TECH LTD,L
VERTEXPLUS,ST,VERTEXPLUS TECHNOLOGIES L,L
VIAZ,ST,VIAZ TYRES LIMITED,L
WINSOME,BZ,WINSOME YARNS LIMITED,L
YESBANK,T0,YES BANK LIMITED,L
ZEELEARN,EQ,ZEE LEARN LIMITED,L
