"Symbol","Technical_Score","Current_Price","Price_Change","Price_Change_Pct","Data_Points","Analysis_Time","trend_score","momentum_score","volume_score","support_resistance_score","volatility_score"
"DRREDDY",80,1213,2.2,0.18,35,"2025-08-11 11:07",90,85,65,55,90
"BPCL",74,319.85,0.75,0.24,35,"2025-08-11 11:06",90,85,35,55,90
"BAJAJ-AUTO",72.5,8224,-1,-0.01,35,"2025-08-11 11:06",90,60,50,85,90
"NTPC",71.2,335.05,0.65,0.19,35,"2025-08-11 11:07",90,72.5,35,65,90
"TECHM",65,1482.4,2.8,0.19,35,"2025-08-11 11:08",80,60,35,75,90
"HDFCLIFE",64,759.95,-0.5,-0.07,35,"2025-08-11 11:07",75,52.5,60,55,90
"HCLTECH",62.2,1475.7,1.6,0.11,35,"2025-08-11 11:07",90,52.5,10,85,90
"BAJAJFINSV",62,1919.2,2.1,0.11,35,"2025-08-11 11:06",70,65,25,85,90
"POWERGRID",58,284.95,0.25,0.09,35,"2025-08-11 11:07",50,75,35,65,90
"EICHERMOT",56,5673,15.5,0.27,35,"2025-08-11 11:07",60,60,25,75,90
"TITAN",54.8,3460,2.7,0.08,35,"2025-08-11 11:08",65,40,35,85,90
"ITC",54.5,414.15,-0.1,-0.02,35,"2025-08-11 11:07",80,30,25,75,100
"COALINDIA",53.8,378.95,-0.2,-0.05,35,"2025-08-11 11:07",65,40,35,75,90
"MARUTI",48,12576,-4,-0.03,35,"2025-08-11 11:07",45,52.5,30,60,90
"ONGC",47.2,233.44,0.34,0.15,35,"2025-08-11 11:07",45,50,25,65,100
"ADANIPORTS",42.2,1325,-0.1,-0.01,35,"2025-08-11 11:06",20,57.5,50,35,90
"JSWSTEEL",40.2,1048,-1.5,-0.14,35,"2025-08-11 11:07",10,62.5,50,35,90
"TCS",38.5,3031.2,-3.5,-0.12,35,"2025-08-11 11:08",20,40,35,75,100
"CIPLA",38.2,1485.8,0.7,0.05,35,"2025-08-11 11:06",35,30,25,75,90
"TATASTEEL",36,157.95,-0.03,-0.02,35,"2025-08-11 11:08",20,40,25,75,90
"HEROMOTOCO",34.2,4593.7,-5.7,-0.12,35,"2025-08-11 11:07",25,40,25,40,90
"BRITANNIA",34,5387,2,0.04,35,"2025-08-11 11:06",10,25,75,35,90
"GRASIM",33.8,2692,8.3,0.31,35,"2025-08-11 11:07",10,57.5,25,35,90
"TATACONSUM",33,1049.2,-1.8,-0.17,35,"2025-08-11 11:08",20,30,35,55,90
"ADANIENT",32.8,2179,0.4,0.02,35,"2025-08-11 11:06",10,37.5,50,35,90
"HINDUNILVR",31.5,2498.6,-1.4,-0.06,35,"2025-08-11 11:07",0,45,50,35,90
"WIPRO",31.5,239.33,0.33,0.14,35,"2025-08-11 11:08",10,30,55,35,90
"INFY",31.2,1423.1,2.1,0.15,35,"2025-08-11 11:07",10,42.5,25,55,90
"SUNPHARMA",31.2,1586.9,0.3,0.02,35,"2025-08-11 11:08",20,37.5,15,55,90
"SBILIFE",31,1837.8,4.5,0.25,35,"2025-08-11 11:07",0,60,25,35,90
"HINDALCO",30,674,1.4,0.21,35,"2025-08-11 11:07",10,45,25,35,90
"LT",28.5,3610,7.4,0.21,35,"2025-08-11 11:07",0,50,25,35,100
"LTIM",24,4992,-12.5,-0.25,35,"2025-08-11 11:07",0,30,25,55,90
"NESTLEIND",23,1096.5,2.1,0.19,35,"2025-08-11 11:07",0,45,25,0,90
"APOLLOHOSP",22,7084.5,3,0.04,35,"2025-08-11 11:06",10,25,15,35,90
"ULTRACEMCO",20.5,12157,7,0.06,35,"2025-08-11 11:08",0,30,15,35,100
"ASIANPAINT",20,2476,1.1,0.04,35,"2025-08-11 11:06",10,30,15,0,90
"BHARTIARTL",20,1858.9,2,0.11,35,"2025-08-11 11:06",0,45,10,0,90
"DIVISLAB",17,5914.5,7,0.12,35,"2025-08-11 11:07",0,25,25,0,90
"TATAMOTORS",15,630.65,-3.55,-0.56,35,"2025-08-11 11:08",0,25,15,0,90
"M&M",14,3140,0.2,0.01,35,"2025-08-11 11:07",0,25,10,0,90
"RELIANCE",11,1366.2,-0.3,-0.02,35,"2025-08-11 11:07",0,5,25,0,90
