"symbol","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","processed_date","processing_batch","batch_number","PROFIT_YOY_PCT","SALES_REPORTED_YOY_PCT","MARGIN_PP_CHANGE","PE_TTM","CFO_YOY_PCT","DEBT_YOY_PCT","RATIOS_PERIOD"
"20MICRONS",47.88,50,33.12,56.74,55,"2026-03-30","20260330_1143",1,6,2,NA,8.28,-35,-1.21212121212121,"2026-03-30"
"360ONE",61.86,63.26,71,52.79,55,"2026-03-30","20260330_1144",1,-53,40,NA,176,-198.612862547289,23.34229390681,"2026-03-30"
"63MOONS",60.2,63.33,64,53.1,55,"2026-03-30","20260330_1145",1,15,190,NA,52.7,-124.113475177305,66.6666666666667,"2026-03-30"
"AADHARHFC",52.83,51.19,53,54.29,55,"2026-03-30","20260330_1146",1,20,19,NA,18.6,-18.527222875049,8.0046503616948,"2026-03-30"
"AARTIDRUGS",53.09,51.3,51,57.83,55,"2026-03-30","20260330_1147",1,41,7,NA,15.9,-34.7181008902077,-6.82926829268293,"2026-03-30"
"AARTIIND",53.47,55.48,49.17,53.7,55,"2026-03-30","20260330_1147",1,-1,13,NA,39.8,10.6125970664366,3.24844074844075,"2026-03-30"
"AARTIPHARM",53.99,57.61,45.83,56.17,55,"2026-03-30","20260330_1148",1,-6,5,NA,24.9,84.7826086956522,59.5641646489104,"2026-03-30"
"AAVAS",68.51,74.29,78,55.24,55,"2026-03-30","20260330_1149",1,11,15,NA,13.8,17.0414792603698,23.1841909023117,"2026-03-30"
"ABB",62.8,57.17,77,62.17,55,"2026-03-30","20260330_1150",1,-11,8,NA,75.9,-8.40840840840841,63.4615384615385,"2026-03-30"
"ABCAPITAL",58.09,65.43,51.67,53.75,55,"2026-03-30","20260330_1151",1,5,38,NA,25.8,20.0585862466385,11.8113835539144,"2026-03-30"
"ABDL",53.22,61.52,35,58.04,55,"2026-03-30","20260330_1152",1,146,13,NA,37.9,-200,16.6850828729282,"2026-03-30"
"ABREL",59.93,54.57,73,58.04,55,"2026-03-30","20260330_1153",1,-17,-33,NA,84.3,-200,9.86591955173104,"2026-03-30"
