MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AJ,990SCFL26,SEC RE NCD SR.VI,      1250.00,      1160.80,      1161.00,      1160.80,      1161.00,                     2321.80,2, ,2,      1261.00,      1060.00
N,AK,965SCL28,SEC RE NCD 9.65% SR.VII,       618.80,       626.00,       626.00,       626.00,       626.00,                      626.00,1, ,1,       685.00,       500.00
N,AN,971SCL28,SEC RE NCD 9.71% SR.VIII,       562.85,       576.92,       576.92,       570.00,       570.00,                     1146.92,2, ,2,       949.10,       560.10
N,N0,1025VCCL28,VCCL 10.25% 2028,     97000.00,     95700.00,     95700.00,     95000.00,     95000.00,                  1052000.00,11, ,2,     97000.00,     95000.00
N,N0,113ESFB31,ESFB 11.3% 2031 SR 2,    101285.36,    100350.00,    100350.00,    100350.00,    100350.00,                   100350.00,1, ,1,    101285.36,     99504.02
N,N0,12AFIL27,AFIL 12% 2027 SR 1,     10000.00,      9601.00,      9602.00,      9601.00,      9601.00,                   172819.00,18, ,4,     10000.00,      9500.00
N,N0,12AFIL28,AFIL 12% 2028,      9879.00,      9893.00,      9893.00,      9893.00,      9893.00,                    19786.00,2, ,2,      9900.00,      9850.00
N,N0,12VCCL29B,VCCL 12% 2029,     98000.00,     98500.00,     98500.00,     98500.00,     98500.00,                    98500.00,1, ,1,    103900.00,     96900.00
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,    101999.98,    101050.00,    101050.00,    100800.00,    100800.66,                  1009202.00,10, ,9,    102497.54,    100170.00
N,N0,930APMD29,APMD 9.30% 2029 STRPP C,    102159.56,    102001.00,    102001.00,    101850.00,    101850.00,                   305850.98,3, ,3,    103283.47,    100501.00
N,N0,930APMD32,APMD 9.30% 2032 STRPP F,    102297.78,    102910.00,    102910.00,    102910.00,    102910.00,                   102910.00,1, ,1,    103700.00,    100000.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1130.00,      1129.50,      1130.00,      1129.50,      1130.00,                    11297.50,10, ,2,      1130.00,      1003.01
N,N1,1015UCL26,SEC RE NCD 10.15% SR I,       996.51,       996.51,      1009.00,       996.51,      1009.00,                    27130.59,27, ,2,      1029.00,       855.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,       998.50,       997.00,       997.00,       997.00,       997.00,                      997.00,1, ,1,      1050.00,       850.00
N,N1,78ABCL33,ABCL 7.8% SR V,      1020.00,       994.50,      1016.00,       994.50,      1016.00,                     4021.00,4, ,2,      1040.00,       899.00
