Date,Open,High,Low,Close,Volume
2021-08-26,72.5546,72.5546,72.5546,72.5546,0
2021-08-27,72.5546,72.5546,72.5546,72.5546,0
2021-08-30,75.447,75.496,72.8488,72.8488,13200
2021-08-31,72.8488,72.8488,72.8488,72.8488,0
2021-09-01,69.9073,69.9073,69.8583,69.8583,2400
2021-09-02,69.8583,69.8583,69.8583,69.8583,0
2021-09-03,69.8583,73.1429,69.8583,70.5937,4800
2021-09-06,70.5937,75.2019,70.5937,74.6626,7200
2021-09-07,74.4665,74.4665,74.4665,74.4665,1200
2021-09-08,71.7212,71.7212,71.7212,71.7212,1200
2021-09-09,77.9472,77.9472,77.9472,77.9472,1200
2021-09-13,77.9472,77.9472,77.9472,77.9472,0
2021-09-14,79.4179,79.4179,77.8982,77.8982,3600
2021-09-15,73.5841,77.1138,72.5546,77.1138,15600
2021-09-16,77.1138,77.1138,77.1138,77.1138,0
2021-09-17,73.0939,73.0939,69.6132,70.6427,30000
2021-09-20,70.5937,70.5937,68.6327,70.5447,4800
2021-09-21,70.5447,70.5447,70.5447,70.5447,0
2021-09-22,70.5937,71.6232,67.6523,67.6523,8400
2021-09-23,67.9972,68.0957,67.9972,68.0957,3600
2021-09-24,68.4899,72.9245,68.4899,72.9245,4800
2021-09-27,68.9827,72.7767,67.1103,72.7767,4800
2021-09-28,72.7274,72.7767,69.1305,72.7767,12000
2021-09-29,75.8809,80.0199,75.8809,80.0199,43200
2021-09-30,87.7065,88.0022,82.8777,83.8632,97200
2021-10-01,87.608,87.608,77.6055,83.8632,38419
2021-10-04,79.8721,86.721,78.8866,83.5676,16413
2021-10-05,85.7356,85.7356,77.4577,81.4981,13186
2021-10-06,81.7937,83.2719,77.5562,79.675,12837
2021-10-07,79.8228,80.7097,73.5158,74.6984,26687
2021-10-08,80.6112,80.6112,73.7129,76.9157,24130
2021-10-11,77.1128,77.8519,74.0085,74.6984,15145
2021-10-12,76.3737,77.7533,73.91,76.3244,9263
2021-10-13,77.8519,77.8519,74.2549,76.7678,8509
2021-10-14,79.133,79.133,74.1564,75.0925,7358
2021-10-18,75.0925,77.3591,73.4665,76.078,6216
2021-10-19,76.7186,76.7186,71.1507,73.2202,7122
2021-10-20,75.7824,75.7824,69.1305,70.313,5927
2021-10-21,71.0029,71.8405,68.9826,69.9188,5216
2021-10-22,73.91,73.91,67.8986,69.229,14648
2021-10-25,68.7856,68.9334,65.1393,67.2088,4039
2021-10-26,66.2726,71.3478,66.2234,70.5594,5386
2021-10-27,63.7597,71.742,63.7597,68.9827,4550
2021-10-28,68.9334,70.9043,67.5537,69.0812,753
2021-10-29,73.8607,73.8607,57.1571,62.3308,23444
2021-11-01,68.9827,68.9827,60.8033,63.9075,10234
2021-11-02,61.3946,67.9972,61.3946,65.6321,3146
2021-11-03,70.9536,71.0521,62.2322,66.9132,2598
2021-11-04,68.8841,68.8841,67.7508,68.145,2038
2021-11-08,70.8058,70.8058,65.3364,68.4899,5405
2021-11-09,69.9188,71.9391,68.4899,69.9681,6476
2021-11-10,71.2,71.8405,67.5045,70.3623,13355
2021-11-11,70.313,72.826,69.9681,72.5796,4936
2021-11-12,72.9245,72.9245,70.0667,72.3825,3121
2021-11-15,72.9245,86.6225,72.9245,83.0256,78529
