date,net_ad,oscillator,summation,signal,advances,declines,adv_volume,dec_volume,trin,trin_5d,trin_signal,trin_5d_signal,divergence,nifty500_close,generated_at
2025-06-10,27,0.0,0.0,NEUTRAL,448,421,2009505458.0,961454522.0,0.51,0.51,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-11,7,-1.0,-1.0,BEARISH_CROSS,438,431,1474320521.0,1324500503.0,0.91,0.71,NEUTRAL,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-12,-554,-29.9,-31.0,NEUTRAL,158,712,323895836.0,1965841141.0,1.35,0.92,BEARISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-13,-338,-43.7,-75.0,NEUTRAL,266,604,655162690.0,1683776159.0,1.13,0.98,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-16,80,-34.3,-109.0,NEUTRAL,475,395,1423049783.0,630211874.0,0.53,0.89,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-17,-356,-47.9,-157.0,NEUTRAL,257,613,508317993.0,1292721856.0,1.07,1.0,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-18,-250,-54.1,-211.0,NEUTRAL,310,560,670721548.0,1192962865.0,0.98,1.01,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-19,-622,-77.6,-288.0,OVERSOLD,124,746,505651945.0,1576679269.0,0.52,0.85,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-06-20,353,-48.6,-337.0,NEUTRAL,612,259,2607024375.0,359230525.0,0.33,0.69,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-23,-1,-41.3,-378.0,NEUTRAL,435,436,1310427244.0,686311367.0,0.52,0.68,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-24,341,-17.7,-396.0,NEUTRAL,606,265,1716185718.0,573123496.0,0.76,0.62,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-25,456,8.3,-388.0,BULLISH_CROSS,664,208,1700599960.0,447517254.0,0.84,0.59,NEUTRAL,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-26,81,11.7,-376.0,NEUTRAL,477,396,1535444943.0,750845264.0,0.59,0.61,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-27,141,17.6,-358.0,NEUTRAL,507,366,2000471671.0,961211408.0,0.67,0.68,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-06-30,185,24.7,-334.0,NEUTRAL,529,344,1534776979.0,581521234.0,0.58,0.69,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-01,-81,17.4,-316.0,NEUTRAL,396,477,1288871645.0,786081492.0,0.51,0.64,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-02,-204,4.9,-311.0,NEUTRAL,335,539,971472910.0,1128888535.0,0.72,0.61,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-03,-59,1.5,-310.0,NEUTRAL,408,467,971735434.0,1000264966.0,0.9,0.68,NEUTRAL,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-04,65,4.7,-305.0,NEUTRAL,470,405,1062049811.0,652910264.0,0.71,0.68,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-07,-267,-9.1,-314.0,BEARISH_CROSS,304,571,639802635.0,835123053.0,0.69,0.71,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-08,-75,-11.3,-326.0,NEUTRAL,400,475,1503051129.0,605005390.0,0.34,0.67,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-09,-3,-9.6,-335.0,NEUTRAL,436,439,967827706.0,903094583.0,0.93,0.71,NEUTRAL,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-10,-116,-13.7,-349.0,NEUTRAL,380,496,1000305851.0,878537373.0,0.67,0.67,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-11,-372,-29.9,-379.0,NEUTRAL,252,624,824712670.0,1062093833.0,0.52,0.63,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-14,14,-24.3,-403.0,NEUTRAL,445,431,1772341794.0,620970315.0,0.36,0.56,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-15,322,-4.0,-407.0,NEUTRAL,599,277,1280507288.0,981814233.0,1.66,0.83,BEARISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-16,82,1.3,-406.0,BULLISH_CROSS,479,397,1168921190.0,891960413.0,0.92,0.83,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-17,-94,-2.9,-409.0,BEARISH_CROSS,391,485,925086761.0,1148795544.0,1.0,0.89,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-18,-362,-19.9,-428.0,NEUTRAL,257,619,919879831.0,1071084901.0,0.48,0.88,VERY_BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-21,3,-16.0,-445.0,NEUTRAL,440,437,1044470628.0,863148646.0,0.83,0.98,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-22,-198,-22.7,-467.0,NEUTRAL,340,538,1085135744.0,912614541.0,0.53,0.75,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-23,41,-16.4,-484.0,NEUTRAL,460,419,1486213725.0,541979238.0,0.4,0.65,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-24,-316,-28.8,-512.0,NEUTRAL,282,598,881171543.0,1031309186.0,0.55,0.56,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-25,-636,-55.2,-568.0,NEUTRAL,122,758,171733043.0,1572535622.0,1.47,0.76,BEARISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-28,-472,-69.3,-637.0,NEUTRAL,204,676,598819518.0,1304318961.0,0.66,0.72,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-07-29,360,-39.4,-676.0,NEUTRAL,620,260,1361829839.0,405126496.0,0.71,0.76,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-30,-16,-32.5,-709.0,NEUTRAL,432,448,776390243.0,863506992.0,1.07,0.89,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-07-31,-383,-44.7,-753.0,NEUTRAL,249,632,814337133.0,1310165148.0,0.63,0.91,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-01,-520,-61.8,-815.0,NEUTRAL,181,701,660634089.0,1228172916.0,0.48,0.71,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-04,280,-36.1,-851.0,NEUTRAL,581,301,1432480825.0,285238752.0,0.38,0.65,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-05,-216,-38.8,-890.0,NEUTRAL,333,549,654667687.0,855993165.0,0.79,0.67,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-06,-457,-52.9,-943.0,NEUTRAL,213,670,585808466.0,1007834419.0,0.55,0.57,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-07,-29,-43.3,-986.0,NEUTRAL,427,456,1280478435.0,830939873.0,0.61,0.56,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-08,-455,-56.2,-1043.0,NEUTRAL,214,669,330329081.0,1187811490.0,1.15,0.7,NEUTRAL,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-11,127,-37.8,-1080.0,NEUTRAL,505,378,1011205447.0,525438544.0,0.69,0.76,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-12,-95,-33.1,-1113.0,NEUTRAL,394,489,624035504.0,827347082.0,1.07,0.81,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-13,183,-14.9,-1128.0,NEUTRAL,533,350,1259559195.0,536640184.0,0.65,0.83,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-14,-263,-21.6,-1150.0,NEUTRAL,310,573,876591716.0,840833256.0,0.52,0.82,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-18,353,3.6,-1146.0,BULLISH_CROSS,619,266,1470421197.0,633410594.0,1.0,0.79,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-19,309,22.9,-1123.0,NEUTRAL,597,288,2014242316.0,341965017.0,0.35,0.72,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-20,32,25.4,-1098.0,NEUTRAL,459,427,1058929072.0,648726114.0,0.66,0.64,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-21,-56,23.1,-1075.0,NEUTRAL,415,471,821506455.0,1390638658.0,1.49,0.8,BEARISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-22,-242,11.7,-1063.0,NEUTRAL,322,564,853479540.0,1023100768.0,0.68,0.84,BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-08-25,-72,10.3,-1053.0,NEUTRAL,407,479,1305807617.0,593861309.0,0.39,0.71,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-26,-602,-17.3,-1070.0,BEARISH_CROSS,142,744,1364635850.0,1942346465.0,0.27,0.7,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-28,-445,-33.1,-1103.0,NEUTRAL,221,666,1100124087.0,1353698012.0,0.41,0.65,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-08-29,-163,-32.3,-1136.0,NEUTRAL,362,525,1186623487.0,1294723825.0,0.75,0.5,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-09-01,461,-0.2,-1136.0,NEUTRAL,674,213,1391124729.0,228215042.0,0.52,0.47,BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-09-02,244,16.4,-1119.0,BULLISH_CROSS,566,322,1392746431.0,1297422557.0,1.64,0.72,BEARISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-09-03,320,34.2,-1085.0,NEUTRAL,604,284,2635735365.0,456692056.0,0.37,0.74,VERY_BULLISH,INTERNALLY_STRONG,NONE,,2026-08-03T19:30:42
2025-09-04,-319,17.4,-1068.0,NEUTRAL,285,604,619991320.0,1993125336.0,1.52,0.96,BEARISH,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-09-05,21,19.9,-1048.0,NEUTRAL,455,434,1011809817.0,976512701.0,1.01,1.01,NEUTRAL,NEUTRAL,NONE,,2026-08-03T19:30:42
2025-09-08,64,24.1,-1024.0,NEUTRAL,477,413,1410745925.0,502795455.0,0.41,0.99,VERY_BULLISH,NEUTRAL,NONE,,2026-08-03T19:30:42
