SYMBOL,EVENT_TYPE,EVENT_DATE,PURPOSE_RAW,DETAIL,SOURCE
UCOBANK,CORPORATE_ACTION,2026-05-04,,,NSE_CORP_ACTION
JAGSNPHARM,CORPORATE_ACTION,2026-05-04,,,NSE_CORP_ACTION
HEROMOTOCO,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
J&KBANK,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
KOTHARIPET,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
KRITI,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
KRITINUT,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
LLOYDSME,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
LT,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
M&M,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
MARICO,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ONWARDTEC,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
PAUSHAKLTD,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
PFS,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PNB,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
POONAWALLA,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RAYMOND,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RAYMONDREL,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RUSHIL,RESULT_ANNOUNCEMENT,2026-05-05,Board meeting Rescheduled,Board meeting Rescheduled,NSE_EVENT_CALENDAR
SCILAL,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SHANKARA,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
SHANTIGEAR,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SHILCTECH,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SHOPERSTOP,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
SJS,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
SPANDANA,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Fund Raising,Financial Results/Fund Raising,NSE_EVENT_CALENDAR
SRF,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SUTLEJTEX,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
UBL,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
VOLTAMP,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
HEROMOTOCO,EX_DIVIDEND,2026-05-05,Dividend,Dividend,NSE_EVENT_CALENDAR
GINNIFILA,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
LLOYDSENGG,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GALLANTT,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
AVROIND,CORPORATE_ACTION,2026-05-05,,,NSE_CORP_ACTION
MINDSPACE,CORPORATE_ACTION,2026-05-05,,,NSE_CORP_ACTION
INDUSINVIT,CORPORATE_ACTION,2026-05-05,,,NSE_CORP_ACTION
AADHARHFC,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
AAVAS,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Fund Raising/Other business matters,Financial Results/Fund Raising/Other business matters,NSE_EVENT_CALENDAR
AEROFLEX,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GHCL,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BLUECOAST,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
AJANTPHARM,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
HEXT,CORPORATE_ACTION,2026-05-05,,,NSE_CORP_ACTION
COFORGE,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
DALMIASUG,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
DCW,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
EBGNG,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
EMCURE,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
EXXARO,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CIGNITITEC,RESULT_ANNOUNCEMENT,2026-05-05,Financial Results,Financial Results,NSE_EVENT_CALENDAR
POLYCAB,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
POLICYBZR,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
PAYTM,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MUTHOOTMF,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Fund Raising,Financial Results/Fund Raising,NSE_EVENT_CALENDAR
HEXT,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MEESHO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MANAKCOAT,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
KPIGREEN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
KANSAINER,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
HOMEFIRST,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
GRWRHITECH,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
GREAVESCOT,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GODREJCP,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RADICO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SPCENET,BOARD_MEETING,2026-05-06,Fund Raising/Other business matters,Fund Raising/Other business matters,NSE_EVENT_CALENDAR
VIMTALABS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
VIJIFIN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SULA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SOUTHBANK,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SNOWMAN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
SHREECEM,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
SATIN,BOARD_MEETING,2026-05-06,Fund Raising,Fund Raising,NSE_EVENT_CALENDAR
RSYSTEMS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
RSYSTEMS,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
RSWM,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
RSWM,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RML,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RML,EX_DIVIDEND,2026-05-06,Dividend,Dividend,NSE_EVENT_CALENDAR
FSL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
RAYMONDLSL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
EMUDHRA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
KPITTECH,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CINEVISTA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
CYBERMEDIA,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
ABREL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APCOTEXIND,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APTUS,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
ARVINDFASN,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
AVALON,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BAJAJ-AUTO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BAJAJ-AUTO,BUYBACK,2026-05-06,Buyback,Buyback,NSE_EVENT_CALENDAR
BHANDARI,BOARD_MEETING,2026-05-06,Other business matters,Other business matters,NSE_EVENT_CALENDAR
AFIL,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BHARATSE,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BLUESTARCO,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BRIGADE,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend/Bonus,Financial Results/Dividend/Bonus,NSE_EVENT_CALENDAR
BSOFT,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CANDC,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CAPILLARY,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CESC,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CGPOWER,RESULT_ANNOUNCEMENT,2026-05-06,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PILITA,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PIDILITIND,RESULT_ANNOUNCEMENT,2026-05-07,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
