symbol,period_label,period_end,period_type,revenue,expenses,operating_profit,opm_pct,other_income,interest,depreciation,pbt,tax_pct,pat,eps,dividend_payout_pct,source
20MICRONS,Mar 2022,2022-03-31,annual,613.0,534.0,79.0,13.0,2.0,20.0,14.0,48.0,27.0,35.0,9.8,0.0,screener
20MICRONS,Mar 2023,2023-03-31,annual,702.0,616.0,86.0,12.0,3.0,18.0,14.0,57.0,27.0,42.0,11.85,6.0,screener
20MICRONS,Mar 2024,2024-03-31,annual,777.0,672.0,106.0,14.0,2.0,16.0,14.0,77.0,27.0,56.0,15.89,8.0,screener
20MICRONS,Mar 2025,2025-03-31,annual,913.0,795.0,117.0,13.0,2.0,18.0,18.0,83.0,24.0,62.0,17.68,7.0,screener
20MICRONS,Mar 2026,2026-03-31,annual,954.0,831.0,123.0,13.0,6.0,17.0,21.0,91.0,26.0,67.0,18.94,7.0,screener
360ONE,Mar 2022,2022-03-31,annual,2072.0,915.0,1157.0,56.0,6.0,370.0,42.0,751.0,23.0,578.0,16.28,84.0,screener
360ONE,Mar 2023,2023-03-31,annual,2057.0,766.0,1291.0,63.0,5.0,399.0,46.0,850.0,23.0,658.0,18.48,373.0,screener
360ONE,Mar 2024,2024-03-31,annual,2921.0,1216.0,1705.0,58.0,4.0,643.0,57.0,1009.0,20.0,804.0,22.41,74.0,screener
360ONE,Mar 2025,2025-03-31,annual,3684.0,1292.0,2391.0,65.0,-87.0,887.0,71.0,1347.0,25.0,1015.0,25.83,23.0,screener
360ONE,Mar 2026,2026-03-31,annual,4362.0,1655.0,2707.0,62.0,116.0,1090.0,155.0,1577.0,23.0,1216.0,29.94,40.0,screener
360ONE,TTM,,annual,4621.0,1763.0,2858.0,62.0,149.0,1216.0,165.0,1627.0,,1262.0,31.11,,screener
3MINDIA,Mar 2021,2021-03-31,annual,2605.0,2345.0,259.0,10.0,25.0,2.0,62.0,220.0,26.0,162.0,144.14,0.0,screener
3MINDIA,Mar 2022,2022-03-31,annual,3336.0,2947.0,389.0,12.0,37.0,4.0,55.0,368.0,26.0,272.0,241.43,0.0,screener
3MINDIA,Mar 2023,2023-03-31,annual,3959.0,3355.0,604.0,15.0,68.0,7.0,58.0,607.0,26.0,451.0,400.37,237.0,screener
3MINDIA,Mar 2024,2024-03-31,annual,4189.0,3430.0,759.0,18.0,78.0,3.0,53.0,781.0,25.0,583.0,517.9,132.0,screener
3MINDIA,TTM,,annual,4186.0,3396.0,791.0,19.0,86.0,5.0,53.0,819.0,,611.0,542.69,,screener
5PAISA,Mar 2022,2022-03-31,annual,298.0,251.0,47.0,16.0,0.0,23.0,5.0,18.0,26.0,14.0,3.12,0.0,screener
5PAISA,Mar 2023,2023-03-31,annual,338.0,252.0,87.0,26.0,1.0,21.0,9.0,58.0,25.0,44.0,9.47,0.0,screener
5PAISA,Mar 2024,2024-03-31,annual,395.0,284.0,111.0,28.0,0.0,29.0,10.0,72.0,25.0,54.0,11.63,0.0,screener
5PAISA,Mar 2025,2025-03-31,annual,360.0,232.0,127.0,35.0,0.0,24.0,12.0,91.0,25.0,68.0,14.55,0.0,screener
5PAISA,Mar 2026,2026-03-31,annual,320.0,219.0,101.0,32.0,0.0,33.0,9.0,59.0,25.0,44.0,9.43,0.0,screener
63MOONS,Mar 2022,2022-03-31,annual,160.0,277.0,-117.0,-73.0,56.0,0.0,12.0,-74.0,1.0,-56.0,-11.54,0.0,screener
63MOONS,Mar 2023,2023-03-31,annual,290.0,317.0,-27.0,-9.0,70.0,1.0,23.0,20.0,212.0,-27.0,-3.54,-57.0,screener
63MOONS,Mar 2024,2024-03-31,annual,369.0,285.0,84.0,23.0,155.0,1.0,28.0,211.0,-1.0,210.0,48.29,4.0,screener
63MOONS,Mar 2025,2025-03-31,annual,47.0,285.0,-238.0,-509.0,221.0,1.0,29.0,-48.0,2.0,-47.0,-7.2,-17.0,screener
63MOONS,Mar 2026,2026-03-31,annual,212.0,493.0,-282.0,-133.0,279.0,1.0,33.0,-37.0,44.0,-54.0,-4.87,-41.0,screener
63MOONS,TTM,,annual,318.0,617.0,-299.0,-94.0,250.0,2.0,34.0,-85.0,,-99.0,-14.15,,screener
AADHARHFC,Mar 2022,2022-03-31,annual,1728.0,387.0,,,0.0,761.0,13.0,567.0,22.0,445.0,11.27,0.0,screener
AADHARHFC,Mar 2023,2023-03-31,annual,2043.0,507.0,,,-25.0,799.0,16.0,696.0,22.0,545.0,13.8,0.0,screener
AADHARHFC,Mar 2024,2024-03-31,annual,2587.0,619.0,,,0.0,987.0,21.0,960.0,22.0,750.0,18.99,0.0,screener
AADHARHFC,Mar 2025,2025-03-31,annual,3108.0,736.0,,,1.0,1174.0,25.0,1173.0,22.0,912.0,21.14,0.0,screener
AADHARHFC,Mar 2026,2026-03-31,annual,3673.0,869.0,,,-2.0,1364.0,32.0,1406.0,22.0,1096.0,25.15,0.0,screener
AARTIDRUGS,Mar 2022,2022-03-31,annual,2489.0,2156.0,333.0,13.0,11.0,24.0,50.0,270.0,24.0,205.0,22.14,5.0,screener
AARTIDRUGS,Mar 2023,2023-03-31,annual,2716.0,2407.0,309.0,11.0,2.0,37.0,50.0,224.0,26.0,166.0,17.96,6.0,screener
AARTIDRUGS,Mar 2024,2024-03-31,annual,2529.0,2208.0,321.0,13.0,4.0,38.0,51.0,236.0,27.0,172.0,18.65,5.0,screener
AARTIDRUGS,Mar 2025,2025-03-31,annual,2387.0,2097.0,290.0,12.0,16.0,39.0,56.0,212.0,21.0,168.0,18.42,5.0,screener
AARTIDRUGS,Mar 2026,2026-03-31,annual,2565.0,2256.0,309.0,12.0,2.0,34.0,67.0,211.0,8.0,195.0,21.36,9.0,screener
AARTIIND,Mar 2022,2022-03-31,annual,6086.0,4365.0,1720.0,28.0,1.0,102.0,246.0,1372.0,14.0,1186.0,32.71,11.0,screener
AARTIIND,Mar 2023,2023-03-31,annual,6619.0,5530.0,1089.0,16.0,1.0,168.0,310.0,611.0,11.0,545.0,15.04,17.0,screener
AARTIIND,Mar 2024,2024-03-31,annual,6371.0,5393.0,978.0,15.0,7.0,211.0,378.0,395.0,-5.0,416.0,11.49,9.0,screener
AARTIIND,Mar 2025,2025-03-31,annual,7271.0,6271.0,1000.0,14.0,16.0,275.0,434.0,307.0,-8.0,331.0,9.13,11.0,screener
AARTIIND,Mar 2026,2026-03-31,annual,8286.0,7119.0,1167.0,14.0,12.0,340.0,474.0,365.0,-15.0,419.0,11.56,9.0,screener
AARTIPHARM,Mar 2022,2022-03-31,annual,1200.0,993.0,207.0,17.0,3.0,12.0,42.0,155.0,21.0,122.0,,0.0,screener
AARTIPHARM,Mar 2023,2023-03-31,annual,1945.0,1603.0,342.0,18.0,2.0,21.0,63.0,261.0,26.0,193.0,21.35,9.0,screener
AARTIPHARM,Mar 2024,2024-03-31,annual,1853.0,1467.0,386.0,21.0,5.0,17.0,73.0,300.0,28.0,217.0,23.93,13.0,screener
AARTIPHARM,Mar 2025,2025-03-31,annual,2115.0,1651.0,464.0,22.0,10.0,27.0,87.0,361.0,24.0,272.0,30.05,17.0,screener
AARTIPHARM,Mar 2026,2026-03-31,annual,1819.0,1450.0,369.0,20.0,15.0,47.0,104.0,233.0,25.0,175.0,19.27,18.0,screener
