symbol,period_label,period_end,period_type,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,net_debt,source
20MICRONS,Mar 2022,2022-03-31,annual,18.0,234.0,123.0,140.0,514.0,207.0,5.0,9.0,293.0,514.0,114.0,screener
20MICRONS,Mar 2023,2023-03-31,annual,18.0,276.0,108.0,121.0,523.0,213.0,8.0,9.0,293.0,523.0,99.0,screener
20MICRONS,Mar 2024,2024-03-31,annual,18.0,335.0,121.0,114.0,588.0,212.0,12.0,17.0,347.0,588.0,104.0,screener
20MICRONS,Mar 2025,2025-03-31,annual,18.0,412.0,165.0,120.0,715.0,284.0,9.0,25.0,396.0,715.0,140.0,screener
20MICRONS,Mar 2026,2026-03-31,annual,18.0,466.0,156.0,117.0,756.0,296.0,12.0,19.0,428.0,756.0,137.0,screener
360ONE,Mar 2022,2022-03-31,annual,18.0,3006.0,5808.0,1903.0,10734.0,816.0,0.0,4072.0,5846.0,10734.0,1736.0,screener
360ONE,Mar 2023,2023-03-31,annual,36.0,3086.0,6784.0,1285.0,11191.0,880.0,39.0,3609.0,6663.0,11191.0,3175.0,screener
360ONE,Mar 2024,2024-03-31,annual,36.0,3414.0,9472.0,2193.0,15114.0,940.0,64.0,5948.0,8163.0,15114.0,3524.0,screener
360ONE,Mar 2025,2025-03-31,annual,39.0,7026.0,11160.0,1543.0,19768.0,1281.0,88.0,7608.0,10791.0,19768.0,3552.0,screener
360ONE,Mar 2026,2026-03-31,annual,41.0,9795.0,15931.0,1434.0,27201.0,3969.0,0.0,8842.0,14389.0,27201.0,7089.0,screener
3MINDIA,Mar 2020,2020-03-31,annual,11.0,1740.0,42.0,578.0,2371.0,306.0,7.0,0.0,2058.0,2371.0,42.0,screener
3MINDIA,Mar 2021,2021-03-31,annual,11.0,1899.0,23.0,718.0,2652.0,266.0,24.0,0.0,2362.0,2652.0,23.0,screener
3MINDIA,Mar 2022,2022-03-31,annual,11.0,2172.0,25.0,798.0,3006.0,307.0,23.0,0.0,2676.0,3006.0,25.0,screener
3MINDIA,Mar 2023,2023-03-31,annual,11.0,1666.0,27.0,1010.0,2714.0,338.0,25.0,0.0,2352.0,2714.0,27.0,screener
3MINDIA,Mar 2024,2024-03-31,annual,11.0,2136.0,18.0,1083.0,3248.0,332.0,12.0,0.0,2903.0,3248.0,18.0,screener
5PAISA,Mar 2022,2022-03-31,annual,29.0,345.0,279.0,956.0,1609.0,11.0,0.0,14.0,1583.0,1609.0,265.0,screener
5PAISA,Mar 2023,2023-03-31,annual,31.0,433.0,169.0,1009.0,1642.0,16.0,0.0,8.0,1618.0,1642.0,161.0,screener
5PAISA,Mar 2024,2024-03-31,annual,31.0,509.0,336.0,1172.0,2048.0,24.0,0.0,2.0,2021.0,2048.0,334.0,screener
5PAISA,Mar 2025,2025-03-31,annual,31.0,572.0,217.0,846.0,1667.0,20.0,0.0,2.0,1645.0,1667.0,215.0,screener
5PAISA,Mar 2026,2026-03-31,annual,31.0,618.0,379.0,879.0,1907.0,18.0,0.0,2.0,1887.0,1907.0,377.0,screener
63MOONS,Mar 2022,2022-03-31,annual,9.0,3087.0,0.0,272.0,3368.0,382.0,0.0,796.0,2190.0,3368.0,-796.0,screener
63MOONS,Mar 2023,2023-03-31,annual,9.0,3106.0,4.0,347.0,3466.0,387.0,0.0,658.0,2421.0,3466.0,-654.0,screener
63MOONS,Mar 2024,2024-03-31,annual,9.0,3338.0,5.0,294.0,3647.0,369.0,1.0,642.0,2635.0,3647.0,-637.0,screener
63MOONS,Mar 2025,2025-03-31,annual,9.0,3405.0,3.0,259.0,3677.0,350.0,0.0,540.0,2787.0,3677.0,-537.0,screener
63MOONS,Mar 2026,2026-03-31,annual,9.0,3543.0,3.0,332.0,3887.0,357.0,7.0,583.0,2940.0,3887.0,-580.0,screener
AADHARHFC,Mar 2022,2022-03-31,annual,395.0,2752.0,,554.0,14376.0,55.0,0.0,338.0,13982.0,14376.0,,screener
AADHARHFC,Mar 2023,2023-03-31,annual,395.0,3303.0,,766.0,16618.0,63.0,0.0,459.0,16095.0,16618.0,,screener
AADHARHFC,Mar 2024,2024-03-31,annual,395.0,4055.0,,683.0,19093.0,80.0,0.0,462.0,18551.0,19093.0,,screener
AADHARHFC,Mar 2025,2025-03-31,annual,431.0,5941.0,,529.0,23224.0,92.0,0.0,513.0,22618.0,23224.0,,screener
AADHARHFC,Mar 2026,2026-03-31,annual,436.0,7105.0,,1114.0,27399.0,138.0,0.0,637.0,26624.0,27399.0,,screener
AARTIDRUGS,Mar 2022,2022-03-31,annual,93.0,944.0,543.0,629.0,2208.0,690.0,77.0,19.0,1422.0,2208.0,524.0,screener
AARTIDRUGS,Mar 2023,2023-03-31,annual,93.0,1100.0,609.0,620.0,2421.0,676.0,210.0,19.0,1516.0,2421.0,590.0,screener
AARTIDRUGS,Mar 2024,2024-03-31,annual,92.0,1190.0,564.0,587.0,2432.0,811.0,261.0,20.0,1340.0,2432.0,544.0,screener
AARTIDRUGS,Mar 2025,2025-03-31,annual,91.0,1278.0,615.0,591.0,2575.0,866.0,330.0,22.0,1356.0,2575.0,593.0,screener
AARTIDRUGS,Mar 2026,2026-03-31,annual,91.0,1458.0,577.0,690.0,2815.0,1086.0,214.0,27.0,1488.0,2815.0,550.0,screener
AARTIIND,Mar 2022,2022-03-31,annual,181.0,4335.0,2587.0,748.0,7851.0,3595.0,1346.0,28.0,2882.0,7851.0,2559.0,screener
AARTIIND,Mar 2023,2023-03-31,annual,181.0,4739.0,2907.0,754.0,8581.0,4861.0,1096.0,17.0,2607.0,8581.0,2890.0,screener
AARTIIND,Mar 2024,2024-03-31,annual,181.0,5109.0,3623.0,1203.0,10115.0,5649.0,1229.0,23.0,3214.0,10115.0,3600.0,screener
AARTIIND,Mar 2025,2025-03-31,annual,181.0,5424.0,3848.0,1661.0,11114.0,6377.0,1454.0,48.0,3235.0,11114.0,3800.0,screener
AARTIIND,Mar 2026,2026-03-31,annual,181.0,5774.0,4966.0,2378.0,13299.0,6556.0,2030.0,132.0,4581.0,13299.0,4834.0,screener
AARTIPHARM,Mar 2022,2022-03-31,annual,0.25,1386.0,338.0,315.0,2040.0,782.0,187.0,32.0,1038.0,2040.0,306.0,screener
AARTIPHARM,Mar 2023,2023-03-31,annual,45.0,1513.0,215.0,470.0,2244.0,926.0,102.0,87.0,1130.0,2244.0,128.0,screener
AARTIPHARM,Mar 2024,2024-03-31,annual,45.0,1712.0,285.0,540.0,2582.0,1033.0,137.0,107.0,1305.0,2582.0,178.0,screener
AARTIPHARM,Mar 2025,2025-03-31,annual,45.0,1945.0,413.0,503.0,2906.0,1137.0,374.0,77.0,1319.0,2906.0,336.0,screener
AARTIPHARM,Mar 2026,2026-03-31,annual,45.0,2079.0,754.0,603.0,3482.0,1525.0,305.0,194.0,1457.0,3482.0,560.0,screener
AARTISURF,Mar 2022,2022-03-31,annual,8.0,128.0,162.0,105.0,402.0,173.0,52.0,0.0,178.0,402.0,162.0,screener
AARTISURF,Mar 2023,2023-03-31,annual,8.0,160.0,149.0,86.0,404.0,207.0,8.0,0.0,188.0,404.0,149.0,screener
AARTISURF,Mar 2024,2024-03-31,annual,8.0,210.0,99.0,105.0,422.0,208.0,8.0,0.0,206.0,422.0,99.0,screener
AARTISURF,Mar 2025,2025-03-31,annual,8.0,224.0,110.0,134.0,477.0,204.0,15.0,0.0,259.0,477.0,110.0,screener
AARTISURF,Mar 2026,2026-03-31,annual,8.0,236.0,104.0,168.0,517.0,204.0,41.0,0.0,272.0,517.0,104.0,screener
AARVI,Mar 2022,2022-03-31,annual,15.0,80.0,6.0,48.0,149.0,10.0,0.0,0.0,138.0,149.0,6.0,screener
AARVI,Mar 2023,2023-03-31,annual,15.0,93.0,3.0,47.0,158.0,10.0,0.0,0.0,148.0,158.0,3.0,screener
AARVI,Mar 2024,2024-03-31,annual,15.0,102.0,10.0,44.0,171.0,10.0,0.0,0.0,161.0,171.0,10.0,screener
AARVI,Mar 2025,2025-03-31,annual,15.0,111.0,27.0,61.0,213.0,18.0,0.0,6.0,190.0,213.0,21.0,screener
AARVI,Mar 2026,2026-03-31,annual,15.0,127.0,27.0,68.0,237.0,17.0,0.0,5.0,215.0,237.0,22.0,screener
AAVAS,Mar 2020,2020-03-31,annual,78.0,2020.0,,177.0,7657.0,60.0,1.0,0.0,7596.0,7657.0,,screener
AAVAS,Mar 2021,2021-03-31,annual,78.0,2322.0,,181.0,8959.0,58.0,0.0,0.0,8901.0,8959.0,,screener
AAVAS,Mar 2022,2022-03-31,annual,79.0,2728.0,,199.0,11017.0,66.0,2.0,53.0,10897.0,11017.0,,screener
AAVAS,Mar 2023,2023-03-31,annual,79.0,3191.0,,253.0,13410.0,78.0,20.0,111.0,13200.0,13410.0,,screener
AAVAS,Mar 2024,2024-03-31,annual,79.0,3694.0,,348.0,16519.0,116.0,11.0,182.0,16210.0,16519.0,,screener
ABB,Dec 2011,2011-12-31,annual,42.0,2492.0,0.0,3784.0,6319.0,1195.0,74.0,17.0,5033.0,6319.0,-17.0,screener
ABB,Dec 2012,2012-12-31,annual,42.0,2559.0,328.0,3575.0,6504.0,1234.0,117.0,17.0,5137.0,6504.0,311.0,screener
ABB,Dec 2024,2024-12-31,annual,42.0,7033.0,52.0,5264.0,12391.0,1062.0,95.0,2.0,11233.0,12391.0,50.0,screener
ABB,Dec 2025,2025-12-31,annual,42.0,7794.0,85.0,5718.0,13638.0,1195.0,116.0,2.0,12326.0,13638.0,83.0,screener
ABB,Jun 2026,2026-06-30,annual,42.0,9297.0,145.0,6252.0,15736.0,1249.0,180.0,2.0,14306.0,15736.0,143.0,screener
ABCAPITAL,Mar 2022,2022-03-31,annual,2416.0,13076.0,,66897.0,140815.0,1305.0,45.0,67355.0,72110.0,140815.0,,screener
ABCAPITAL,Mar 2023,2023-03-31,annual,2418.0,17893.0,,75304.0,180353.0,1279.0,44.0,80383.0,98647.0,180353.0,,screener
ABCAPITAL,Mar 2024,2024-03-31,annual,2600.0,24217.0,,94667.0,231623.0,1652.0,94.0,99539.0,130338.0,231623.0,,screener
ABCAPITAL,Mar 2025,2025-03-31,annual,2607.0,27782.0,,108245.0,278643.0,1929.0,122.0,112953.0,163639.0,278643.0,,screener
ABCAPITAL,Mar 2026,2026-03-31,annual,2620.0,31804.0,,121005.0,334966.0,1998.0,114.0,125116.0,207738.0,334966.0,,screener
ABDL,Mar 2022,2022-03-31,annual,47.0,357.0,863.0,988.0,2255.0,692.0,15.0,0.0,1548.0,2255.0,863.0,screener
ABDL,Mar 2023,2023-03-31,annual,49.0,357.0,793.0,1301.0,2500.0,575.0,14.0,0.0,1910.0,2500.0,793.0,screener
ABDL,Mar 2024,2024-03-31,annual,49.0,358.0,835.0,1403.0,2645.0,635.0,16.0,0.0,1995.0,2645.0,835.0,screener
ABDL,Mar 2025,2025-03-31,annual,56.0,1487.0,905.0,1086.0,3534.0,749.0,19.0,0.0,2765.0,3534.0,905.0,screener
ABDL,Mar 2026,2026-03-31,annual,56.0,1607.0,1151.0,1350.0,4163.0,889.0,110.0,0.0,3164.0,4163.0,1151.0,screener
ABLBL,Mar 2025,2025-03-31,annual,0.05,1276.0,2932.0,4070.0,8279.0,3280.0,13.0,117.0,4869.0,8279.0,2815.0,screener
ABLBL,Mar 2026,2026-03-31,annual,1221.0,192.0,3018.0,4290.0,8720.0,3609.0,46.0,16.0,5049.0,8720.0,3002.0,screener
ABREL,Mar 2022,2022-03-31,annual,112.0,3607.0,1336.0,2684.0,7739.0,4059.0,211.0,409.0,3060.0,7739.0,927.0,screener
ABREL,Mar 2023,2023-03-31,annual,112.0,3775.0,1059.0,3465.0,8411.0,3952.0,190.0,228.0,4041.0,8411.0,831.0,screener
ABREL,Mar 2024,2024-03-31,annual,112.0,3867.0,2502.0,4018.0,10499.0,3734.0,58.0,692.0,6015.0,10499.0,1810.0,screener
ABREL,Mar 2025,2025-03-31,annual,112.0,3729.0,4997.0,7646.0,16483.0,1437.0,26.0,1085.0,13935.0,16483.0,3912.0,screener
ABREL,Mar 2026,2026-03-31,annual,112.0,3589.0,5636.0,10895.0,20233.0,1366.0,19.0,1512.0,17336.0,20233.0,4124.0,screener
ABSLAMC,Mar 2022,2022-03-31,annual,144.0,2052.0,54.0,184.0,2435.0,72.0,3.0,2121.0,239.0,2435.0,-2067.0,screener
ABSLAMC,Mar 2023,2023-03-31,annual,144.0,2373.0,48.0,223.0,2788.0,70.0,2.0,2359.0,357.0,2788.0,-2311.0,screener
ABSLAMC,Mar 2024,2024-03-31,annual,144.0,3025.0,79.0,254.0,3502.0,111.0,2.0,3122.0,267.0,3502.0,-3043.0,screener
ABSLAMC,Mar 2025,2025-03-31,annual,144.0,3583.0,68.0,320.0,4114.0,107.0,1.0,3692.0,315.0,4114.0,-3624.0,screener
ABSLAMC,Mar 2026,2026-03-31,annual,144.0,3897.0,64.0,310.0,4415.0,119.0,2.0,3946.0,348.0,4415.0,-3882.0,screener
ACC,Dec 2021,2021-12-31,annual,188.0,14121.0,126.0,6604.0,21039.0,6750.0,1216.0,150.0,12923.0,21039.0,-24.0,screener
ACC,Mar 2023,2023-03-31,annual,188.0,13950.0,153.0,6252.0,20544.0,7512.0,1684.0,163.0,11185.0,20544.0,-10.0,screener
ACC,Mar 2024,2024-03-31,annual,188.0,16140.0,355.0,6685.0,23368.0,10007.0,986.0,811.0,11564.0,23368.0,-456.0,screener
ACC,Mar 2025,2025-03-31,annual,188.0,18367.0,430.0,6428.0,25413.0,10829.0,2061.0,1509.0,11013.0,25413.0,-1079.0,screener
ACC,Mar 2026,2026-03-31,annual,188.0,20363.0,429.0,6546.0,27525.0,11256.0,2227.0,55.0,13987.0,27525.0,374.0,screener
ACE,Mar 2022,2022-03-31,annual,24.0,730.0,31.0,497.0,1282.0,452.0,24.0,179.0,627.0,1282.0,-148.0,screener
ACE,Mar 2023,2023-03-31,annual,24.0,895.0,7.0,674.0,1600.0,487.0,24.0,349.0,739.0,1600.0,-342.0,screener
ACE,Mar 2024,2024-03-31,annual,24.0,1206.0,4.0,934.0,2169.0,580.0,44.0,594.0,951.0,2169.0,-590.0,screener
ACE,Mar 2025,2025-03-31,annual,24.0,1591.0,16.0,1079.0,2710.0,716.0,29.0,918.0,1048.0,2710.0,-902.0,screener
ACE,Mar 2026,2026-03-31,annual,24.0,1987.0,8.0,1233.0,3252.0,782.0,48.0,1283.0,1138.0,3252.0,-1275.0,screener
ACI,Mar 2022,2022-03-31,annual,19.0,243.0,897.0,372.0,1531.0,1086.0,17.0,11.0,417.0,1531.0,886.0,screener
ACI,Mar 2023,2023-03-31,annual,25.0,1406.0,69.0,255.0,1755.0,1110.0,36.0,210.0,399.0,1755.0,-141.0,screener
ACI,Mar 2024,2024-03-31,annual,25.0,1677.0,98.0,255.0,2055.0,1160.0,48.0,350.0,497.0,2055.0,-252.0,screener
ACI,Mar 2025,2025-03-31,annual,25.0,1839.0,235.0,290.0,2389.0,1378.0,69.0,339.0,603.0,2389.0,-104.0,screener
ACI,Mar 2026,2026-03-31,annual,25.0,1910.0,466.0,264.0,2665.0,1383.0,182.0,257.0,843.0,2665.0,209.0,screener
