symbol,period_label,period_end,period_type,operating_cf,investing_cf,financing_cf,net_cf,source
20MICRONS,Mar 2022,2022-03-31,annual,35.0,-23.0,-4.0,9.0,screener
20MICRONS,Mar 2023,2023-03-31,annual,63.0,-18.0,-38.0,8.0,screener
20MICRONS,Mar 2024,2024-03-31,annual,54.0,-23.0,-3.0,28.0,screener
20MICRONS,Mar 2025,2025-03-31,annual,32.0,-63.0,14.0,-17.0,screener
20MICRONS,Mar 2026,2026-03-31,annual,104.0,-31.0,-30.0,42.0,screener
360ONE,Mar 2022,2022-03-31,annual,929.0,-1128.0,251.0,52.0,screener
360ONE,Mar 2023,2023-03-31,annual,-1323.0,788.0,556.0,21.0,screener
360ONE,Mar 2024,2024-03-31,annual,-470.0,-1574.0,1978.0,-67.0,screener
360ONE,Mar 2025,2025-03-31,annual,-2411.0,-1065.0,3773.0,297.0,screener
360ONE,Mar 2026,2026-03-31,annual,-2921.0,-1613.0,4357.0,-177.0,screener
3MINDIA,Mar 2020,2020-03-31,annual,245.0,3.0,-25.0,223.0,screener
3MINDIA,Mar 2021,2021-03-31,annual,321.0,-14.0,-25.0,282.0,screener
3MINDIA,Mar 2022,2022-03-31,annual,327.0,-41.0,-21.0,265.0,screener
3MINDIA,Mar 2023,2023-03-31,annual,465.0,-15.0,-980.0,-530.0,screener
3MINDIA,Mar 2024,2024-03-31,annual,643.0,-269.0,-128.0,246.0,screener
5PAISA,Mar 2022,2022-03-31,annual,-141.0,-12.0,225.0,73.0,screener
5PAISA,Mar 2023,2023-03-31,annual,25.0,-8.0,-85.0,-68.0,screener
5PAISA,Mar 2024,2024-03-31,annual,-92.0,-13.0,154.0,50.0,screener
5PAISA,Mar 2025,2025-03-31,annual,98.0,-7.0,-141.0,-51.0,screener
5PAISA,Mar 2026,2026-03-31,annual,-104.0,-7.0,127.0,17.0,screener
63MOONS,Mar 2022,2022-03-31,annual,-102.0,75.0,81.0,54.0,screener
63MOONS,Mar 2023,2023-03-31,annual,71.0,-68.0,19.0,21.0,screener
63MOONS,Mar 2024,2024-03-31,annual,47.0,-100.0,22.0,-31.0,screener
63MOONS,Mar 2025,2025-03-31,annual,-143.0,-48.0,165.0,-26.0,screener
63MOONS,Mar 2026,2026-03-31,annual,-293.0,40.0,255.0,1.0,screener
AADHARHFC,Mar 2022,2022-03-31,annual,-907.0,823.0,275.0,191.0,screener
AADHARHFC,Mar 2023,2023-03-31,annual,-1156.0,-477.0,1463.0,-169.0,screener
AADHARHFC,Mar 2024,2024-03-31,annual,-2550.0,723.0,1778.0,-49.0,screener
AADHARHFC,Mar 2025,2025-03-31,annual,-3027.0,160.0,3389.0,522.0,screener
AADHARHFC,Mar 2026,2026-03-31,annual,-2808.0,309.0,2336.0,-164.0,screener
AARTIDRUGS,Mar 2022,2022-03-31,annual,70.0,-150.0,92.0,13.0,screener
AARTIDRUGS,Mar 2023,2023-03-31,annual,133.0,-164.0,17.0,-14.0,screener
AARTIDRUGS,Mar 2024,2024-03-31,annual,359.0,-224.0,-136.0,-1.0,screener
AARTIDRUGS,Mar 2025,2025-03-31,annual,245.0,-165.0,-82.0,-2.0,screener
AARTIDRUGS,Mar 2026,2026-03-31,annual,254.0,-173.0,-77.0,3.0,screener
AARTIIND,Mar 2022,2022-03-31,annual,519.0,-1169.0,412.0,-239.0,screener
AARTIIND,Mar 2023,2023-03-31,annual,1319.0,-1330.0,38.0,27.0,screener
AARTIIND,Mar 2024,2024-03-31,annual,1210.0,-1369.0,420.0,261.0,screener
AARTIIND,Mar 2025,2025-03-31,annual,1242.0,-1398.0,-73.0,-229.0,screener
AARTIIND,Mar 2026,2026-03-31,annual,775.0,-1141.0,745.0,379.0,screener
AARTIPHARM,Mar 2022,2022-03-31,annual,-44.0,-139.0,260.0,78.0,screener
AARTIPHARM,Mar 2023,2023-03-31,annual,250.0,-158.0,-163.0,-71.0,screener
AARTIPHARM,Mar 2024,2024-03-31,annual,216.0,-215.0,10.0,12.0,screener
AARTIPHARM,Mar 2025,2025-03-31,annual,332.0,-414.0,65.0,-17.0,screener
AARTIPHARM,Mar 2026,2026-03-31,annual,262.0,-431.0,171.0,2.0,screener
AARTISURF,Mar 2022,2022-03-31,annual,23.0,-23.0,-6.0,-5.0,screener
AARTISURF,Mar 2023,2023-03-31,annual,25.0,-11.0,-8.0,6.0,screener
AARTISURF,Mar 2024,2024-03-31,annual,52.0,-16.0,-37.0,-1.0,screener
AARTISURF,Mar 2025,2025-03-31,annual,11.0,-16.0,0.0,-5.0,screener
AARTISURF,Mar 2026,2026-03-31,annual,77.0,-46.0,-20.0,12.0,screener
AARVI,Mar 2022,2022-03-31,annual,-10.0,0.0,-1.0,-11.0,screener
AARVI,Mar 2023,2023-03-31,annual,3.0,0.0,-4.0,-1.0,screener
AARVI,Mar 2024,2024-03-31,annual,3.0,1.0,2.0,6.0,screener
AARVI,Mar 2025,2025-03-31,annual,-2.0,-13.0,11.0,-4.0,screener
AARVI,Mar 2026,2026-03-31,annual,8.0,0.0,-6.0,2.0,screener
AAVAS,Mar 2020,2020-03-31,annual,-1172.0,-342.0,1705.0,191.0,screener
AAVAS,Mar 2021,2021-03-31,annual,-1071.0,-265.0,1008.0,-328.0,screener
AAVAS,Mar 2022,2022-03-31,annual,-1135.0,-463.0,1623.0,26.0,screener
AAVAS,Mar 2023,2023-03-31,annual,-1924.0,196.0,1858.0,130.0,screener
AAVAS,Mar 2024,2024-03-31,annual,-1987.0,-648.0,2477.0,-157.0,screener
ABB,Dec 2011,2011-12-31,annual,120.0,-361.0,-80.0,-321.0,screener
ABB,Dec 2012,2012-12-31,annual,-44.0,-340.0,210.0,-173.0,screener
ABB,Dec 2024,2024-12-31,annual,1332.0,-503.0,-770.0,59.0,screener
ABB,Dec 2025,2025-12-31,annual,1220.0,364.0,-966.0,617.0,screener
ABCAPITAL,Mar 2022,2022-03-31,annual,-5070.0,-1446.0,5836.0,-679.0,screener
ABCAPITAL,Mar 2023,2023-03-31,annual,-24029.0,-2675.0,26385.0,-318.0,screener
ABCAPITAL,Mar 2024,2024-03-31,annual,-24100.0,-4590.0,28514.0,-176.0,screener
ABCAPITAL,Mar 2025,2025-03-31,annual,-27935.0,933.0,29778.0,2776.0,screener
ABCAPITAL,Mar 2026,2026-03-31,annual,-36544.0,-3544.0,38161.0,-1927.0,screener
ABDL,Mar 2022,2022-03-31,annual,179.0,53.0,-256.0,-24.0,screener
ABDL,Mar 2023,2023-03-31,annual,230.0,-19.0,-203.0,8.0,screener
ABDL,Mar 2024,2024-03-31,annual,186.0,-54.0,-132.0,0.0,screener
ABDL,Mar 2025,2025-03-31,annual,-678.0,-182.0,922.0,61.0,screener
ABDL,Mar 2026,2026-03-31,annual,362.0,-331.0,10.0,41.0,screener
ABLBL,Mar 2025,2025-03-31,annual,1144.0,7.0,-1230.0,-79.0,screener
ABLBL,Mar 2026,2026-03-31,annual,1219.0,-198.0,-983.0,38.0,screener
ABREL,Mar 2022,2022-03-31,annual,-51.0,-176.0,207.0,-21.0,screener
