score_date,symbol,enhanced_fund_score,earnings_quality,sales_growth,financial_strength,institutional_backing,processed_date,source_file
2025-08-11,20MICRONS,53.32,54.78,51.0,57.27,48.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-22,20MICRONS,71.97,74.6,73.33,77.0,56.0,2026-06-22,tracker_enrich_derived
2025-08-11,21STCENMGM,46.66,44.57,40.83,52.63,54.0,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,360ONE,44.42,50.65,47.0,54.55,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-18,360ONE,69.32,75.0,71.67,53.75,71.0,2026-06-18,tracker_enrich_derived
2026-08-15,360ONE,79.53,87.5,87.5,60.0,71.0,2026-08-15,compute_fund_scores_from_db
2025-08-11,3IINFOLTD,52.3,51.0,53.33,58.12,46.25,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,3MINDIA,35.16,45.58,25.71,45.0,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-08-15,3MINDIA,82.68,85.75,75.0,93.0,73.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,3PLAND,50.68,50.0,47.5,51.54,56.67,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,5PAISA,56.18,54.13,61.0,53.64,57.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-07-03,5PAISA,49.53,47.0,43.33,50.0,66.0,2026-07-03,tracker_enrich_derived
2025-08-11,63MOONS,58.48,63.33,60.0,54.74,48.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-18,63MOONS,66.17,63.75,76.67,65.5,56.0,2026-06-18,tracker_enrich_derived
2026-08-15,63MOONS,65.01,53.33,67.5,92.0,56.0,2026-08-15,compute_fund_scores_from_db
2025-08-11,A2ZINFRA,60.33,58.48,77.0,55.45,44.0,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AAATECH,75.49,79.05,94.0,58.75,57.5,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AADHARHFC,52.3,51.19,47.0,57.63,57.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-18,AADHARHFC,70.86,85.0,55.0,56.67,78.5,2026-06-18,tracker_enrich_derived
2025-08-11,AAKASH,62.24,56.3,83.0,54.55,53.75,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AAREYDRUGS,57.75,61.52,59.0,57.27,46.25,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AARON,31.99,45.38,21.0,35.42,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-07-24,AARON,59.27,55.0,55.0,70.0,63.5,2026-07-24,tracker_enrich_derived
2025-08-11,AARTECH,14.11,10.0,10.0,30.56,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AARTIDRUGS,27.96,23.33,35.0,41.88,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-22,AARTIDRUGS,72.32,79.6,63.33,70.75,70.0,2026-06-22,tracker_enrich_derived
2025-08-11,AARTIIND,20.43,10.0,10.0,32.78,49.17,2025-08-11,organized/data/fundamental_scores_database.csv
2026-07-07,AARTIIND,64.74,68.6,60.0,54.5,76.0,2026-07-07,tracker_enrich_derived
2025-08-11,AARTIPHARM,55.42,55.53,57.0,59.77,46.67,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-20,AARTIPHARM,57.47,49.6,53.33,68.25,71.0,2026-06-20,tracker_enrich_derived
2026-08-15,AARTIPHARM,49.57,42.5,32.5,69.0,71.0,2026-08-15,compute_fund_scores_from_db
2025-08-11,AARTISURF,62.49,70.0,66.0,56.82,44.17,2025-08-11,organized/data/fundamental_scores_database.csv
2026-08-03,AARTISURF,69.47,76.0,71.67,63.75,56.0,2026-08-03,tracker_enrich_derived
2025-08-11,AARVEEDEN,69.06,70.43,86.0,60.91,48.0,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,AARVI,42.4,45.4,47.5,54.35,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-23,AARVI,72.81,74.0,73.33,76.75,63.5,2026-06-23,tracker_enrich_derived
2025-08-11,AAVAS,70.57,75.59,75.0,58.44,66.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-20,AAVAS,67.98,81.25,55.0,51.67,76.0,2026-06-20,tracker_enrich_derived
2025-08-11,ABAN,60.53,54.57,77.0,61.25,48.0,2025-08-11,organized/data/fundamental_scores_database.csv
2025-08-11,ABB,61.29,55.43,73.0,59.32,60.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-07-07,ABB,78.37,89.6,55.0,85.0,78.5,2026-07-07,tracker_enrich_derived
2025-08-11,ABBOTINDIA,36.93,45.96,28.57,49.52,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-08-15,ABBOTINDIA,57.77,55.0,55.0,55.0,73.5,2026-08-15,2026-08-15
2025-08-11,ABCAPITAL,24.24,35.38,17.0,21.67,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-07-06,ABCAPITAL,63.19,70.0,55.0,48.33,78.5,2026-07-06,tracker_enrich_derived
2026-08-15,ABCAPITAL,67.86,63.33,75.0,60.0,78.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,ABDL,41.05,38.33,50.0,58.57,10.0,2025-08-11,organized/data/fundamental_scores_database.csv
2026-06-18,ABDL,69.92,69.6,65.0,74.0,73.5,2026-06-18,tracker_enrich_derived
