symbol,period_label,period_end,period_type,revenue,expenses,operating_profit,opm_pct,other_income,interest,depreciation,pbt,tax_pct,pat,eps,source
20MICRONS,Dec 2024,2024-12-31,quarter,215.0,188.0,26.0,12.0,1.0,5.0,5.0,17.0,23.0,13.0,3.65,screener
20MICRONS,Mar 2025,2025-03-31,quarter,227.0,199.0,29.0,13.0,0.0,5.0,5.0,19.0,20.0,15.0,4.31,screener
20MICRONS,Jun 2025,2025-06-30,quarter,247.0,216.0,32.0,13.0,1.0,5.0,5.0,23.0,26.0,17.0,4.78,screener
20MICRONS,Sep 2025,2025-09-30,quarter,231.0,199.0,32.0,14.0,2.0,4.0,5.0,23.0,26.0,17.0,4.93,screener
20MICRONS,Dec 2025,2025-12-31,quarter,215.0,187.0,28.0,13.0,1.0,4.0,5.0,20.0,25.0,15.0,4.24,screener
20MICRONS,Mar 2026,2026-03-31,quarter,261.0,229.0,32.0,12.0,2.0,4.0,5.0,24.0,28.0,18.0,4.99,screener
360ONE,Dec 2024,2024-12-31,quarter,780.0,336.0,444.0,57.0,154.0,222.0,17.0,359.0,23.0,276.0,7.12,screener
360ONE,Mar 2025,2025-03-31,quarter,821.0,360.0,461.0,56.0,101.0,218.0,20.0,324.0,23.0,250.0,6.35,screener
360ONE,Jun 2025,2025-06-30,quarter,911.0,346.0,566.0,62.0,69.0,229.0,32.0,374.0,24.0,285.0,7.04,screener
360ONE,Sep 2025,2025-09-30,quarter,1098.0,401.0,697.0,63.0,9.0,254.0,39.0,413.0,24.0,315.0,7.79,screener
360ONE,Dec 2025,2025-12-31,quarter,1181.0,456.0,725.0,61.0,39.0,296.0,41.0,427.0,23.0,327.0,8.08,screener
360ONE,Mar 2026,2026-03-31,quarter,1115.0,452.0,663.0,59.0,54.0,312.0,43.0,363.0,20.0,289.0,7.11,screener
360ONE,Jun 2026,2026-06-30,quarter,1226.0,454.0,773.0,63.0,47.0,354.0,42.0,424.0,22.0,331.0,8.13,screener
3MINDIA,Mar 2023,2023-03-31,quarter,1046.0,852.0,194.0,19.0,10.0,6.0,14.0,184.0,26.0,136.0,120.48,screener
3MINDIA,Jun 2023,2023-06-30,quarter,1050.0,877.0,173.0,16.0,15.0,1.0,14.0,173.0,25.0,129.0,114.7,screener
3MINDIA,Sep 2023,2023-09-30,quarter,1040.0,847.0,192.0,18.0,17.0,1.0,13.0,196.0,25.0,146.0,129.7,screener
3MINDIA,Dec 2023,2023-12-31,quarter,1006.0,827.0,179.0,18.0,17.0,1.0,13.0,181.0,25.0,135.0,120.05,screener
3MINDIA,Mar 2024,2024-03-31,quarter,1095.0,880.0,214.0,20.0,30.0,1.0,13.0,231.0,25.0,173.0,153.44,screener
3MINDIA,Jun 2024,2024-06-30,quarter,1047.0,841.0,205.0,20.0,22.0,3.0,14.0,211.0,26.0,157.0,139.5,screener
5PAISA,Dec 2024,2024-12-31,quarter,85.0,55.0,30.0,35.0,0.0,5.0,3.0,22.0,25.0,16.0,3.46,screener
5PAISA,Mar 2025,2025-03-31,quarter,71.0,50.0,21.0,30.0,0.0,5.0,3.0,13.0,25.0,10.0,2.15,screener
5PAISA,Jun 2025,2025-06-30,quarter,78.0,52.0,25.0,32.0,0.0,7.0,2.0,15.0,26.0,12.0,2.46,screener
5PAISA,Sep 2025,2025-09-30,quarter,77.0,54.0,23.0,30.0,0.0,8.0,2.0,13.0,26.0,9.0,2.02,screener
5PAISA,Dec 2025,2025-12-31,quarter,79.0,52.0,27.0,34.0,0.0,8.0,2.0,17.0,26.0,12.0,2.62,screener
5PAISA,Mar 2026,2026-03-31,quarter,85.0,60.0,26.0,30.0,0.0,9.0,2.0,15.0,25.0,11.0,2.32,screener
63MOONS,Dec 2024,2024-12-31,quarter,12.0,73.0,-61.0,-520.0,44.0,0.0,8.0,-25.0,-7.0,-23.0,-3.62,screener
63MOONS,Mar 2025,2025-03-31,quarter,14.0,75.0,-62.0,-454.0,83.0,0.0,7.0,14.0,27.0,11.0,2.39,screener
63MOONS,Jun 2025,2025-06-30,quarter,30.0,85.0,-55.0,-180.0,64.0,0.0,8.0,1.0,216.0,-3.0,0.67,screener
63MOONS,Sep 2025,2025-09-30,quarter,21.0,107.0,-87.0,-423.0,55.0,1.0,8.0,-41.0,10.0,-45.0,-6.13,screener
63MOONS,Dec 2025,2025-12-31,quarter,27.0,91.0,-64.0,-237.0,41.0,0.0,8.0,-31.0,2.0,-32.0,-4.29,screener
63MOONS,Mar 2026,2026-03-31,quarter,134.0,210.0,-76.0,-57.0,119.0,0.0,9.0,34.0,25.0,25.0,4.88,screener
63MOONS,Jun 2026,2026-06-30,quarter,137.0,209.0,-72.0,-52.0,35.0,0.0,9.0,-46.0,3.0,-48.0,-8.61,screener
