SYMBOL,FNO_PCR,FNO_OI_CHANGE_5D,FNO_PRICE_CHANGE,FNO_BUILDUP,FNO_MAX_PAIN,FNO_SIGNAL
360ONE,0.494,22.94,0.65,LONG_BUILDUP,1040.0,NEUTRAL
ABB,0.649,169.75,-1.16,SHORT_BUILDUP,7300.0,BEAR
ABCAPITAL,1.059,201.07,1.86,LONG_BUILDUP,350.0,BULL
ADANIENSOL,0.646,147.65,-4.24,SHORT_BUILDUP,1340.0,BEAR
ADANIENT,0.75,118.77,5.8,LONG_BUILDUP,2400.0,MILD_BULL
ADANIGREEN,0.744,193.73,0.02,LONG_BUILDUP,1200.0,MILD_BULL
ADANIPORTS,0.804,159.36,4.8,LONG_BUILDUP,1600.0,MILD_BULL
ADANIPOWER,0.642,62.82,4.61,LONG_BUILDUP,215.0,NEUTRAL
ALKEM,0.862,78.08,2.76,LONG_BUILDUP,5400.0,MILD_BULL
AMBER,0.528,95.22,2.72,LONG_BUILDUP,8000.0,NEUTRAL
AMBUJACEM,0.808,238.55,-1.01,SHORT_BUILDUP,460.0,MILD_BEAR
ANGELONE,0.681,90.38,-1.71,SHORT_BUILDUP,305.0,BEAR
APLAPOLLO,0.763,236.36,-4.67,SHORT_BUILDUP,2000.0,MILD_BEAR
APOLLOHOSP,0.653,129.14,-0.58,SHORT_BUILDUP,7700.0,BEAR
ASHOKLEY,0.646,122.38,-4.37,SHORT_BUILDUP,170.0,BEAR
ASIANPAINT,1.041,163.95,-1.21,SHORT_BUILDUP,2480.0,NEUTRAL
ASTRAL,0.717,157.51,-2.39,SHORT_BUILDUP,1560.0,MILD_BEAR
AUBANK,0.542,141.49,-4.24,SHORT_BUILDUP,1030.0,BEAR
AUROPHARMA,0.601,388.2,-1.62,SHORT_BUILDUP,1400.0,BEAR
AXISBANK,0.701,223.17,-6.78,SHORT_BUILDUP,1300.0,MILD_BEAR
BAJAJ-AUTO,0.886,127.87,4.69,LONG_BUILDUP,9700.0,MILD_BULL
BAJAJFINSV,1.008,166.06,-1.19,SHORT_BUILDUP,1800.0,NEUTRAL
BAJAJHLDNG,0.448,94.67,0.41,LONG_BUILDUP,10400.0,NEUTRAL
BAJFINANCE,0.707,112.33,2.35,LONG_BUILDUP,930.0,MILD_BULL
BANDHANBNK,0.622,209.7,14.93,LONG_BUILDUP,190.0,NEUTRAL
BANKBARODA,0.84,182.78,-3.16,SHORT_BUILDUP,275.0,MILD_BEAR
BANKINDIA,0.894,236.75,-5.07,SHORT_BUILDUP,150.0,MILD_BEAR
BANKNIFTY,0.901,61.62,-1.8,SHORT_BUILDUP,56500.0,MILD_BEAR
BDL,0.565,126.93,-2.11,SHORT_BUILDUP,1400.0,BEAR
BEL,0.655,138.92,-2.55,SHORT_BUILDUP,440.0,BEAR
BHARATFORG,0.783,73.77,1.85,LONG_BUILDUP,1880.0,MILD_BULL
BHARTIARTL,0.828,159.32,4.34,LONG_BUILDUP,1880.0,MILD_BULL
