INDEX_NAME,STOCK_SYMBOL
NIFTY MIDCAP 50,SBICARD
NIFTY MIDCAP 50,INDUSTOWER
NIFTY MIDCAP 50,MARICO
NIFTY MIDCAP 50,MUTHOOTFIN
NIFTY MIDCAP 50,POLICYBZR
NIFTY MIDCAP 50,SUZLON
NIFTY MIDCAP 50,PRESTIGE
NIFTY MIDCAP 50,BSE
NIFTY MIDCAP 50,SRF
NIFTY MIDCAP 50,PAYTM
NIFTY MIDCAP 50,MPHASIS
NIFTY MIDCAP 50,AUBANK
NIFTY MIDCAP 50,IDFCFIRSTB
NIFTY MIDCAP 50,COLPAL
NIFTY MIDCAP 50,PERSISTENT
NIFTY MIDCAP 50,OIL
NIFTY MIDCAP 50,INDUSINDBK
NIFTY MIDCAP 50,BHEL
NIFTY MIDCAP 50,GMRAIRPORT
NIFTY MIDCAP 50,SUPREMEIND
NIFTY MIDCAP 50,BHARATFORG
NIFTY MIDCAP 50,DIXON
NIFTY MIDCAP 50,NMDC
NIFTY MIDCAP 50,DABUR
NIFTY MIDCAP 50,UPL
NIFTY MIDCAP 50,ASHOKLEY
NIFTY MIDCAP 50,COFORGE
NIFTY MIDCAP 50,JUBLFOOD
NIFTY MIDCAP 50,HINDPETRO
NIFTY MIDCAP 50,OFSS
NIFTY MIDCAP 50,NHPC
NIFTY MIDCAP 50,FEDERALBNK
NIFTY MIDCAP 50,IRCTC
NIFTY MIDCAP 50,MFSL
NIFTY MIDCAP 50,GODREJPROP
NIFTY MIDCAP 50,HEROMOTOCO
NIFTY MIDCAP 50,CUMMINSIND
NIFTY MIDCAP 50,PAGEIND
NIFTY MIDCAP 50,MANKIND
NIFTY MIDCAP 50,LUPIN
NIFTY MIDCAP 50,APLAPOLLO
NIFTY MIDCAP 50,OBEROIRLTY
NIFTY MIDCAP 50,FORTIS
NIFTY MIDCAP 50,PIIND
NIFTY MIDCAP 50,AUROPHARMA
NIFTY MIDCAP 50,PHOENIXLTD
NIFTY MIDCAP 50,HDFCAMC
NIFTY MIDCAP 50,YESBANK
NIFTY MIDCAP 50,POLYCAB
NIFTY MIDCAP 50,TIINDIA
NIFTY RURAL,M&MFIN
NIFTY RURAL,PATANJALI
NIFTY RURAL,SBICARD
