DATE,SYMBOL,ALERT_TYPE,ENTITY,QTY,VALUE_CR,CATEGORY,DETAIL,SOURCE
2026-05-05,ADSL,BULK_DEAL_BUY,SAURABH NAYYAR,297500,3.79,Bulk Deal,@ ₹127.48,BULK_DEAL
2026-05-05,ADSL,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,342319,4.52,Bulk Deal,@ ₹131.91,BULK_DEAL
2026-05-05,AGIIL,BULK_DEAL_BUY,ARIHANT CAPITAL MARKETS LIMITED,1313906,50.59,Bulk Deal,@ ₹385.07,BULK_DEAL
2026-05-05,AMBAAUTO,BULK_DEAL_BUY,L7 HITECH PRIVATE LIMITED,120000,1.62,Bulk Deal,@ ₹134.96,BULK_DEAL
2026-05-05,CALSOFT,BULK_DEAL_BUY,NEO APEX SHARE BROKING SERVICES LLP,153367,0.29,Bulk Deal,@ ₹18.94,BULK_DEAL
2026-05-05,CAMS,BULK_DEAL_BUY,GRAVITON RESEARCH CAPITAL LLP,1582409,123.59,Bulk Deal,@ ₹781.04,BULK_DEAL
2026-05-05,DSSL,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,75280,9.67,Bulk Deal,@ ₹1284.88,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,1051402,5.4,Bulk Deal,@ ₹51.39,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_BUY,JUNOMONETA FINSOL PRIVATE LIMITED,1754436,8.98,Bulk Deal,@ ₹51.21,BULK_DEAL
2026-05-05,DWARKESH,BULK_DEAL_BUY,QE SECURITIES LLP,1211641,6.15,Bulk Deal,@ ₹50.76,BULK_DEAL
2026-05-05,GARUDA,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,576934,11.13,Bulk Deal,@ ₹192.97,BULK_DEAL
2026-05-05,GCSL,BULK_DEAL_BUY,MANSUKH SECURITIES & FINANCE LIMITED,105180,3.87,Bulk Deal,@ ₹368.34,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_BUY,QE SECURITIES LLP,340207,26.51,Bulk Deal,@ ₹779.23,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,339940,26.45,Bulk Deal,@ ₹777.94,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_BUY,HRTI PRIVATE LIMITED,455037,35.36,Bulk Deal,@ ₹776.98,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_BUY,JUNOMONETA FINSOL PRIVATE LIMITED,349463,27.27,Bulk Deal,@ ₹780.20,BULK_DEAL
2026-05-05,IDEAFORGE,BULK_DEAL_BUY,BNP PARIBAS FINANCIAL MARKETS,502164,39.33,Bulk Deal,@ ₹783.29,BULK_DEAL
2026-05-05,INVICTA,BULK_DEAL_BUY,INFINITY INVESTORS INDIA,70400,0.68,Bulk Deal,@ ₹95.95,BULK_DEAL
2026-05-05,IRMENERGY,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,261101,8.82,Bulk Deal,@ ₹337.75,BULK_DEAL
2026-05-05,IRMENERGY,BULK_DEAL_BUY,JUNOMONETA FINSOL PRIVATE LIMITED,364465,12.32,Bulk Deal,@ ₹337.93,BULK_DEAL
2026-05-05,IRMENERGY,BULK_DEAL_BUY,HRTI PRIVATE LIMITED,605834,20.44,Bulk Deal,@ ₹337.42,BULK_DEAL
2026-05-05,JPPOWER,BULK_DEAL_BUY,RADIANT COMPUTECH PRIVATE LIMITED,41945685,80.79,Bulk Deal,@ ₹19.26,BULK_DEAL
2026-05-05,JTLIND,BULK_DEAL_BUY,F3 ADVISORS PRIVATE LIMITED,2052835,16.28,Bulk Deal,@ ₹79.30,BULK_DEAL
2026-05-05,MANOMAY,BULK_DEAL_BUY,FASHION SUITINGS PVT LTD,100000,1.65,Bulk Deal,@ ₹164.94,BULK_DEAL
2026-05-05,MANOMAY,BULK_DEAL_BUY,NEO APEX SHARE BROKING SERVICES LLP,114581,1.89,Bulk Deal,@ ₹164.98,BULK_DEAL
2026-05-05,MANOMAY,BULK_DEAL_BUY,SUDHA DARGAR,169000,2.79,Bulk Deal,@ ₹164.90,BULK_DEAL
2026-05-05,MOL,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,1689971,9.75,Bulk Deal,@ ₹57.70,BULK_DEAL
2026-05-05,MOL,BULK_DEAL_BUY,QE SECURITIES LLP,1377824,7.97,Bulk Deal,@ ₹57.81,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_BUY,NEO APEX SHARE BROKING SERVICES LLP,153496,2.88,Bulk Deal,@ ₹187.32,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_BUY,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,184114,3.42,Bulk Deal,@ ₹185.68,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_BUY,D3 STOCK VISION LLP,109076,2.04,Bulk Deal,@ ₹187.32,BULK_DEAL
2026-05-05,ONELIFECAP,BULK_DEAL_BUY,MUSKAN MOHD YUSUF SHAIKH,190000,0.34,Bulk Deal,@ ₹18.00,BULK_DEAL
2026-05-05,PRABHAPP,BULK_DEAL_BUY,ARHAM SHARE PRIVATE LIMITED,470688,2.46,Bulk Deal,@ ₹52.18,BULK_DEAL
2026-05-05,PVP,BULK_DEAL_BUY,CRONY VYAPAR PVT LTD,1842924,6.04,Bulk Deal,@ ₹32.79,BULK_DEAL
2026-05-05,QUESS,BULK_DEAL_BUY,NK SECURITIES RESEARCH PRIVATE LIMITED,1294958,29.76,Bulk Deal,@ ₹229.83,BULK_DEAL
2026-05-05,SILGO,BULK_DEAL_BUY,DEMPAL BHAWIN SHAH,297291,2.33,Bulk Deal,@ ₹78.34,BULK_DEAL
