SYMBOL,INSIDER_ALERT,INSIDER_SCORE,INSIDER_DETAIL
AQYLON,BULK_DEAL_BUY,1,Bulk Deal Buy: BULLPULSE MARKETEDGE PRIVATE L ₹8.8Cr; Bulk Deal Buy: LEADING LEASING FINANCE & INVE ₹15.0Cr; Bulk Deal Buy: CHAUBARA EATS PRIVATE LIMITED ₹8.8Cr (+2 more)
ATALREAL,BULK_DEAL_BUY,0,Bulk Deal Buy: ALTIZEN VENTURES LLP ₹3.1Cr; Bulk Deal Buy: HRTI PRIVATE LIMITED ₹1.8Cr; Bulk Deal Buy: VISHAL MAHESH WAGHELA ₹0.5Cr (+3 more)
BIOFILCHEM,BULK_DEAL_BUY,0,Bulk Deal Buy: ORION STOCKS LTD ₹0.2Cr; Bulk Deal Buy: IRAGE BROKING SERVICES LLP ₹0.4Cr; Bulk Deal Sell: ORION STOCKS LTD ₹0.4Cr (+1 more)
BMLL,BULK_DEAL_BUY,1,Bulk Deal Buy: RATAN BABULAL BOKADIA ₹0.8Cr
CLSEL,BULK_DEAL_BUY,0,Bulk Deal Buy: ELIXIR WEALTH MANAGEMENT PRIVA ₹17.6Cr; Bulk Deal Buy: QE SECURITIES LLP ₹12.8Cr; Bulk Deal Buy: NK SECURITIES RESEARCH PRIVATE ₹25.4Cr (+11 more)
CPCAP,BULK_DEAL_SELL,-1,Bulk Deal Sell: MANISH JAIN HUF ₹1.4Cr
EPACKPEB,BULK_DEAL_BUY,0,Bulk Deal Buy: NK SECURITIES RESEARCH PRIVATE ₹13.1Cr; Bulk Deal Buy: QE SECURITIES LLP ₹20.0Cr; Bulk Deal Sell: NK SECURITIES RESEARCH PRIVATE ₹13.1Cr (+1 more)
EXXARO,BULK_DEAL_BUY,0,Bulk Deal Buy: DEEP DIAMOND INDIA LIMITED ₹1.5Cr; Bulk Deal Sell: DEEP DIAMOND INDIA LIMITED ₹3.1Cr
GENESYS,BULK_DEAL_BUY,0,Bulk Deal Buy: HRTI PRIVATE LIMITED ₹7.1Cr; Bulk Deal Sell: HRTI PRIVATE LIMITED ₹5.1Cr
GENXAI,BULK_DEAL_BUY,3,Bulk Deal Buy: WEALTHWAVE CAPITAL FUND ₹3.3Cr; Bulk Deal Buy: NEO APEX SHARE BROKING SERVICE ₹0.9Cr; Bulk Deal Buy: SWASTIKA INVESTMART LIMITED ₹0.9Cr (+2 more)
GRMOVER,BULK_DEAL_BUY,0,Bulk Deal Buy: RAVI GOYAL (HUF) ₹14.0Cr; Bulk Deal Sell: R G  FAMILY TRUST ₹14.0Cr
HEXAGON,BULK_DEAL_BUY,2,Bulk Deal Buy: SETU SECURITIES PVT LTD ₹3.7Cr; Bulk Deal Buy: NAVRATRI SHARE TRADING PRIVATE ₹3.1Cr
HINDWAREAP,BULK_DEAL_BUY,0,Bulk Deal Buy: NK SECURITIES RESEARCH PRIVATE ₹16.1Cr; Bulk Deal Sell: NK SECURITIES RESEARCH PRIVATE ₹16.1Cr
IEML,BULK_DEAL_BUY,0,Bulk Deal Buy: YASH DASHARATH GOTARANE ₹0.4Cr; Bulk Deal Sell: YASH DASHARATH GOTARANE ₹0.2Cr
LEMERITE,BULK_DEAL_BUY,-1,Bulk Deal Buy: SAHASTRAA ADVISORS PRIVATE LIM ₹2.4Cr; Bulk Deal Buy: LAXMI TRADE SOLUTIONS ₹4.2Cr; Bulk Deal Sell: LAXMI TRADE SOLUTIONS ₹3.5Cr (+2 more)
MANCREDIT,BULK_DEAL_BUY,0,Bulk Deal Buy: BULLPULSE MARKETEDGE PRIVATE L ₹3.8Cr; Bulk Deal Sell: BULLPULSE MARKETEDGE PRIVATE L ₹3.8Cr
MARKOLINES,BULK_DEAL_BUY,0,Bulk Deal Buy: HI KLASS TRADING & INVESTMENT  ₹1.9Cr; Bulk Deal Buy: VISTAAR TRADING SERVICE PRIVAT ₹2.5Cr; Bulk Deal Buy: L7 HITECH PRIVATE LIMITED ₹1.9Cr (+3 more)
MOTISONS,BULK_DEAL_BUY,0,Bulk Deal Buy: ARIHANT CAPITAL MARKETS LIMITE ₹15.6Cr; Bulk Deal Buy: JUNOMONETA FINSOL PRIVATE LIMI ₹14.1Cr; Bulk Deal Sell: ARIHANT CAPITAL MARKETS LIMITE ₹15.2Cr (+1 more)
MTARTECH,BULK_DEAL_BUY,0,Bulk Deal Buy: HRTI PRIVATE LIMITED ₹112.6Cr; Bulk Deal Sell: HRTI PRIVATE LIMITED ₹130.3Cr
NARMADA,BULK_DEAL_BUY,0,Bulk Deal Buy: MAHEVARSH FINCON PRIVATE LIMIT ₹1.0Cr; Bulk Deal Buy: MSB E TRADE SECURITIES LIMITED ₹2.3Cr; Bulk Deal Sell: MSB E TRADE SECURITIES LIMITED ₹2.3Cr (+1 more)
RHETAN,BULK_DEAL_BUY,0,Bulk Deal Buy: NIRAJ HARSUKHLAL SANGHAVI ₹13.3Cr; Bulk Deal Sell: NIRAJ HARSUKHLAL SANGHAVI ₹13.3Cr
SHAH,BULK_DEAL_BUY,0,Bulk Deal Buy: DHANJIT REAL TRADE LLP ₹2.9Cr; Bulk Deal Sell: DHANJIT REAL TRADE LLP ₹2.9Cr
UCL,BULK_DEAL_BUY,0,Bulk Deal Buy: SERA INVESTMENTS & FINANCE IND ₹4.6Cr; Bulk Deal Sell: RISING CORPORATION LLP ₹3.8Cr
VALUE360,BULK_DEAL_BUY,0,Bulk Deal Buy: PRASHANT VIJAY KHANCHANDANI ₹2.0Cr; Bulk Deal Buy: ALACRITY SECURITIES LTD ₹0.9Cr; Bulk Deal Sell: ALACRITY SECURITIES LTD ₹3.7Cr (+1 more)
VINCOFE,BULK_DEAL_BUY,-1,Bulk Deal Buy: F3 ADVISORS PRIVATE LIMITED ₹12.0Cr; Bulk Deal Sell: F3 ADVISORS PRIVATE LIMITED ₹15.4Cr; Bulk Deal Sell: ALTIZEN VENTURES LLP ₹12.2Cr
ZEEL,BULK_DEAL_BUY,0,Bulk Deal Buy: HRTI PRIVATE LIMITED ₹54.6Cr; Bulk Deal Sell: HRTI PRIVATE LIMITED ₹53.8Cr
