SECTOR_NAME,MACRO_TAILWIND,MACRO_DETAIL
FMCG,0.43,"India VIX(+0.6), Nifty 50(-0.1)"
Pharma,0.43,"India VIX(+0.6), Nifty 50(-0.1)"
Healthcare,0.43,"India VIX(+0.6), Nifty 50(-0.1)"
Auto,-0.28,"India VIX(-0.4), Nifty 50(+0.1)"
Automobile,-0.28,"India VIX(-0.4), Nifty 50(+0.1)"
IT,-0.28,"India VIX(-0.4), Nifty 50(+0.1)"
Technology,-0.28,"India VIX(-0.4), Nifty 50(+0.1)"
Defence & Shipbuilding,-0.38,"Nifty 50(+0.2), India VIX(-0.6)"
Energy,-0.38,"India VIX(-0.6), Nifty 50(+0.2)"
Defence,-0.38,"Nifty 50(+0.2), India VIX(-0.6)"
Telecom,-0.38,"India VIX(-0.6), Nifty 50(+0.2)"
Consumer Discretionary,-0.38,"India VIX(-0.6), Nifty 50(+0.2)"
Oil & Gas,-0.38,"India VIX(-0.6), Nifty 50(+0.2)"
Media & Entertainment,-0.42,"India VIX(-0.7), Nifty 50(+0.3)"
Chemicals,-0.43,"India VIX(-0.6), Nifty 50(+0.1)"
Capital Goods,-0.57,India VIX(-0.6)
Metals & Mining,-0.57,India VIX(-0.6)
Realty,-0.57,"India VIX(-0.7), Nifty 50(+0.1)"
Infrastructure,-0.57,India VIX(-0.6)
PSU Bank,-0.61,"India VIX(-0.9), Nifty 50(+0.2)"
Private Bank,-0.61,"India VIX(-0.9), Nifty 50(+0.2)"
Financial Services,-0.61,"India VIX(-0.9), Nifty 50(+0.2)"
Banking & Finance,-0.61,"India VIX(-0.9), Nifty 50(+0.2)"
