"SYMBOL","OPEN","HIGH","LOW","CLOSE","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","HI_52_WK","LO_52_WK"
"Nifty 50",22549.65,22714.1,22283.85,22331.4,22819.6,6474061151,1468635902193.09,2026-03-30,45481735,26373.2,21743.65
"NIFTY50 EQL Wgt",29847,30059.1,29502.2,29556.95,30159.4,0,0,2026-03-30,0,0,0
"NIFTY100 EQL Wgt",30164.65,30416.35,29741.95,29787.2,30534.95,0,0,2026-03-30,0,0,0
"NIFTY100 LowVol30",18507.15,18586.1,18278.65,18308.4,18698,0,0,2026-03-30,0,0,0
"NIFTY Alpha 50",45227.05,45537.4,44390.8,44487.95,45890.35,0,0,2026-03-30,0,0,0
"NIFTY MIDCAP 150",19696.95,19753.25,19398.05,19430.9,19952.75,0,0,2026-03-30,0,22650.05,17269.5
"NIFTY SMLCAP 50",7567.9,7593.2,7452.85,7465.05,7657.8,0,0,2026-03-30,0,9282.7,6776.05
"NIFTY SMLCAP 250",14487.35,14554.75,14260.6,14288.45,14655.35,0,0,2026-03-30,0,18077.35,13314.7
"NIFTY MIDSML 400",17765.6,17826.05,17497.3,17524.35,17988.25,0,0,2026-03-30,0,20668.15,15832.85
"NIFTY200 QUALTY30",18389.7,18573.5,18183.25,18207,18574.95,0,0,2026-03-30,0,0,0
"Nifty FinSrv25 50",26217.45,26283.35,25633.4,25705.6,26609.7,0,0,2026-03-30,0,0,0
"NIFTY AlphaLowVol",24343.55,24412.7,23919.2,23961.3,24592.25,0,0,2026-03-30,0,0,0
"Nifty200Momentm30",27566.75,27719.45,27000.4,27071.65,27944.5,0,0,2026-03-30,0,0,0
"Nifty100ESGSecLdr",3739.45,3768.9,3699.15,3707.2,3786.5,0,0,2026-03-30,0,0,0
"NIFTY100 ESG",4494.7,4521.25,4434.45,4444.8,4553.25,0,0,2026-03-30,0,0,0
"NIFTY M150 QLTY50",20909.6,21063.85,20677.85,20728.25,21190.95,0,0,2026-03-30,0,0,0
"NIFTY INDIA MFG",14126.55,14265.4,14011.8,14032.55,14293.1,0,0,2026-03-30,0,0,0
"Nifty200 Alpha 30",22422.85,22578.3,22014.5,22065.75,22731.8,0,0,2026-03-30,0,0,0
"NiftyM150Momntm50",55332.35,55587.2,54301.85,54460.9,56140.55,0,0,2026-03-30,0,0,0
"Nifty50 USD",8340.6,8522.65,8132.4,8185.4,8340.6,0,0,2026-03-30,0,0,0
"Nifty IT",29225.6,29439.05,28961.4,29062.6,29541.65,0,0,2026-03-30,0,40301.4,28288.05
"Nifty Next 50",61170.4,61818.25,60269.3,60349.8,62043.05,0,0,2026-03-30,0,70833.65,57250.25
"Nifty Bank",51527.9,51624.5,50105.25,50275.35,52274.6,0,0,2026-03-30,0,61764.85,49156.95
"NIFTY MIDCAP 100",53383.45,53555.6,52554.45,52650,54097.8,0,0,2026-03-30,0,61548.85,46966.6
"Nifty 500",20762.35,20889.25,20490.45,20528.05,21020.15,0,0,2026-03-30,0,24144.2,19519.85
"Nifty 100",23114.15,23289.5,22829.95,22875.5,23400.05,0,0,2026-03-30,0,26975.15,22177.35
"Nifty Midcap 50",15194.1,15228.9,14954.9,14983.35,15396.1,0,0,2026-03-30,0,17572.45,13269.65
"Nifty Realty",661.8,667.9,648.6,651.15,670.15,0,0,2026-03-30,0,1049.7,648.6
"Nifty Infra",8612.85,8703.55,8543.9,8560.95,8720.4,0,0,2026-03-30,0,9792.6,7775.8
"Nifty Energy",34893.65,35524.1,34799.85,34849.7,35214.8,0,0,2026-03-30,0,37306.5,29802.2
