category_code,category_label,is_thematic,nse_group_raw,index_display_name,api_index_symbol,last,percent_change,pe,pb,year_high,year_low
DERIVATIVES_ELIGIBLE,Listed for derivatives,0,INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24173.05,-0.84,21.28,3.33,26373.2,22182.55
DERIVATIVES_ELIGIBLE,Listed for derivatives,0,INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,70410.35,-1.31,20.2,3.8,71536.8,59896.1
DERIVATIVES_ELIGIBLE,Listed for derivatives,0,INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,56305,-1.43,15.06,1.95,61764.85,49954.85
DERIVATIVES_ELIGIBLE,Listed for derivatives,0,INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26247.2,-1.42,17.24,2.84,28562.5,23373.95
DERIVATIVES_ELIGIBLE,Listed for derivatives,0,INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13848.55,-0.65,33.84,4.74,14118.4,5520.25
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25094.95,-0.93,21.07,3.41,26975.15,22720.45
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13801.35,-0.83,22.97,3.6,14700.95,12396.1
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22810.85,-0.79,23.67,3.62,24144.2,20385.65
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16936.05,-0.71,36.31,4.64,17572.45,14783.9
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59952.8,-0.41,37.03,4.75,61548.85,52032.85
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17720.75,-0.67,30.24,3.48,19224.95,14986
BROAD,Broad market,0,BROAD MARKET INDICES,INDIA VIX,INDIA VIX,18.54,1.31,0,0,28.91,8.72
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22099.3,-0.41,34.75,4.75,22650.05,19165.1
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8633.15,-0.67,28.04,3.29,9282.7,7338.35
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,16592.45,-0.55,30.16,3.48,18077.35,14143.45
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20068.95,-0.46,33.07,4.23,20668.15,17390.85
BROAD,Broad market,0,BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15937.85,-0.7,25.62,3.69,17112.15,5531.55
