SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL
AMARAJABAT,2023-01-02,573.0,577.95,567.85,574.8,926003.0,531670335.9
AMARAJABAT,2023-01-03,575.25,582.8,573.25,575.8,595500.0,344148788.7
AMARAJABAT,2023-01-04,578.8,578.8,565.35,573.15,451473.0,258025363.9
AMARAJABAT,2023-01-05,576.85,577.75,569.5,575.45,392215.0,225006910.85
AMARAJABAT,2023-01-06,577.0,589.0,575.5,585.9,1372158.0,803472537.65
AMARAJABAT,2023-01-09,587.8,592.9,575.15,580.2,440291.0,257151426.55
AMARAJABAT,2023-01-10,583.15,589.75,572.85,579.9,449732.0,261220901.45
AMARAJABAT,2023-01-11,580.7,588.45,578.55,585.55,321253.0,187555488.5
AMARAJABAT,2023-01-12,588.35,599.85,586.0,590.95,826900.0,491167024.6
AMARAJABAT,2023-01-13,594.0,594.1,573.1,575.3,541387.0,313970831.65
AMARAJABAT,2023-01-16,576.45,588.5,565.65,568.2,491596.0,283218202.65
AMARAJABAT,2023-01-17,570.55,575.5,561.65,572.15,500015.0,284909305.6
AMARAJABAT,2023-01-18,575.0,585.95,572.15,582.35,608053.0,351401185.9
AMARAJABAT,2023-01-19,582.0,583.15,570.0,571.4,358673.0,206308286.15
AMARAJABAT,2023-01-20,571.5,580.8,565.0,574.4,382105.0,218151214.05
AMARAJABAT,2023-01-23,576.95,580.2,571.2,574.3,191201.0,109819981.1
AMARAJABAT,2023-01-24,574.3,576.7,568.65,572.8,166079.0,95081429.9
AMARAJABAT,2023-01-25,571.55,572.65,562.1,564.8,169094.0,95850306.15
AMARAJABAT,2023-01-27,591.65,597.9,565.4,579.55,1500475.0,867902080.9
AMARAJABAT,2023-01-30,577.05,594.0,565.25,569.95,465025.0,268056551.0
AMARAJABAT,2023-01-31,562.1,578.5,562.0,566.55,716672.0,408412316.85
AMARAJABAT,2023-02-01,572.0,599.6,572.0,593.7,1994590.0,1179742486.75
AMARAJABAT,2023-02-02,596.25,619.7,586.9,615.55,1326059.0,809748656.15
AMARAJABAT,2023-02-03,614.05,614.85,592.4,605.05,597014.0,359905005.8
AMARAJABAT,2023-02-06,604.5,613.85,595.05,597.8,355998.0,214704172.4
AMARAJABAT,2023-02-07,597.1,601.45,585.0,588.3,261572.0,155447178.5
AMARAJABAT,2023-02-08,588.45,595.6,587.4,591.5,266125.0,157438748.45
AMARAJABAT,2023-02-09,592.0,615.2,591.5,611.95,769295.0,465304344.0
AMARAJABAT,2023-02-10,614.85,614.85,601.05,606.5,263285.0,159456315.15
AMARAJABAT,2023-02-13,613.8,619.25,598.5,601.65,472040.0,287183655.0
AMARAJABAT,2023-02-14,601.65,610.5,601.05,603.4,257921.0,156322897.3
AMARAJABAT,2023-02-15,602.95,609.8,601.1,607.65,201969.0,122407902.05
AMARAJABAT,2023-02-16,609.5,612.0,601.1,601.95,181835.0,110125328.45
AMARAJABAT,2023-02-17,602.7,608.95,596.5,605.0,248223.0,149550015.15
AMARAJABAT,2023-02-20,608.2,610.0,598.2,600.95,173294.0,104352259.7
AMARAJABAT,2023-02-21,602.5,604.85,577.4,585.6,245248.0,145449312.75
AMARAJABAT,2023-02-22,585.0,585.0,563.2,565.95,406300.0,231443833.8
AMARAJABAT,2023-02-23,568.0,579.65,568.0,570.8,361256.0,207242198.55
AMARAJABAT,2023-02-24,572.0,579.0,568.0,572.45,192400.0,110493346.45
AMARAJABAT,2023-02-27,572.2,573.0,552.3,559.4,372265.0,207987803.7
AMARAJABAT,2023-02-28,559.4,566.95,546.0,554.95,499926.0,277209663.45
AMARAJABAT,2023-03-01,557.5,571.95,555.1,568.25,346330.0,195397558.65
AMARAJABAT,2023-03-02,569.05,578.0,569.0,573.7,257417.0,147598371.55
AMARAJABAT,2023-03-03,574.0,576.4,570.55,572.1,163271.0,93643487.45
