sector,index_name,pct_above_50dma,change_5d,breadth_signal,divergence_alert,as_of_date
Banking - Private,NIFTY PVT BANK,90.0,20.0,HEALTHY,NONE,2026-06-11
Pharma,NIFTY PHARMA,71.4,-4.8,HEALTHY,NONE,2026-06-11
Pharma & Healthcare,NIFTY HEALTHCARE,70.0,5.0,HEALTHY,NONE,2026-06-11
EV & Auto Ancillaries,NIFTY EV,57.1,-11.5,NEUTRAL,NONE,2026-06-11
Defence & Aerospace,NIFTY IND DEFENCE,55.6,-11.1,NEUTRAL,NONE,2026-06-11
Auto,NIFTY AUTO,52.9,0.0,NEUTRAL,NONE,2026-06-11
Banking,NIFTY BANK,50.0,8.3,NEUTRAL,NONE,2026-06-11
Logistics & Transport,NIFTY TRANS LOGIS,46.7,-6.6,NEUTRAL,NONE,2026-06-11
Capital Markets,NIFTY CAPITAL MKT,46.7,-13.3,NEUTRAL,NONE,2026-06-11
Chemicals & Specialty,NIFTY CHEMICALS,45.0,-30.0,NEUTRAL,INT_WEAKNESS,2026-06-11
IT,NIFTY IT,44.4,-22.3,NEUTRAL,NONE,2026-06-11
Infrastructure,NIFTY INFRA,43.3,-10.0,NEUTRAL,NONE,2026-06-11
Energy,NIFTY ENERGY,38.5,-30.7,WEAK,NONE,2026-06-11
Housing & Building Materials,NIFTY HOUSING,38.0,-16.0,WEAK,NONE,2026-06-11
Midcap,NIFTY MIDCAP 150,36.7,-16.6,WEAK,NONE,2026-06-11
Consumption & Discretionary,NIFTY CONSUMPTION,36.7,-10.0,WEAK,NONE,2026-06-11
Commodities,NIFTY COMMODITIES,30.0,-20.0,WEAK,NONE,2026-06-11
Energy - Oil & Gas,NIFTY OIL AND GAS,28.6,-35.7,WEAK,NONE,2026-06-11
FMCG,NIFTY FMCG,26.7,-6.6,WEAK,NONE,2026-06-11
Metal,NIFTY METAL,25.0,-50.0,WEAK,NONE,2026-06-11
Realty,NIFTY REALTY,20.0,-40.0,WEAK,NONE,2026-06-11
Financial Services,NIFTY FIN SERVICE,20.0,5.0,WEAK,NONE,2026-06-11
PSU / CPSE,NIFTY PSE,15.0,-15.0,WEAK,NONE,2026-06-11
Consumer Durables,NIFTY CONSR DURBL,13.3,-26.7,WEAK,NONE,2026-06-11
Financial Services,NIFTY FINSEREXBNK,10.0,-16.7,WEAK,NONE,2026-06-11
PSU / CPSE,NIFTY CPSE,9.1,-27.3,WEAK,NONE,2026-06-11
Banking - PSU,NIFTY PSU BANK,8.3,-8.4,WEAK,NONE,2026-06-11
