Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
ACTCON,ACTION CONSTRUCTION EQUIPMENTS,INE731H01025,54,1135.47,890.40,+ 0.62,61315.38,48081.60,36707.05,-13233.78,(21.58),
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,6,2288.87,2919.10,- 0.62,13733.22,17514.60,265977.55,3781.38,27.53,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,21,1318.98,1795.00,- 0.53,27698.58,37695.00,9912.09,9996.42,36.09,
ADAPOW,ADANI POWER LIMITED,INE814H01029,75,152.45,240.20,- 1.30,11433.75,18015.00,(1318.01),6581.25,57.56,
ADOWEL,ADOR WELDING LIMITED,INE045A01017,8,1085.83,1137.10,- 0.22,8686.64,9096.80,9549.36,410.16,4.72,
AFFIND,AFFLE 3I LIMITED,INE00WC01027,10,1764.86,1460.00,- 0.21,17648.60,14600.00,2705.67,-3048.60,(17.27),
ANARAJ,ANANT RAJ LIMITED,INE242C01024,25,675.84,526.50,+ 2.40,16896.00,13162.50,18439.12,-3733.50,(22.10),
ANARAT,ANAND RATHI WEALTH LIMITED,INE463V01026,15,2201.32,3477.00,+ 0.76,33019.80,52155.00,11067.69,19135.20,57.95,
APLAPO,APL APOLLO TUBES LIMITED,INE702C01027,5,1941.09,1801.30,- 1.63,9705.45,9006.50,5854.30,-698.95,(7.20),
APMFIN,MUFIN GREEN FINANCE LIMITED,INE08KJ01020,80,112.55,123.26,+ 0.04,9004.00,9860.80,13723.75,856.80,9.52,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,10,7104.32,8130.50,- 0.56,71043.20,81305.00,5513.92,10261.80,14.44,
APOMIC,APOLLO MICRO SYSTEMS LIMITED,INE713T01028,80,312.49,425.35,+ 4.00,24999.20,34028.00,0.00,9028.80,36.12,
APOTYR,APOLLO TYRES LTD,INE438A01022,10,456.30,395.50,+ 0.25,4563.00,3955.00,6643.25,-608.00,(13.32),
ARTMED,ARTEMIS MEDICARE SERVICES LTD,INE025R01021,70,207.92,273.00,- 0.13,14554.40,19110.00,8018.82,4555.60,31.30,
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,10,540.64,457.95,- 0.74,5406.40,4579.50,5371.04,-826.90,(15.29),
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,50,186.44,153.80,- 1.06,9322.00,7690.00,(563.83),-1632.00,(17.51),
