MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       110.78,       111.22,       111.22,       110.79,       110.79,                     4440.20,40,2,       113.03,       102.76,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        59.39,        59.84,        59.84,        59.28,        59.59,                 23305844.42,391083,324,        60.06,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.00,      1000.01,       999.99,      1000.00,                 12218112.39,12218,17,      1030.00,       990.00,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        72.53,        73.24,        73.53,        72.59,        73.23,                  1118050.71,15307,197,        82.05,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.14,        10.19,        10.37,        10.09,        10.32,                 12566074.77,1219272,736,        10.90,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        49.02,        49.01,        49.40,        48.90,        49.18,                 32793813.76,668883,2602,        57.78,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        25.44,        25.43,        25.50,        25.30,        25.34,                 12015005.20,473707,1130,        27.55,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.89,        27.89,        28.06,        27.89,        28.02,                 58941967.49,2104429,851,        29.96,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        10.90,        10.95,        11.31,        10.91,        11.27,                  5416025.53,487041,1831,        12.40,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1031.76,      1031.90,      1031.92,      1031.90,      1031.90,                 36044573.51,34930,125,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.62,        10.94,        10.94,        10.57,        10.66,                  1713046.54,160726,1551,        12.00,         9.47,NIFTY 50 INDEX
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        12.02,        12.38,        12.38,        11.66,        12.13,                  7109146.60,586693,2572,        12.41,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       278.41,       279.10,       279.11,       275.88,       276.48,                 75419732.02,272317,3292,       287.31,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        27.86,        27.86,        28.10,        27.60,        27.75,                 19745608.74,712180,2229,        28.71,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       597.48,       598.85,       601.00,       597.48,       600.44,                 18676217.98,31079,41,       602.50,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.03,        13.42,        13.42,        12.91,        13.00,                 10504708.52,811902,416,        14.50,        11.70,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
