GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ADANI PORT & SEZ LTD,      1454.80,      1417.90,2.60
G,POWER GRID CORP. LTD.,       295.35,       288.25,2.46
G,NTPC LTD,       347.50,       339.15,2.46
G,HCL TECHNOLOGIES LTD,      1557.30,      1522.10,2.31
G,SHRIRAM FINANCE LIMITED,       738.45,       723.70,2.04
G,OIL AND NATURAL GAS CORP.,       255.64,       250.54,2.04
G,JSW STEEL LIMITED,      1207.90,      1184.20,2.00
G,HDFC LIFE INS CO LTD,       761.30,       747.00,1.91
G,TATA STEEL LIMITED,       185.19,       181.81,1.86
G,SBI LIFE INSURANCE CO LTD,      1970.40,      1936.80,1.73
G,ADANI ENTERPRISES LIMITED,      2537.40,      2494.40,1.72
G,SUN PHARMACEUTICAL IND L,      1715.90,      1687.00,1.71
G,ASIAN PAINTS LIMITED,      2538.70,      2509.30,1.17
G,TRENT LTD,      4780.60,      4725.40,1.17
G,RELIANCE INDUSTRIES LTD,      1504.20,      1486.90,1.16
G,STATE BANK OF INDIA,       939.75,       930.25,1.02
G,ITC LTD,       421.60,       417.90,0.89
G,GRASIM INDUSTRIES LTD,      2958.70,      2932.90,0.88
G,HINDALCO  INDUSTRIES  LTD,       856.25,       848.95,0.86
G,TITAN COMPANY LIMITED,      3748.30,      3717.00,0.84
G,MAX HEALTHCARE INS LTD,      1189.50,      1179.70,0.83
G,CIPLA LTD,      1581.10,      1568.10,0.83
G,TATA CONSUMER PRODUCT LTD,      1177.10,      1168.90,0.70
G,INFOSYS LIMITED,      1510.40,      1500.20,0.68
G,JIO FIN SERVICES LTD,       309.75,       307.95,0.58
G,ULTRATECH CEMENT LIMITED,     11999.00,     11931.00,0.57
G,ICICI BANK LTD.,      1370.40,      1363.10,0.54
G,BHARTI AIRTEL LIMITED,      2100.60,      2090.20,0.50
G,HDFC BANK LTD,      1007.85,      1003.55,0.43
G,TECH MAHINDRA LIMITED,      1452.20,      1447.40,0.33
G,AXIS BANK LIMITED,      1248.80,      1246.30,0.20
G,NESTLE INDIA LIMITED,      1273.00,      1271.00,0.16
G,INTERGLOBE AVIATION LTD,      5813.00,      5809.00,0.07
 , , , , 
L,DR. REDDY S LABORATORIES,      1250.90,      1289.40,-2.99
L,COAL INDIA LTD,       382.00,       391.40,-2.40
L,BHARAT ELECTRONICS LTD,       407.20,       413.55,-1.54
L,MAHINDRA & MAHINDRA LTD,      3534.70,      3579.10,-1.24
L,ETERNAL LIMITED,       330.45,       334.60,-1.24
L,MARUTI SUZUKI INDIA LTD.,     16138.00,     16311.00,-1.06
L,BAJAJ FINANCE LIMITED,      1062.95,      1072.75,-0.91
L,EICHER MOTORS LTD,      6952.00,      7002.50,-0.72
L,KOTAK MAHINDRA BANK LTD,      2150.50,      2160.80,-0.48
L,LARSEN & TOUBRO LTD.,      3958.10,      3972.80,-0.37
L,HINDUSTAN UNILEVER LTD.,      2488.10,      2497.10,-0.36
L,APOLLO HOSPITALS ENTER. L,      7858.50,      7880.50,-0.28
L,BAJAJ AUTO LIMITED,      9034.00,      9057.50,-0.26
L,BAJAJ FINSERV LTD.,      2137.00,      2140.20,-0.15
L,WIPRO LTD,       242.28,       242.38,-0.04
L,TATA MOTORS PASS VEH LTD,       411.35,       411.50,-0.04
L,TATA CONSULTANCY SERV LT,      3057.60,      3057.90,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,ADANI GREEN ENERGY LTD,      1112.60,      1004.20,10.79
G,VARUN BEVERAGES LIMITED,       495.45,       454.15,9.09
G,INDIAN OIL CORP LTD,       163.09,       154.52,5.55
G,ADANI ENERGY SOLUTION LTD,       967.55,       921.20,5.03
G,REC LIMITED,       385.55,       368.95,4.50
G,CG POWER AND IND SOL LTD,       748.60,       722.50,3.61
G,POWER FIN CORP LTD.,       408.80,       394.60,3.60
G,GAIL (INDIA) LTD,       184.64,       178.46,3.46
G,AMBUJA CEMENTS LTD,       571.75,       554.90,3.04
G,TATA POWER CO LTD,       410.70,       398.65,3.02
G,VEDANTA LIMITED,       516.20,       502.45,2.74
G,UNITED SPIRITS LIMITED,      1387.40,      1351.80,2.63
G,HINDUSTAN ZINC LIMITED,       483.60,       471.20,2.63
G,HYUNDAI MOTOR INDIA LTD,      2357.70,      2298.70,2.57
G,ABB INDIA LIMITED,      5289.00,      5175.50,2.19
G,BHARAT PETROLEUM CORP  LT,       348.10,       340.65,2.19
G,SHREE CEMENT LIMITED,     29210.00,     28585.00,2.19
G,HAVELLS INDIA LIMITED,      1509.40,      1480.60,1.95
