Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 OCT 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,29 OCT 2025,               5.00,          35286502,            208.15,     7344532526.30 
29 OCT 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,29 OCT 2025,              10.00,          10500000,             45.90,      481845000.00
29 OCT 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,29 OCT 2025,               1.00,         404688480,           1126.70,   455962510416.00    
29 OCT 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,29 OCT 2025,              10.00,         207382685,             18.55,     3842801153.05 
29 OCT 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,29 OCT 2025,              10.00,          11265070,          29765.00,   335304808550.00   
29 OCT 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,29 OCT 2025,               2.00,          18000000,             43.00,      774360000.00    
29 OCT 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,29 OCT 2025,              10.00,          31242338,            317.25,     9911631730.50    
29 OCT 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,29 OCT 2025,               2.00,          46078537,            813.30,    37475674142.10   
29 OCT 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,29 OCT 2025,              10.00,         176119858,             16.75,     2950007621.50  
29 OCT 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,29 OCT 2025,              10.00,          12826800,             92.60,     1187505144.00   
29 OCT 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,29 OCT 2025,              10.00,         433092732,            514.80,   222956138433.60 
29 OCT 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,29 OCT 2025,              10.00,          14172816,             86.00,     1218862176.00    
29 OCT 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,29 OCT 2025,               1.00,         101250000,              9.15,      924412500.00    
29 OCT 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,28 OCT 2025,              10.00,          14138000,            162.30,     2294597400.00  
29 OCT 2025,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,29 OCT 2025,              10.00,          28354303,             93.10,     2640069152.35
29 OCT 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,29 OCT 2025,              10.00,          20946478,            210.00,     4399179309.55     
29 OCT 2025,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,29 OCT 2025,               5.00,          31770376,             57.70,     1832832991.45   
29 OCT 2025,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,29 OCT 2025,              10.00,          91270000,            493.95,    45082816500.00
29 OCT 2025,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,29 OCT 2025,               5.00,         362593869,            385.85,   139906844353.65  
29 OCT 2025,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,29 OCT 2025,               5.00,          90641224,            831.90,    75404434245.60
29 OCT 2025,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,29 OCT 2025,              10.00,           8458495,            465.05,     3933623099.75 
29 OCT 2025,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,29 OCT 2025,              10.00,          14810700,            122.10,     1808682684.00     
29 OCT 2025,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,29 OCT 2025,               5.00,          22600000,             20.50,      463300000.00    
29 OCT 2025,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,29 OCT 2025,              10.00,          79161353,           1665.30,   131827401150.90     
29 OCT 2025,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,29 OCT 2025,               2.00,          58365323,             40.50,     2364962887.95      
29 OCT 2025,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,29 OCT 2025,               2.00,         211908375,           5289.00,  1120783395375.00       
29 OCT 2025,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,29 OCT 2025,              10.00,          21249302,          29705.00,   631210515910.00
29 OCT 2025,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,29 OCT 2025,              10.00,        2612436210,            310.80,   811945174068.00 
29 OCT 2025,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,29 OCT 2025,              10.00,          21963620,            411.10,     9029244182.00    
29 OCT 2025,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,29 OCT 2025,               2.00,         279710151,            648.75,   181461960461.25      
29 OCT 2025,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,29 OCT 2025,              10.00,        1220266696,             84.50,   103112535812.00     
29 OCT 2025,ABHAPOWER,ST,ABHA POWER N STEEL LTD   ,Listed    ,29 OCT 2025,              10.00,          18587830,             37.45,      696114233.50 
29 OCT 2025,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,29 OCT 2025,               1.00,         638789360,             19.10,    12200876776.00   
29 OCT 2025,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,29 OCT 2025,              10.00,        1220294773,            135.60,   165496377114.25     
29 OCT 2025,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,29 OCT 2025,              10.00,           9408000,             49.60,      466824960.00
29 OCT 2025,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
29 OCT 2025,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,29 OCT 2025,              10.00,         111695680,           1817.80,   203040407104.00     
29 OCT 2025,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,29 OCT 2025,               5.00,         288658807,            781.30,   225529125909.10   
29 OCT 2025,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,29 OCT 2025,              10.00,          24550000,            208.05,     5107627500.00 
29 OCT 2025,ACC,EQ,ACC LIMITED              ,Listed    ,29 OCT 2025,              10.00,         187787263,           1879.30,   352908603355.90       
29 OCT 2025,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,29 OCT 2025,              10.00,          14926261,           1396.50,    20844523486.50   
29 OCT 2025,ACCENTMIC,ST,ACCENT MICROCELL LIMITED ,Listed    ,29 OCT 2025,              10.00,          23989020,            266.00,     6381079320.00 
29 OCT 2025,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,16 OCT 2025,              10.00,           3472000,             20.90,       72564800.00    
29 OCT 2025,ACCPL,SM,ACCRETION PHARMA LIMITED ,Listed    ,29 OCT 2025,              10.00,          11116000,             56.75,      630833000.00     
29 OCT 2025,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,29 OCT 2025,               1.00,         150560000,              6.60,      995201600.00  
29 OCT 2025,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,29 OCT 2025,               2.00,         119083196,           1105.50,   131646473178.00       
29 OCT 2025,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,29 OCT 2025,              10.00,          10200000,             23.90,      243576000.00  
29 OCT 2025,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,29 OCT 2025,               2.00,         123427682,            638.10,    78759203884.20       
29 OCT 2025,ACL,BE,ANDHRA CEMENTS LIMITED   ,Listed    ,29 OCT 2025,              10.00,          92172140,             72.40,     6671419493.20       
29 OCT 2025,ACLGATI,EQ,ALLCARGO GATI LIMITED    ,Listed    ,29 OCT 2025,               2.00,         147075551,             60.80,     8942193500.80   
29 OCT 2025,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,29 OCT 2025,               2.00,         605087781,            285.60,   172813070253.60 
29 OCT 2025,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,29 OCT 2025,               5.00,          15015016,            170.00,     2552552720.00
29 OCT 2025,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,29 OCT 2025,               5.00,          81868922,           1689.30,   138301169934.60   
29 OCT 2025,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,29 OCT 2025,              10.00,        1201282642,            967.55,  1162301020267.10
29 OCT 2025,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,29 OCT 2025,               1.00,        1154180729,           2537.40,  2928618181764.60  
29 OCT 2025,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,29 OCT 2025,              10.00,        1622596235,           1112.60,  1805300571061.00
29 OCT 2025,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,29 OCT 2025,               2.00,        2160138945,           1454.80,  3142570137186.00
29 OCT 2025,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,29 OCT 2025,               2.00,       19284694705,            162.10,  3126049011680.50
29 OCT 2025,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,29 OCT 2025,               2.00,         109863595,            223.40,    24543527123.00  
29 OCT 2025,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,29 OCT 2025,              10.00,           5566250,             85.60,      476415337.50       
29 OCT 2025,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,29 OCT 2025,              10.00,          17402815,           1136.50,    19778299247.50      
29 OCT 2025,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,29 OCT 2025,              10.00,          54177208,             11.70,      633873333.60
29 OCT 2025,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,29 OCT 2025,               5.00,          56427803,            181.20,    10225282181.65      
29 OCT 2025,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,29 OCT 2025,              10.00,          64285720,            139.00,     8937000794.40   
29 OCT 2025,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,29 OCT 2025,               2.00,          92438500,             59.05,     5459417810.00
29 OCT 2025,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,29 OCT 2025,               2.00,         111881150,            309.15,    34588057522.50
29 OCT 2025,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,29 OCT 2025,               1.00,         351000000,            785.35,   275657850000.00  
29 OCT 2025,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,29 OCT 2025,              10.00,        1107991489,            275.70,   305473253517.30
29 OCT 2025,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,29 OCT 2025,               2.00,         129320370,            185.25,    23957891746.20  
29 OCT 2025,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,29 OCT 2025,              10.00,          17020000,            108.50,     1846670000.00     
29 OCT 2025,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,29 OCT 2025,              10.00,          17220175,            110.00,     1894219250.00 
29 OCT 2025,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,29 OCT 2025,              10.00,         132590241,            749.90,    99429421725.90    
29 OCT 2025,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,29 OCT 2025,              10.00,         367784631,            453.30,   166716773232.30    
29 OCT 2025,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,29 OCT 2025,               2.00,         140640216,           1909.70,   268580620495.20     
29 OCT 2025,AFFORDABLE,EQ,AFFORD ROBO & AUTO LTD   ,Listed    ,29 OCT 2025,              10.00,          11246266,            255.15,     2869597232.55
29 OCT 2025,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,29 OCT 2025,               1.00,         426749960,              8.05,     3443872177.20      
29 OCT 2025,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,29 OCT 2025,               2.00,          50610040,            202.70,    10258149007.60      
29 OCT 2025,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,29 OCT 2025,              10.00,          14957789,            861.35,    12883891555.15   
29 OCT 2025,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,29 OCT 2025,               1.00,         316158357,            511.35,   161667575851.95
29 OCT 2025,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,29 OCT 2025,              10.00,           7243488,             56.45,      408894897.60 
29 OCT 2025,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,29 OCT 2025,              10.00,          17674600,            137.05,     2422303930.00
29 OCT 2025,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,29 OCT 2025,               2.00,          64697381,            839.55,    54316686218.55       
29 OCT 2025,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,29 OCT 2025,               1.00,         122167200,            261.00,    31885639200.00     
29 OCT 2025,AGNI,ST,AGNI GREEN POWER LTD     ,Listed    ,29 OCT 2025,              10.00,          19534800,             24.25,      473718900.00      
29 OCT 2025,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,29 OCT 2025,              10.00,           5940000,            131.35,      780100200.00  
29 OCT 2025,AGROPHOS,BE,AGRO PHOS INDIA LIMITED  ,Listed    ,29 OCT 2025,              10.00,          20274115,             41.50,      841375772.50  
29 OCT 2025,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,29 OCT 2025,              10.00,         128433076,              4.15,      534281596.15    
29 OCT 2025,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,29 OCT 2025,              10.00,           5484000,             64.65,      354540600.00      
29 OCT 2025,AHCL,BE,ANLON HEALTHCARE LIMITED ,Listed    ,29 OCT 2025,              10.00,          53151500,            124.50,     6616298720.00      
29 OCT 2025,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,02 SEP 2025,              10.00,           5473990,             24.50,      134112755.00    
29 OCT 2025,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,29 OCT 2025,              10.00,          12921000,             59.45,      768282660.00    
29 OCT 2025,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,29 OCT 2025,              10.00,          17291696,            146.75,     2537383471.05   
29 OCT 2025,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,29 OCT 2025,               2.00,          66987560,            913.90,    61219931084.00  
29 OCT 2025,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,29 OCT 2025,               2.00,          93320370,           3330.20,   310775496174.00    
29 OCT 2025,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,29 OCT 2025,               1.00,         169845100,           2974.50,   505204249950.00      
