symbol,company,bucket,policy_score_100,policy_rating,theme_lens,reference_price,latest_price,latest_pct_change,move_vs_reference_pct,day_high,day_low,volume_shares,quote_as_of,quote_source,breakout_level,retest_level,stop_price,target_2r_price,distance_to_breakout_pct,distance_above_retest_pct,distance_above_stop_pct,paper_quantity_by_policy,paper_position_value_reference,paper_position_value_latest,shadow_pnl,shadow_pnl_pct_nav,paper_risk_to_stop,trigger_state,trigger_note,evidence_blockers,next_action
SYRMA,Syrma SGS Technology Ltd,Clean trigger map,80.8,Core Candidate,India EMS and manufacturing scale-up,1418.0,1467.9,0.54,3.5190409026798264,1503.6,1458.5,972670,18-Aug-2026 09:02:29,yfinance (NSE),1532.88,1379.22,1316.69,1620.62,4.426732066217043,6.429721146735123,11.484100281767162,14,19852.0,20550.600000000002,698.6000000000013,0.13972000000000026,1418.34,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
AEGISVOPAK,Aegis Vopak Terminals Limited,Clean trigger map,73.2,Active Watch,"Energy storage, terminals, and logistics infrastructure",288.7,269.5,0.15,-6.650502251472112,272.25,262.95,667511,18-Aug-2026 09:02:29,yfinance (NSE),314.6,289.32,259.83,346.44,16.73469387755102,-6.850546108115574,3.721664165030991,51,14723.7,13744.5,-979.1999999999994,-0.19583999999999985,1472.37,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
KARURVYSYA,Karur Vysya Bank Limited,Clean trigger map,71.5,Active Watch,Private-bank credit cycle and regional lending franchise,337.5,334.0,0.83,-1.0370370370370363,335.75,326.6,1638420,18-Aug-2026 09:02:30,yfinance (NSE),355.32,327.74,302.9,406.7,6.383233532934129,1.9100506499054148,10.267414988445033,44,14850.0,14696.0,-154.0,-0.0308,1522.4,RETEST_TRIGGER_WATCH,Retest zone held so far; needs close/volume confirmation before order.,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
VMART,V-Mart Retail Ltd.,Clean trigger map,67.1,Active Watch,Value retail and discretionary consumption recovery,813.9,792.3,-1.88,-2.6538886841135256,809.5,787.1,52761,18-Aug-2026 09:02:31,yfinance (NSE),896.88,762.24,740.25,961.2,13.199545626656572,3.943639798488663,7.031408308004039,18,14650.2,14261.4,-388.8000000000004,-0.07776000000000008,1325.7,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
FIVESTAR,Five Star Business Finance Ltd,Clean trigger map,65.7,Active Watch,Secured MSME and small-business NBFC lending,553.25,537.75,-2.26,-2.801626751016717,549.0,532.0,333763,18-Aug-2026 09:02:32,yfinance (NSE),802.39,550.36,504.54,650.67,49.21245932124594,-2.2912275601424503,6.5822333214413,27,14937.75,14519.25,-418.5,-0.0837,1315.17,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger."
SONACOMS,Sona BLW Precision Forgings Limited,Retest trigger map,74.0,Active Watch,EV and premium auto-component content,792.0,805.1,1.65,1.6540404040404022,814.3,795.75,2346950,18-Aug-2026 09:02:32,yfinance (NSE),832.85,727.07,712.8,950.4,3.446776797913298,10.732116577495976,12.948933782267137,18,14256.0,14491.800000000001,235.8000000000004,0.047160000000000084,1425.6,NO_TRIGGER_WAIT,No mapped breakout/retest trigger has confirmed.,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
NETWEB,Netweb Technologies India Limited,Retest trigger map,73.0,Active Watch,"AI, HPC, and data-center infrastructure",4816.0,5212.4,4.16,8.230897009966775,5225.0,5008.3,1438746,18-Aug-2026 09:02:33,yfinance (NSE),5296.44,4402.31,4481.34,5485.32,1.6123091090476604,18.401475588952152,16.313424109752873,3,14448.0,15637.199999999999,1189.199999999999,0.2378399999999998,1003.98,NEAR_BREAKOUT_RETEST_ONLY,"Near breakout, but policy says retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WELCORP,Welspun Corp Limited,Retest trigger map,72.3,Active Watch,Industrial pipes and energy infrastructure capex,1819.6,1882.0,0.8,3.429325126401417,1887.1,1846.0,202713,18-Aug-2026 09:02:34,yfinance (NSE),1880.62,1661.64,1637.64,2183.52,-0.07332624867163462,13.26159697648106,14.921472362668231,8,14556.8,15056.0,499.2000000000007,0.09984000000000015,1455.68,BREAKOUT_TOUCHED_BUT_RETEST_ONLY,"Breakout zone touched, but policy bucket remains retest-only/no-chase.",GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
RAINBOW,Rainbow Childrens Medicare Limited,Retest trigger map,68.9,Active Watch,Specialty healthcare services and hospital capacity,1573.2,1478.5,1.5,-6.019577930333087,1485.2,1423.8,112226,18-Aug-2026 09:02:34,yfinance (NSE),1626.1,1505.28,1429.07,1861.46,9.983090970578278,-1.7790710034013557,3.4588928463966218,9,14158.8,13306.5,-852.3000000000004,-0.17046000000000008,1297.17,STOP_ZONE_HIT,Latest day low breached or touched the mapped stop; candidate must be reviewed.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
WEWORK,Wework India Management Limited,Retest trigger map,66.9,Active Watch,Flexible workspace and managed office demand,748.2,707.8,-0.1,-5.3996257685111075,727.0,703.1,290970,18-Aug-2026 09:02:35,yfinance (NSE),802.45,720.66,675.22,894.16,13.372421588019234,-1.7844753420475645,4.825094043422884,20,14964.0,14156.0,-808.0000000000018,-0.16160000000000038,1459.6,RETEST_UNDER_PRESSURE,Retest zone was lost intraday; no order.,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.
