"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
130,"CREDITACC","CREDITACCESS GRAMEEN LTD","MID_CAP",1399.9,4.24,0.09,12.91,81.3,64.4,"STRONG_BULLISH",26.38,20,18,15,53.16,50.22,47,57.11,66,1112580750.2,"STRONG_BUY",2025-08-29
419,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",143.7,7.23,4.32,6.85,80.7,61.9,"BULLISH",13.69,16,18,25,71.65,75.43,86,59.55,53.75,248528655.39,"STRONG_BUY",2025-08-29
650,"BALAJEE","SHREE TIRUPATI BALAJEE L","MICRO_CAP",58.22,13.05,13.03,12.5,78.7,71.5,"STRONG_BULLISH",31.37,20,12,20,61.51,67.61,60,56.82,54,105889645.13,"BUY",2025-08-29
746,"AARVI","AARVI ENCON LIMITED","MICRO_CAP",128.83,10.38,6,22.61,75.3,67.8,"STRONG_BULLISH",20.95,18,16,10,42.4,45.4,47.5,54.35,10,77236974.51,"BUY",2025-08-29
68,"BOSCHLTD","BOSCH LIMITED","MID_CAP",39960,1.87,1.61,-0.25,74.7,61.3,"STRONG_BULLISH",26.95,11,17,15,53.48,51.96,47,57.5,63,1842288465,"BUY",2025-08-29
228,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",516.05,6.84,5.57,-5.12,73.3,52.9,"BULLISH",36.21,13,16,15,52.76,51.96,47,58.41,57,554925000.8,"BUY",2025-08-29
6,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",262.79,8.38,11.75,53.12,72.7,81.5,"STRONG_BULLISH",36.97,20,12,15,54.74,51.67,59,56.14,54,13533045652.41,"BUY",2025-08-29
100,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",450.15,4.64,7.88,30.18,72.7,72.1,"BULLISH",42.64,16,14,20,63.36,53.7,85,53.64,66,1395608092.35,"BUY",2025-08-29
194,"CHOICEIN","CHOICE INTERNATIONAL LTD","SMALL_CAP",796,-0.09,-0.9,6.97,72.7,59.6,"STRONG_BULLISH",18.52,14,12,15,54.36,51.52,55,55,60,717351004.8,"BUY",2025-08-29
621,"ASIANENE","ASIAN ENERGY SERVICES LTD","MICRO_CAP",369.15,2.34,8.91,14.66,72.7,65,"STRONG_BULLISH",28.57,15,5,25,75.48,78.33,94,62.75,54,119246440.2,"BUY",2025-08-29
358,"ARVINDFASN","ARVIND FASHIONS LIMITED","MICRO_CAP",519.7,1.19,-0.33,-5.09,71.3,52.7,"BULLISH",10.33,11,17,15,50.43,47.61,47,55.45,57,323535265.95,"BUY",2025-08-29
163,"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","SMALL_CAP",50.03,17.61,12.86,38.2,70.7,76,"BULLISH",50.77,20,12,15,55.94,62.61,56,55.71,38.33,904211021.62,"BUY",2025-08-29
