"SYMBOL","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","VOLUME","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","VOLUME_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","TRADING_SIGNAL","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR"
"OLAELEC",54.05,-1.44,20.57,27.81,75,68.8,"BULLISH",496974947,2025-08-29,1,0.75,1,0.9,"Very High","BUY",0.720140414545313,0.0843102384451777,12,0.301259070001833,"Moderate",0.0787908557569608,1.12959812348709,2.95036323100794
"BSE",2096.2,-3.77,-15.87,-17.15,18,27.1,"STRONG_BEARISH",8153679,2025-08-29,0.5,0.18,1,0.522,"Medium","SELL",0.328184327110648,-0.0891759881516919,1,-0.132738773074708,"Poor",0.321650469535962,0.464692384493537,1.16918830445502
"RBLBANK",261.05,4.07,-0.27,-3.01,90,54.5,"STRONG_BULLISH",65899998,2025-08-29,1,0.9,1,0.96,"Very High","STRONG_BUY",0.83179538436234,0.252121153892949,11,1.49889557392443,"Excellent",0.0571277021896094,2.57631094101816,1.89962057874072
"WAAREEENER",3402,-0.45,12,3.39,90,63.3,"STRONG_BULLISH",4507176,2025-08-29,1,0.9,1,0.96,"Very High","STRONG_BUY",0.926603480800986,0.291493756650016,15,3.97149292406679,"Excellent",0.0526832843665034,2.15021489805076,1.73842127295211
"GODFRYPHLP",11003.5,3.87,12.22,18.08,95,61.1,"STRONG_BULLISH",1389624,2025-08-29,1,0.95,1,0.98,"Very High","STRONG_BUY",0.938093456858769,0.159071569517255,15,2.56954372584422,"Good",0.126886143581942,1.76295998075511,2.66780151415151
"APOLLO",262.79,8.38,32.29,46.48,88,81.5,"STRONG_BULLISH",51575233,2025-08-29,0.5,0.88,1,0.802,"Very High","STRONG_BUY",0.759111299877986,0.339914404321462,14,1.41108488754055,"Excellent",0.0738113617524505,2.6374731719261,1.56553618318867
"CGPOWER",694.3,4.56,2.59,2.81,65,60.6,"BULLISH",14580868,2025-08-29,1,0.65,1,0.86,"Very High","BUY",0.664516773074865,0.120168641004711,7,0.358195675253618,"Good",0.106569802179001,1.9423793873284,1.62585360519588
"INDIGO",5646,-1.41,-6.76,-5.11,57,37.1,"STRONG_BULLISH",1628751,2025-08-29,0.7,0.57,1,0.738,"High","HOLD",0.546724411286414,0.0950944518437609,4,0.209793896277633,"Moderate",0.164028535259422,1.32602633419447,1.15903023420833
"SAMMAANCAP",123.96,5.08,0.39,-4.39,43,51.7,"STRONG_BEARISH",68804305,2025-08-29,1,0.43,1,0.772,"High","WEAK_HOLD",0.36533960304223,-0.00731398970820009,2,-0.0115242572929704,"Poor",0.122936589783058,0.661918933526613,0.595130763482302
"GRANULES",492.25,5.35,7.47,-1.49,50,63.3,"STRONG_BEARISH",16943450,2025-08-29,1,0.5,1,0.8,"Very High","HOLD",0.516961138928309,0.0187342329300009,7,0.0387841112585358,"Fair",0.050252593588084,0.519340064609423,1.10633836442139
