"METRIC","VALUE","UNIT"
"Total Stocks Analyzed",1996,"stocks"
"High Confidence Stocks (≥70%)",373,"stocks"
"Very High Confidence Stocks (≥80%)",161,"stocks"
"Average Confidence Score",54,"%"
"Average Simulated Return",-5.1,"%"
"Average Win Rate",44.3,"%"
"Strong Buy Signals",110,"signals"
"Buy Signals",191,"signals"
"Hold Signals",197,"signals"
"Weak Hold Signals",302,"signals"
"Sell Signals",1196,"signals"
"Excellent Performance",74,"stocks"
"Good Performance",159,"stocks"
"Moderate Performance",116,"stocks"
"Fair Performance",156,"stocks"
"Poor Performance",1491,"stocks"
