"METRIC","VALUE","UNIT"
"Total Stocks Analyzed",1951,"stocks"
"High Confidence Stocks (≥70%)",318,"stocks"
"Very High Confidence Stocks (≥80%)",93,"stocks"
"Average Confidence Score",51.9,"%"
"Average Simulated Return",-8.2,"%"
"Average Win Rate",40.1,"%"
"Strong Buy Signals",2,"signals"
"Buy Signals",30,"signals"
"Hold Signals",196,"signals"
"Weak Hold Signals",493,"signals"
"Sell Signals",1230,"signals"
"Excellent Performance",2,"stocks"
"Good Performance",20,"stocks"
"Moderate Performance",56,"stocks"
"Fair Performance",203,"stocks"
"Poor Performance",1670,"stocks"
