"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR"
130,"CREDITACC","CREDITACCESS GRAMEEN LTD","MID_CAP",1399.9,4.24,0.09,12.91,81.3,64.4,"STRONG_BULLISH",26.38,20,18,15,53.16,50.22,47,57.11,66,1112580750.2,"STRONG_BUY","2025-08-29",1,0.813,1,0.9252,"Very High",0.807515504024923,0.331474669510499,9,1.72208503251824,"Excellent",0.0740656867157668,2.27236358786467,2.26585393957794
419,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",143.7,7.23,4.32,6.85,80.7,61.9,"BULLISH",13.69,16,18,25,71.65,75.43,86,59.55,53.75,248528655.39,"STRONG_BUY","2025-08-29",1,0.807,0.8,0.8628,"Very High",0.907661027088761,0.337010064627975,10,3.64970557937576,"Excellent",0.104235975723714,1.87594930327032,1.98984481429216
650,"BALAJEE","SHREE TIRUPATI BALAJEE L","MICRO_CAP",58.22,13.05,13.03,12.5,78.7,71.5,"STRONG_BULLISH",31.37,20,12,20,61.51,67.61,60,56.82,54,105889645.13,"BUY","2025-08-29",0.7,0.787,1,0.8248,"Very High",0.673328913189471,0.121431975755841,11,0.371725508190664,"Good",0.108524957299232,1.06852558418177,1.91900390647352
746,"AARVI","AARVI ENCON LIMITED","MICRO_CAP",128.83,10.38,6,22.61,75.3,67.8,"STRONG_BULLISH",20.95,18,16,10,42.4,45.4,47.5,54.35,10,77236974.51,"BUY","2025-08-29",1,0.753,1,0.9012,"Very High",0.677226268080995,0.0927153233345598,6,0.287245566060577,"Moderate",0.122206838708371,1.96936714579351,1.98765279557556
68,"BOSCHLTD","BOSCH LIMITED","MID_CAP",39960,1.87,1.61,-0.25,74.7,61.3,"STRONG_BULLISH",26.95,11,17,15,53.48,51.96,47,57.5,63,1842288465,"BUY","2025-08-29",1,0.747,1,0.8988,"Very High",0.680894238874316,0.109583749184385,11,0.343408871083415,"Good",0.062707512290217,1.53721192036755,1.45122749973088
228,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",516.05,6.84,5.57,-5.12,73.3,52.9,"BULLISH",36.21,13,16,15,52.76,51.96,47,58.41,57,554925000.8,"BUY","2025-08-29",1,0.733,1,0.8932,"Very High",0.765512944199145,0.104545247377828,12,0.445846560786775,"Good",0.141740839625709,1.52684728149325,2.5924881035462
6,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",262.79,8.38,11.75,53.12,72.7,81.5,"STRONG_BULLISH",36.97,20,12,15,54.74,51.67,59,56.14,54,13533045652.41,"BUY","2025-08-29",0.5,0.727,1,0.7408,"High",0.783202958246693,0.188774460013956,10,0.870742785451667,"Good",0.127868781494908,1.76611547044013,1.57585932151414
100,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",450.15,4.64,7.88,30.18,72.7,72.1,"BULLISH",42.64,16,14,20,63.36,53.7,85,53.64,66,1395608092.35,"BUY","2025-08-29",0.7,0.727,1,0.8008,"Very High",0.752240585442633,0.089119394114241,10,0.359701342826695,"Moderate",0.146764047350734,1.28637528372929,2.86114791850559
194,"CHOICEIN","CHOICE INTERNATIONAL LTD","SMALL_CAP",796,-0.09,-0.9,6.97,72.7,59.6,"STRONG_BULLISH",18.52,14,12,15,54.36,51.52,55,55,60,717351004.8,"BUY","2025-08-29",1,0.727,0.8,0.8308,"Very High",0.673469736380503,0.0838285179249942,10,0.256725110241784,"Moderate",0.0807224303483963,1.93889678572305,1.81617610808462
621,"ASIANENE","ASIAN ENERGY SERVICES LTD","MICRO_CAP",369.15,2.34,8.91,14.66,72.7,65,"STRONG_BULLISH",28.57,15,5,25,75.48,78.33,94,62.75,54,119246440.2,"BUY","2025-08-29",1,0.727,1,0.8908,"Very High",0.738277618819848,0.181345050949603,6,0.692890879763078,"Good",0.146009778860025,2.97101065528113,1.73355027032085
358,"ARVINDFASN","ARVIND FASHIONS LIMITED","MICRO_CAP",519.7,1.19,-0.33,-5.09,71.3,52.7,"BULLISH",10.33,11,17,15,50.43,47.61,47,55.45,57,323535265.95,"BUY","2025-08-29",1,0.713,0.8,0.8252,"Very High",0.701606535958126,0.139002154013142,9,0.465835116259905,"Good",0.0687292115529999,1.77757966145873,1.98826825548895
163,"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","SMALL_CAP",50.03,17.61,12.86,38.2,70.7,76,"BULLISH",50.77,20,12,15,55.94,62.61,56,55.71,38.33,904211021.62,"BUY","2025-08-29",0.7,0.707,1,0.7928,"High",0.603885187488049,0.182588648637757,7,0.460948802898523,"Good",0.163542026549112,1.16693741059862,1.80809527859092
500,"DEEPINDS","DEEP INDUSTRIES LIMITED","MICRO_CAP",536.9,-0.83,-2.59,13.07,70.7,56.1,"STRONG_BULLISH",29.46,15,8,20,62.64,63.48,74.6,58,46.67,179330815.35,"BUY","2025-08-29",1,0.707,1,0.8828,"Very High",0.729379827994853,0.131852597249672,7,0.487223832106515,"Good",0.11628939746879,1.616058295127,1.7628348057624
7,"CGPOWER","CG POWER AND IND SOL LTD","LARGE_CAP",694.3,4.56,2.13,5.14,70,60.6,"BULLISH",5.09,11,18,15,55.37,53.04,51,57.5,66,10027894012.85,"BUY","2025-08-29",1,0.7,0.6,0.76,"High",0.724601532891393,0.0942961037810892,7,0.342398796809215,"Moderate",0.241850210656412,1.26837485167198,2.89653054450173
132,"CARTRADE","CARTRADE TECH LIMITED","MID_CAP",2398,5.57,2.19,14.69,70,61.3,"STRONG_BULLISH",45.68,15,11,15,52.67,50.65,47,54.55,65,1071764775.7,"BUY","2025-08-29",1,0.7,1,0.88,"Very High",0.666594221862033,0.190897984169424,7,0.572569513448648,"Good",0.0703621155815199,1.97481375653297,1.88441579136997
142,"DALBHARAT","DALMIA BHARAT LIMITED","MID_CAP",2401.5,2.13,3.23,7.23,70,71,"STRONG_BULLISH",20.78,12,12,20,68.15,73.7,76,57.73,54.17,1014692939.7,"BUY","2025-08-29",0.7,0.7,1,0.79,"High",0.605257367296144,0.0806569306273013,8,0.204327893531105,"Moderate",0.12418891711859,1.06022688513622,1.39117389805615
389,"AJAXENGG","AJAX ENGINEERING LIMITED","MICRO_CAP",719.3,5.12,5.8,6.86,70,60.8,"STRONG_BULLISH",22.96,16,20,0,10,10,10,10,10,283450521.85,"BUY","2025-08-29",1,0.7,1,0.88,"Very High",0.794989471836016,0.137165077123791,6,0.669063576159733,"Good",0.0762923711445183,2.66077701339964,2.63526610401459
575,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",234.42,0.03,3.49,2.51,69.3,59.3,"STRONG_BULLISH",38.83,12,8,20,61.4,60.24,65,60.25,60,139534150.97,"BUY","2025-08-29",1,0.693,1,0.8772,"Very High",0.798254971392453,0.0999998763483018,10,0.495674550389197,"Moderate",0.0577510534785688,1.09983158973046,2.50080912443809
5,"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","LARGE_CAP",11003.5,3.87,4.14,17.18,68.7,61.1,"STRONG_BULLISH",38.52,20,14,0,NA,NA,NA,NA,NA,15324116039,"BUY","2025-08-29",1,0.687,1,0.8748,"Very High",0.615315961744636,0.181946285087615,10,0.472975915280463,"Good",0.0690431528957561,1.18842674186453,1.73611795380712
59,"DABUR","DABUR INDIA LTD","MID_CAP",521.1,1.41,1,-0.17,68.7,53.3,"STRONG_BULLISH",14.4,9,15,15,51.29,50.22,47,54.77,56.67,1946795378.45,"BUY","2025-08-29",1,0.687,0.8,0.8148,"Very High",0.707588974526152,0.0942979526054114,9,0.322484258083644,"Moderate",0.148316691303626,1.87561109685339,1.57807927730028
149,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","MID_CAP",636.75,3.44,-1.16,37.53,68.7,69.8,"STRONG_BULLISH",52.7,15,14,20,62.86,66.96,62,58.64,59,960972145.95,"BUY","2025-08-29",1,0.687,1,0.8748,"Very High",0.7955705486238,0.151214928580448,7,0.739692483458149,"Good",0.107583446335047,2.17869531351607,2.41119754558895
24,"NAVA","NAVA LIMITED","LARGE_CAP",687.6,4.79,2.34,12.7,67.3,67.9,"STRONG_BULLISH",28.18,20,12,0,NA,NA,NA,NA,NA,3593435683.45,"BUY","2025-08-29",1,0.673,1,0.8692,"Very High",0.621934943879023,0.139070334592834,11,0.367847629240649,"Good",0.0687135847052559,1.08147634542547,1.87637695856392
80,"GARUDA","GARUDA CONSTRUCT N ENG L","MID_CAP",216.33,9.66,12.53,11.65,67.3,66.1,"STRONG_BULLISH",77.17,20,12,0,NA,NA,NA,NA,NA,1628760604.08,"BUY","2025-08-29",1,0.673,1,0.8692,"Very High",0.672514435602352,0.104181718090549,6,0.318126138726673,"Good",0.146816825703718,1.74274009815417,1.67547802943736
377,"BLUESTARCO","BLUE STAR LIMITED","MICRO_CAP",1881.7,0.09,-1.99,7.24,67.3,58,"STRONG_BULLISH",18.91,11,12,25,72.84,74.35,86,58.5,66,297460188.9,"BUY","2025-08-29",1,0.673,0.8,0.8092,"Very High",0.699963871575892,0.15680171190761,7,0.522609436174191,"Good",0.127637218171731,1.86558291118126,1.44624562207609
29,"LTF","L&T FINANCE LIMITED","LARGE_CAP",217.16,0.33,-2.49,6.76,66.7,60.2,"STRONG_BULLISH",18.62,16,15,0,NA,NA,NA,NA,NA,3366873217.53,"BUY","2025-08-29",1,0.667,0.8,0.8068,"Very High",0.782525680307299,0.15776194287464,8,0.725427917639027,"Good",0.115948675433174,2.77277686900925,2.98011912941001
192,"DATAMATICS","DATAMATICS GLOBAL SER LTD","SMALL_CAP",1010.35,3.32,3.08,7.72,66.7,59.6,"BULLISH",69.74,14,10,15,55.34,56.74,53,56.45,54,722515161.95,"BUY","2025-08-29",1,0.667,1,0.8668,"Very High",0.714412166923285,0.192947388859466,6,0.675614877499475,"Good",0.0668157287873328,2.10105465142988,2.19140581204556
411,"ANANDRATHI","ANAND RATHI WEALTH LTD","MICRO_CAP",2793.9,0.93,-0.44,4.59,66.7,64.3,"STRONG_BULLISH",37.98,11,15,15,50.33,50.65,47,56.59,46.67,255781279.5,"BUY","2025-08-29",1,0.667,1,0.8668,"Very High",0.604558914946392,0.0961599687021226,7,0.243171416265679,"Moderate",0.148207803233527,1.13224218902178,1.47864093072712
543,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",481.95,0.19,-5.83,-6.54,66.7,44.4,"BULLISH",9.93,7,11,25,71.28,74.57,82,59.77,60,153304419,"BUY","2025-08-29",1,0.667,0.6,0.7468,"High",0.77104592518881,0.15149380533956,11,0.661677698745878,"Good",0.112251692428254,2.49889056372922,1.56714318331797
240,"ASTERDM","ASTER DM HEALTHCARE LTD.","SMALL_CAP",601.05,1.11,-0.24,1.4,66,50.4,"STRONG_BULLISH",9.08,6,15,20,60.89,64.13,56,56.68,66,530649079.15,"BUY","2025-08-29",1,0.66,0.6,0.744,"High",0.766096848342568,0.0941089300997555,8,0.402341436756631,"Moderate",0.239457170106471,1.83348618773744,1.95193464984186
567,"LANDMARK","LANDMARK CARS LIMITED","MICRO_CAP",603.05,3.12,5.82,23.5,66,75.1,"STRONG_BULLISH",27.02,20,13,0,NA,NA,NA,NA,NA,144540855.75,"BUY","2025-08-29",0.7,0.66,1,0.774,"High",0.775630212621763,0.0868857207987457,6,0.387243406583419,"Moderate",0.153329286794178,1.97321594785899,2.35917704296298
288,"PGHL","PROCTER & GAMBLE HEALTH L","SMALL_CAP",6370,1.14,-3.21,7.11,65.3,58.2,"STRONG_BULLISH",10.62,14,15,0,NA,NA,NA,NA,NA,434092067,"BUY","2025-08-29",1,0.653,0.8,0.8012,"Very High",0.761920437868685,0.186511071231216,6,0.783398077355098,"Good",0.141741670365445,2.46338820643723,2.69745498115662
323,"AVANTEL","AVANTEL LIMITED","MICRO_CAP",149.76,2.81,0.52,13.75,65.3,60.6,"BULLISH",1.42,11,16,15,51.41,52.39,47,57.5,48,373607212.4,"BUY","2025-08-29",1,0.653,0.5,0.7112,"High",0.600013067340478,0.155570778883994,8,0.38893965322717,"Good",0.211563187721185,1.30920808645897,1.72497615646571
