"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","SIMULATED_WIN_RATE","PERFORMANCE_CATEGORY"
"GODFRYPHLP","STRONG_BUY",95,0.98,0.159071569517255,0.938093456858769,"Good"
"LTF","STRONG_BUY",95,0.98,0.305023948987946,0.868828404089436,"Excellent"
"GARUDA","STRONG_BUY",95,0.98,0.336851287679747,0.820359581848606,"Excellent"
"COMSYN","STRONG_BUY",95,0.98,0.279471792979166,0.947210859460756,"Excellent"
"RBLBANK","STRONG_BUY",90,0.96,0.252121153892949,0.83179538436234,"Excellent"
"WAAREEENER","STRONG_BUY",90,0.96,0.291493756650016,0.926603480800986,"Excellent"
"NAVA","STRONG_BUY",90,0.96,0.302553483983502,0.948853955324739,"Excellent"
"ADANIPOWER","STRONG_BUY",90,0.96,0.346988933579996,0.791306277923286,"Excellent"
"LEMONTREE","STRONG_BUY",90,0.96,0.294075549254194,0.881351625593379,"Excellent"
"ASHAPURMIN","STRONG_BUY",90,0.96,0.154605069104582,0.760568788554519,"Good"
"SILVERBEES","STRONG_BUY",85,0.94,0.25547060277313,0.845559194218367,"Excellent"
"DABUR","STRONG_BUY",85,0.94,0.160279570193961,0.900661572860554,"Good"
"NYKAA","STRONG_BUY",85,0.94,0.328899209806696,0.768968132184818,"Excellent"
"UPL","STRONG_BUY",85,0.94,0.303512331983075,0.908868464222178,"Excellent"
"JSL","STRONG_BUY",85,0.94,0.177315551927313,0.787538223853335,"Good"
"SILVERIETF","STRONG_BUY",85,0.94,0.23600586107932,0.83087983620353,"Excellent"
"HUBTOWN","STRONG_BUY",85,0.94,0.188227296248078,0.75164310396649,"Good"
"AUTOIETF","STRONG_BUY",85,0.94,0.246404613787308,0.879469403112307,"Excellent"
"RTNINDIA","STRONG_BUY",80,0.92,0.315118691138923,0.803194528073072,"Excellent"
"RELAXO","STRONG_BUY",80,0.92,0.238710677437484,0.814074648497626,"Excellent"
