"SYMBOL","COMPANY_NAME","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","SIMULATED_WIN_RATE","PERFORMANCE_CATEGORY"
"CREDITACC","CREDITACCESS GRAMEEN LTD","STRONG_BUY",81.3,0.9252,0.331474669510499,0.807515504024923,"Excellent"
"AARVI","AARVI ENCON LIMITED","BUY",75.3,0.9012,0.0927153233345598,0.677226268080995,"Moderate"
"BOSCHLTD","BOSCH LIMITED","BUY",74.7,0.8988,0.109583749184385,0.680894238874316,"Good"
"ASHAPURMIN","ASHAPURA MINECHEM LTD","BUY",73.3,0.8932,0.104545247377828,0.765512944199145,"Good"
"ASIANENE","ASIAN ENERGY SERVICES LTD","BUY",72.7,0.8908,0.181345050949603,0.738277618819848,"Good"
"DEEPINDS","DEEP INDUSTRIES LIMITED","BUY",70.7,0.8828,0.131852597249672,0.729379827994853,"Good"
"CARTRADE","CARTRADE TECH LIMITED","BUY",70,0.88,0.190897984169424,0.666594221862033,"Good"
"AJAXENGG","AJAX ENGINEERING LIMITED","BUY",70,0.88,0.137165077123791,0.794989471836016,"Good"
"BAJAJCON","BAJAJ CONSUMER CARE LTD","BUY",69.3,0.8772,0.0999998763483018,0.798254971392453,"Moderate"
"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","BUY",68.7,0.8748,0.181946285087615,0.615315961744636,"Good"
"BLACKBUCK","ZINKA LOGISTICS SOL LTD","BUY",68.7,0.8748,0.151214928580448,0.7955705486238,"Good"
"NAVA","NAVA LIMITED","BUY",67.3,0.8692,0.139070334592834,0.621934943879023,"Good"
"GARUDA","GARUDA CONSTRUCT N ENG L","BUY",67.3,0.8692,0.104181718090549,0.672514435602352,"Good"
"DATAMATICS","DATAMATICS GLOBAL SER LTD","BUY",66.7,0.8668,0.192947388859466,0.714412166923285,"Good"
"ANANDRATHI","ANAND RATHI WEALTH LTD","BUY",66.7,0.8668,0.0961599687021226,0.604558914946392,"Moderate"
"COMSYN","COMMERCIAL SYN BAGS LTD","STRONG_BUY",80.7,0.8628,0.337010064627975,0.907661027088761,"Excellent"
"CUMMINSIND","CUMMINS INDIA LTD","HOLD",64,0.856,0.0731066522188485,0.572934428602457,"Moderate"
"AVL","ADITYA VISION LIMITED","HOLD",64,0.856,0.0440797571325675,0.616391527187079,"Fair"
"DELHIVERY","DELHIVERY LIMITED","HOLD",62,0.848,-0.00470532594481483,0.613229003502056,"Poor"
"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","HOLD",60.7,0.8428,-0.0196332481573336,0.591225492954254,"Poor"
