"SYMBOL","COMPANY_NAME","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","SIMULATED_WIN_RATE","PERFORMANCE_CATEGORY"
"COMSYN","COMMERCIAL SYN BAGS LTD","STRONG_BUY",80.7,0.8628,0.337010064627975,0.907661027088761,"Excellent"
"CREDITACC","CREDITACCESS GRAMEEN LTD","STRONG_BUY",81.3,0.9252,0.331474669510499,0.807515504024923,"Excellent"
"DATAMATICS","DATAMATICS GLOBAL SER LTD","BUY",66.7,0.8668,0.192947388859466,0.714412166923285,"Good"
"CARTRADE","CARTRADE TECH LIMITED","BUY",70,0.88,0.190897984169424,0.666594221862033,"Good"
"APOLLO","APOLLO MICRO SYSTEMS LTD","BUY",72.7,0.7408,0.188774460013956,0.783202958246693,"Good"
"PGHL","PROCTER & GAMBLE HEALTH L","BUY",65.3,0.8012,0.186511071231216,0.761920437868685,"Good"
"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","BUY",70.7,0.7928,0.182588648637757,0.603885187488049,"Good"
"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","BUY",68.7,0.8748,0.181946285087615,0.615315961744636,"Good"
"ASIANENE","ASIAN ENERGY SERVICES LTD","BUY",72.7,0.8908,0.181345050949603,0.738277618819848,"Good"
"LTF","L&T FINANCE LIMITED","BUY",66.7,0.8068,0.15776194287464,0.782525680307299,"Good"
"BLUESTARCO","BLUE STAR LIMITED","BUY",67.3,0.8092,0.15680171190761,0.699963871575892,"Good"
"AVANTEL","AVANTEL LIMITED","BUY",65.3,0.7112,0.155570778883994,0.600013067340478,"Good"
"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","BUY",66.7,0.7468,0.15149380533956,0.77104592518881,"Good"
"BLACKBUCK","ZINKA LOGISTICS SOL LTD","BUY",68.7,0.8748,0.151214928580448,0.7955705486238,"Good"
"NAVA","NAVA LIMITED","BUY",67.3,0.8692,0.139070334592834,0.621934943879023,"Good"
"ARVINDFASN","ARVIND FASHIONS LIMITED","BUY",71.3,0.8252,0.139002154013142,0.701606535958126,"Good"
"AJAXENGG","AJAX ENGINEERING LIMITED","BUY",70,0.88,0.137165077123791,0.794989471836016,"Good"
"DEEPINDS","DEEP INDUSTRIES LIMITED","BUY",70.7,0.8828,0.131852597249672,0.729379827994853,"Good"
"BALAJEE","SHREE TIRUPATI BALAJEE L","BUY",78.7,0.8248,0.121431975755841,0.673328913189471,"Good"
"BOSCHLTD","BOSCH LIMITED","BUY",74.7,0.8988,0.109583749184385,0.680894238874316,"Good"
