again MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     24579.60,     24616.50,     24737.05,     24533.20,     24715.05,959655427851.67,4701722548,Y, ,32699708,     26277.35,     21743.65
Y, , ,NIFTY50 EQL Wgt,     31495.55,     31545.55,     31723.20,     31472.85,     31705.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     32580.00,     32643.45,     32806.50,     32617.85,     32790.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     20440.30,     20462.40,     20516.25,     20394.70,     20502.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     50305.70,     50457.30,     50925.00,     50342.90,     50892.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     21149.70,     21194.30,     21305.15,     21155.25,     21292.25,0,0,Y, ,0,     22515.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      8458.75,      8475.95,      8553.40,      8446.85,      8542.00,0,0,Y, ,0,      9505.50,      6776.05
Y, , ,NIFTY SMLCAP 250,     16837.85,     16873.55,     16996.45,     16829.05,     16979.05,0,0,Y, ,0,     18688.30,     13314.70
Y, , ,NIFTY MIDSML 400,     19608.20,     19649.60,     19762.00,     19608.00,     19751.75,0,0,Y, ,0,     21177.60,     15832.85
Y, , ,NIFTY200 QUALTY30,     20787.30,     20827.50,     20834.90,     20764.60,     20820.80,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     27590.55,     27580.35,     27752.90,     27508.65,     27729.50,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     26293.15,     26320.10,     26398.95,     26236.75,     26383.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     30016.40,     30039.40,     30194.60,     29931.00,     30176.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      4145.45,      4152.10,      4168.35,      4137.85,      4164.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      4900.20,      4908.00,      4920.50,      4891.10,      4917.65,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     24175.95,     24228.10,     24319.35,     24170.70,     24283.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,     14510.30,     14547.70,     14669.35,     14530.20,     14660.50,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200 Alpha 30,     24827.65,     24871.50,     25031.80,     24817.45,     25012.75,0,0,Y, ,0,          .00,          .00
Y, , ,NiftyM150Momntm50,     60410.70,     60497.05,     60809.00,     60443.55,     60776.30,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     35737.90,     35807.95,     35832.00,     35293.10,     35474.95,0,0,Y, ,0,     46088.90,     30918.95
Y, , ,Nifty Next 50,     67017.75,     67153.85,     67506.15,     67127.10,     67463.05,0,0,Y, ,0,     77918.00,     56192.45
Y, , ,Nifty Bank,     53661.00,     53630.75,     54136.15,     53561.75,     54067.55,0,0,Y, ,0,     57628.40,     47702.90
Y, , ,NIFTY MIDCAP 100,     56977.40,     57070.20,     57386.00,     56944.25,     57345.50,0,0,Y, ,0,     60925.95,     46865.70
Y, , ,Nifty 500,     22724.40,     22764.00,     22877.35,     22709.20,     22864.65,0,0,Y, ,0,     24573.40,     19519.85
Y, , ,Nifty 100,     25215.05,     25255.20,     25378.00,     25188.05,     25358.90,0,0,Y, ,0,     27335.65,     22177.35
Y, , ,Nifty Midcap 50,     16068.90,     16087.35,     16172.20,     16039.60,     16156.20,0,0,Y, ,0,     17066.75,     13269.65
Y, , ,Nifty Realty,       886.15,       888.65,       891.25,       881.20,       889.65,0,0,Y, ,0,      1140.40,       765.80
Y, , ,Nifty Infra,      8963.45,      8984.05,      8992.75,      8948.15,      8985.45,0,0,Y, ,0,      9704.20,      7589.95
Y, , ,Nifty Energy,     34490.50,     34571.05,     34715.40,     34562.55,     34626.60,0,0,Y, ,0,     44721.10,     29313.20
Y, , ,Nifty FMCG,     56806.60,     56955.90,     57063.25,     56702.90,     56969.20,0,0,Y, ,0,     66438.70,     50199.35
Y, , ,Nifty MNC,     29777.55,     29879.00,     29904.80,     29774.60,     29889.45,0,0,Y, ,0,     32841.15,     23981.05
Y, , ,Nifty Pharma,     21719.95,     21741.25,     21985.20,     21697.20,     21959.60,0,0,Y, ,0,     23907.90,     19121.10
Y, , ,Nifty PSE,      9475.25,      9492.80,      9543.65,      9481.85,      9503.75,0,0,Y, ,0,     11379.55,      7956.45
Y, , ,Nifty PSU Bank,      6850.10,      6859.00,      6927.65,      6855.55,      6920.75,0,0,Y, ,0,      7304.80,      5530.35
Y, , ,Nifty Serv Sector,     31932.35,     31958.55,     32052.95,     31804.55,     32023.45,0,0,Y, ,0,     33916.45,     29070.85
Y, , ,India VIX,11.4000,11.4000,11.5775,10.8500,10.9300,0,0,Y, ,0,23.1875,9.4700
Y, , ,Nifty Auto,     25584.95,     25701.65,     25796.00,     25535.15,     25775.45,0,0,Y, ,0,     27696.10,     19316.65
Y, , ,Nifty Metal,      9384.35,      9406.35,      9685.80,      9406.35,      9676.40,0,0,Y, ,0,     10322.05,      7690.20
Y, , ,Nifty Media,      1622.60,      1626.80,      1635.00,      1614.80,      1621.95,0,0,Y, ,0,      2182.35,      1344.40
Y, , ,NIFTY SMLCAP 100,     17591.30,     17626.55,     17770.65,     17576.40,     17748.45,0,0,Y, ,0,     19716.20,     14084.30
Y, , ,Nifty 200,     13721.95,     13743.90,     13811.05,     13709.15,     13802.00,0,0,Y, ,0,     14833.75,     11941.45
Y, , ,Nifty Div Opps 50,      5908.75,      5924.40,      5931.40,      5904.60,      5923.15,0,0,Y, ,0,      7012.65,      5288.60
Y, , ,Nifty Commodities,      8738.35,      8750.60,      8844.65,      8749.00,      8839.00,0,0,Y, ,0,      9896.35,      7502.95
Y, , ,Nifty Consumption,     12213.00,     12243.45,     12304.95,     12206.00,     12296.90,0,0,Y, ,0,     13057.60,     10090.65
Y, , ,Nifty Fin Service,     25572.95,     25562.30,     25763.10,     25481.95,     25732.55,0,0,Y, ,0,     27369.80,     22320.85
Y, , ,Nifty50 Div Point,       206.33,       206.33,       206.33,       206.33,       206.33,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      6923.90,      6941.95,      6994.25,      6922.00,      6988.00,0,0,Y, ,0,      7223.70,      5985.30
Y, , ,Nifty CPSE,      6311.65,      6327.20,      6351.80,      6316.95,      6328.25,0,0,Y, ,0,      7334.20,      5284.25
Y, , ,Nifty GrowSect 15,     11786.20,     11813.45,     11822.65,     11754.90,     11812.80,0,0,Y, ,0,     13065.05,      9722.65
Y, , ,Nifty50 PR 2x Lev,     13262.80,     13300.70,     13430.30,     13210.90,     13407.05,0,0,Y, ,0,     16297.55,     10678.25
Y, , ,Nifty50 PR 1x Inv,       209.35,       209.05,       209.75,       208.00,       208.20,0,0,Y, ,0,       232.40,       188.15
Y, , ,Nifty50 TR 2x Lev,     19780.00,     19836.50,     20029.75,     19702.55,     19995.10,0,0,Y, ,0,     23715.35,     15663.75
Y, , ,Nifty50 TR 1x Inv,       171.55,       171.30,       171.90,       170.50,       170.65,0,0,Y, ,0,       192.05,       156.10
Y, , ,Nifty50 Value 20,     12614.55,     12637.95,     12658.30,     12591.80,     12650.35,0,0,Y, ,0,     14731.65,     11375.50
Y, , ,Nifty Mid Liq 15,     14965.95,     14992.40,     15099.85,     14914.00,     15083.25,0,0,Y, ,0,     15919.50,     11541.70
Y, , ,Nifty Pvt Bank,     26089.70,     26082.05,     26314.55,     26046.80,     26282.20,0,0,Y, ,0,     28577.65,     23508.05
Y, , ,NIFTY100 Qualty30,      5677.35,      5688.55,      5694.85,      5668.85,      5692.50,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 8 13Yr,      2910.88,      2911.41,      2914.90,      2911.41,      2913.15,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      2578.07,      2578.52,      2582.20,      2578.35,      2579.76,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       898.55,       898.55,       899.87,       898.49,       899.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      3153.94,      3154.53,      3157.72,      3154.50,      3155.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      3171.92,      3172.52,      3180.05,      3172.50,      3179.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      3391.05,      3391.73,      3409.38,      3391.73,      3407.36,0,0,Y, ,0,          .00,          .00
