"symbol","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","processed_date","processing_batch","batch_number"
"20MICRONS",53.32,54.78,51,57.27,48,2025-08-11,"20250811_2158",1
"21STCENMGM",46.66,44.57,40.83,52.63,54,2025-08-11,"20250811_2158",1
"360ONE",44.42,50.65,47,54.55,10,2025-08-11,"20250811_2159",1
"3IINFOLTD",52.3,51,53.33,58.12,46.25,2025-08-11,"20250811_2159",1
"3MINDIA",35.16,45.58,25.71,45,10,2025-08-11,"20250811_2200",1
"3PLAND",50.68,50,47.5,51.54,56.67,2025-08-11,"20250811_2200",1
"5PAISA",56.18,54.13,61,53.64,57,2025-08-11,"20250811_2201",1
"63MOONS",58.48,63.33,60,54.74,48,2025-08-11,"20250811_2201",1
"A2ZINFRA",60.33,58.48,77,55.45,44,2025-08-11,"20250811_2202",1
"AAATECH",75.49,79.05,94,58.75,57.5,2025-08-11,"20250811_2203",1
"AADHARHFC",52.3,51.19,47,57.63,57,2025-08-11,"20250811_2203",1
"AAKASH",62.24,56.3,83,54.55,53.75,2025-08-11,"20250811_2204",1
"AAREYDRUGS",57.75,61.52,59,57.27,46.25,2025-08-11,"20250811_2205",1
"AARON",31.99,45.38,21,35.42,10,2025-08-11,"20250811_2205",1
"AARTECH",14.11,10,10,30.56,10,2025-08-11,"20250811_2205",1
"AARTIDRUGS",27.96,23.33,35,41.88,10,2025-08-11,"20250811_2205",1
"AARTIIND",20.43,10,10,32.78,49.17,2025-08-11,"20250811_2205",1
"AARTIPHARM",55.42,55.53,57,59.77,46.67,2025-08-11,"20250811_2206",1
"AARTISURF",62.49,70,66,56.82,44.17,2025-08-11,"20250811_2207",1
"AARVEEDEN",69.06,70.43,86,60.91,48,2025-08-11,"20250811_2207",1
"AARVI",42.4,45.4,47.5,54.35,10,2025-08-11,"20250811_2208",1
"AAVAS",70.57,75.59,75,58.44,66,2025-08-11,"20250811_2208",1
"ABAN",60.53,54.57,77,61.25,48,2025-08-11,"20250811_2209",1
"ABB",61.29,55.43,73,59.32,60,2025-08-11,"20250811_2209",1
"ABBOTINDIA",36.93,45.96,28.57,49.52,10,2025-08-11,"20250811_2210",1
"ABCAPITAL",24.24,35.38,17,21.67,10,2025-08-11,"20250811_2210",1
"ABDL",41.05,38.33,50,58.57,10,2025-08-11,"20250811_2210",1
"ABFRL",37.42,40.83,37.5,51.07,10,2025-08-11,"20250811_2210",1
"ABGSEC",10,10,10,10,10,2025-08-11,"20250811_2210",1
"ABINFRA",15.44,10,10,10,46.25,2025-08-11,"20250811_2211",1
"ABLBL",23.05,29.29,18,26.67,10,2025-08-11,"20250811_2211",1
"ABMINTLLTD",10,10,10,10,10,2025-08-11,"20250811_2211",1
"ABREL",10,10,10,10,10,2025-08-11,"20250811_2211",1
"ABSLAMC",10,10,10,10,10,2025-08-11,"20250811_2211",1
"ABSLBANETF",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ABSLLIQUID",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ABSLNN50ET",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ABSLPSE",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ACC",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ACCELYA",10,10,10,10,10,2025-08-11,"20250811_2212",1
"ACCURACY",10,10,10,10,10,2025-08-11,"20250811_2214",1
"ACE",10,10,10,10,10,2025-08-11,"20250811_2215",1
"ACEINTEG",10,10,10,10,10,2025-08-11,"20250811_2216",1
"ACI",10,10,10,10,10,2025-08-11,"20250811_2216",1
"ACL",10,10,10,10,10,2025-08-11,"20250811_2216",1
"ACLGATI",10,10,10,10,10,2025-08-11,"20250811_2216",1
"ACMESOLAR",10,10,10,10,10,2025-08-11,"20250811_2216",1
"ACUTAAS",10,10,10,10,10,2025-08-11,"20250811_2217",1
"ADANIENSOL",10,10,10,10,10,2025-08-11,"20250811_2217",1
"ADANIENT",10,10,10,10,10,2025-08-11,"20250811_2217",1
"ADANIGREEN",10,10,10,10,10,2025-08-11,"20250811_2217",1
"ADANIPORTS",10,10,10,10,10,2025-08-11,"20250811_2217",1
"ADANIPOWER",10,10,10,10,10,2025-08-11,"20250811_2218",1
"ADFFOODS",10,10,10,10,10,2025-08-11,"20250811_2218",1
"ADL",10,10,10,10,10,2025-08-11,"20250811_2218",1
"ADOR",10,10,10,10,10,2025-08-11,"20250811_2219",1
