"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","RSI","RELATIVE_STRENGTH","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","CONFIDENCE_CATEGORY","PERFORMANCE_CATEGORY","RISK_PERFORMANCE","ANALYSIS_DATE","BACKTESTING_TYPE"
"CREDITACC","STRONG_BUY",81.3,64.4,26.38,0.9252,0.94016,0.27756,10,1.58787185354691,"Very High","Excellent","Excellent",2025-09-01,"quick"
"AARVI","BUY",75.3,67.8,20.95,0.9012,0.92096,0.18024,10,0.906639839034205,"Very High","Excellent","Excellent",2025-09-01,"quick"
"BOSCHLTD","BUY",74.7,61.3,26.95,0.8988,0.91904,0.17976,10,0.893439363817098,"Very High","Excellent","Excellent",2025-09-01,"quick"
"ASHAPURMIN","BUY",73.3,52.9,36.21,0.8932,0.91456,0.17864,10,0.863829787234043,"Very High","Excellent","Excellent",2025-09-01,"quick"
"ASIANENE","BUY",72.7,65,28.57,0.8908,0.91264,0.17816,10,0.851625239005736,"Very High","Excellent","Excellent",2025-09-01,"quick"
"DEEPINDS","BUY",70.7,56.1,29.46,0.8828,0.90624,0.17656,10,0.812891344383057,"Very High","Excellent","Excellent",2025-09-01,"quick"
"CARTRADE","BUY",70,61.3,45.68,0.88,0.904,0.176,10,0.8,"Very High","Excellent","Excellent",2025-09-01,"quick"
"AJAXENGG","BUY",70,60.8,22.96,0.88,0.904,0.176,10,0.8,"Very High","Excellent","Excellent",2025-09-01,"quick"
"BAJAJCON","BUY",69.3,59.3,38.83,0.8772,0.90176,0.17544,10,0.787432675044883,"Very High","Excellent","Excellent",2025-09-01,"quick"
"GODFRYPHLP","BUY",68.7,61.1,38.52,0.8748,0.89984,0.17496,10,0.776909413854352,"Very High","Excellent","Excellent",2025-09-01,"quick"
"BLACKBUCK","BUY",68.7,69.8,52.7,0.8748,0.89984,0.17496,10,0.776909413854352,"Very High","Excellent","Excellent",2025-09-01,"quick"
"NAVA","BUY",67.3,67.9,28.18,0.8692,0.89536,0.17384,10,0.753206239168111,"Very High","Excellent","Excellent",2025-09-01,"quick"
"GARUDA","BUY",67.3,66.1,77.17,0.8692,0.89536,0.17384,10,0.753206239168111,"Very High","Excellent","Excellent",2025-09-01,"quick"
"DATAMATICS","BUY",66.7,59.6,69.74,0.8668,0.89344,0.17336,10,0.743396226415094,"Very High","Excellent","Excellent",2025-09-01,"quick"
"ANANDRATHI","BUY",66.7,64.3,37.98,0.8668,0.89344,0.17336,10,0.743396226415094,"Very High","Excellent","Excellent",2025-09-01,"quick"
"COMSYN","STRONG_BUY",80.7,61.9,13.69,0.8328,0.86624,0.24984,9,0.93502994011976,"Very High","Excellent","Excellent",2025-09-01,"quick"
"BALAJEE","BUY",78.7,71.5,31.37,0.8248,0.85984,0.16496,9,0.599418604651163,"Very High","Excellent","Excellent",2025-09-01,"quick"
"ATHERENERG","BUY",72.7,72.1,42.64,0.8008,0.84064,0.16016,9,0.535294117647059,"Very High","Excellent","Excellent",2025-09-01,"quick"
"CHOICEIN","BUY",72.7,59.6,18.52,0.8008,0.84064,0.16016,9,0.535294117647059,"Very High","Excellent","Excellent",2025-09-01,"quick"
"ARVINDFASN","BUY",71.3,52.7,10.33,0.7952,0.83616,0.15904,9,0.521784776902887,"High","Excellent","Excellent",2025-09-01,"quick"
"COFFEEDAY","BUY",70.7,76,50.77,0.7928,0.83424,0.15856,9,0.516145833333333,"High","Excellent","Excellent",2025-09-01,"quick"
"DALBHARAT","BUY",70,71,20.78,0.79,0.832,0.158,9,0.509677419354839,"High","Excellent","Excellent",2025-09-01,"quick"
"DABUR","BUY",68.7,53.3,14.4,0.7848,0.82784,0.15696,9,0.497969543147208,"High","Excellent","Excellent",2025-09-01,"quick"
"BLUESTARCO","BUY",67.3,58,18.91,0.7792,0.82336,0.15584,9,0.485785536159601,"High","Excellent","Excellent",2025-09-01,"quick"
"LTF","BUY",66.7,60.2,18.62,0.7768,0.82144,0.15536,9,0.480693069306931,"High","Excellent","Excellent",2025-09-01,"quick"
"LANDMARK","BUY",66,75.1,27.02,0.774,0.8192,0.1548,9,0.474846625766871,"High","Excellent","Excellent",2025-09-01,"quick"
"PGHL","BUY",65.3,58.2,10.62,0.7712,0.81696,0.15424,9,0.469099756690998,"High","Excellent","Excellent",2025-09-01,"quick"
