"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","CONFIDENCE_ANALYSIS_DATE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","RISK_PERFORMANCE"
130,"CREDITACC","CREDITACCESS GRAMEEN LTD","MID_CAP",1399.9,4.24,0.09,12.91,81.3,64.4,"STRONG_BULLISH",26.38,20,18,15,53.16,50.22,47,57.11,66,1112580750.2,"STRONG_BUY","2025-08-29",1,0.813,1,0.9252,"Very High",2025-09-01,0.807515504024923,0.331474669510499,9,1.72208503251824,"Excellent","Excellent"
419,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",143.7,7.23,4.32,6.85,80.7,61.9,"BULLISH",13.69,16,18,25,71.65,75.43,86,59.55,53.75,248528655.39,"STRONG_BUY","2025-08-29",1,0.807,0.7,0.8328,"Very High",2025-09-01,0.907661027088761,0.337010064627975,10,3.64970557937576,"Excellent","Excellent"
650,"BALAJEE","SHREE TIRUPATI BALAJEE L","MICRO_CAP",58.22,13.05,13.03,12.5,78.7,71.5,"STRONG_BULLISH",31.37,20,12,20,61.51,67.61,60,56.82,54,105889645.13,"BUY","2025-08-29",0.7,0.787,1,0.8248,"Very High",2025-09-01,0.673328913189471,0.121431975755841,11,0.371725508190664,"Good","Excellent"
746,"AARVI","AARVI ENCON LIMITED","MICRO_CAP",128.83,10.38,6,22.61,75.3,67.8,"STRONG_BULLISH",20.95,18,16,10,42.4,45.4,47.5,54.35,10,77236974.51,"BUY","2025-08-29",1,0.753,1,0.9012,"Very High",2025-09-01,0.677226268080995,0.0927153233345598,6,0.287245566060577,"Moderate","Excellent"
68,"BOSCHLTD","BOSCH LIMITED","MID_CAP",39960,1.87,1.61,-0.25,74.7,61.3,"STRONG_BULLISH",26.95,11,17,15,53.48,51.96,47,57.5,63,1842288465,"BUY","2025-08-29",1,0.747,1,0.8988,"Very High",2025-09-01,0.680894238874316,0.109583749184385,11,0.343408871083415,"Good","Excellent"
228,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",516.05,6.84,5.57,-5.12,73.3,52.9,"BULLISH",36.21,13,16,15,52.76,51.96,47,58.41,57,554925000.8,"BUY","2025-08-29",1,0.733,1,0.8932,"Very High",2025-09-01,0.765512944199145,0.104545247377828,12,0.445846560786775,"Good","Excellent"
6,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",262.79,8.38,11.75,53.12,72.7,81.5,"STRONG_BULLISH",36.97,20,12,15,54.74,51.67,59,56.14,54,13533045652.41,"BUY","2025-08-29",0.3,0.727,1,0.6808,"High",2025-09-01,0.698826049780473,0.0676556400023401,10,0.224639747073164,"Moderate","Excellent"
100,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",450.15,4.64,7.88,30.18,72.7,72.1,"BULLISH",42.64,16,14,20,63.36,53.7,85,53.64,66,1395608092.35,"BUY","2025-08-29",0.7,0.727,1,0.8008,"Very High",2025-09-01,0.752240585442633,0.089119394114241,10,0.359701342826695,"Moderate","Excellent"
194,"CHOICEIN","CHOICE INTERNATIONAL LTD","SMALL_CAP",796,-0.09,-0.9,6.97,72.7,59.6,"STRONG_BULLISH",18.52,14,12,15,54.36,51.52,55,55,60,717351004.8,"BUY","2025-08-29",1,0.727,0.7,0.8008,"Very High",2025-09-01,0.673469736380503,0.0838285179249942,10,0.256725110241784,"Moderate","Excellent"
621,"ASIANENE","ASIAN ENERGY SERVICES LTD","MICRO_CAP",369.15,2.34,8.91,14.66,72.7,65,"STRONG_BULLISH",28.57,15,5,25,75.48,78.33,94,62.75,54,119246440.2,"BUY","2025-08-29",1,0.727,1,0.8908,"Very High",2025-09-01,0.738277618819848,0.181345050949603,6,0.692890879763078,"Excellent","Excellent"
358,"ARVINDFASN","ARVIND FASHIONS LIMITED","MICRO_CAP",519.7,1.19,-0.33,-5.09,71.3,52.7,"BULLISH",10.33,11,17,15,50.43,47.61,47,55.45,57,323535265.95,"BUY","2025-08-29",1,0.713,0.7,0.7952,"High",2025-09-01,0.701606535958126,0.139002154013142,9,0.465835116259905,"Good","Excellent"
163,"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","SMALL_CAP",50.03,17.61,12.86,38.2,70.7,76,"BULLISH",50.77,20,12,15,55.94,62.61,56,55.71,38.33,904211021.62,"BUY","2025-08-29",0.7,0.707,1,0.7928,"High",2025-09-01,0.603885187488049,0.182588648637757,7,0.460948802898523,"Excellent","Excellent"
500,"DEEPINDS","DEEP INDUSTRIES LIMITED","MICRO_CAP",536.9,-0.83,-2.59,13.07,70.7,56.1,"STRONG_BULLISH",29.46,15,8,20,62.64,63.48,74.6,58,46.67,179330815.35,"BUY","2025-08-29",1,0.707,1,0.8828,"Very High",2025-09-01,0.729379827994853,0.131852597249672,7,0.487223832106515,"Good","Excellent"
7,"CGPOWER","CG POWER AND IND SOL LTD","LARGE_CAP",694.3,4.56,2.13,5.14,70,60.6,"BULLISH",5.09,11,18,15,55.37,53.04,51,57.5,66,10027894012.85,"BUY","2025-08-29",1,0.7,0.5,0.73,"High",2025-09-01,0.724601532891393,0.0942961037810892,7,0.342398796809215,"Moderate","Excellent"
132,"CARTRADE","CARTRADE TECH LIMITED","MID_CAP",2398,5.57,2.19,14.69,70,61.3,"STRONG_BULLISH",45.68,15,11,15,52.67,50.65,47,54.55,65,1071764775.7,"BUY","2025-08-29",1,0.7,1,0.88,"Very High",2025-09-01,0.666594221862033,0.190897984169424,7,0.572569513448648,"Excellent","Excellent"
142,"DALBHARAT","DALMIA BHARAT LIMITED","MID_CAP",2401.5,2.13,3.23,7.23,70,71,"STRONG_BULLISH",20.78,12,12,20,68.15,73.7,76,57.73,54.17,1014692939.7,"BUY","2025-08-29",0.7,0.7,1,0.79,"High",2025-09-01,0.605257367296144,0.0806569306273013,8,0.204327893531105,"Moderate","Excellent"
389,"AJAXENGG","AJAX ENGINEERING LIMITED","MICRO_CAP",719.3,5.12,5.8,6.86,70,60.8,"STRONG_BULLISH",22.96,16,20,0,10,10,10,10,10,283450521.85,"BUY","2025-08-29",1,0.7,1,0.88,"Very High",2025-09-01,0.794989471836016,0.137165077123791,6,0.669063576159733,"Good","Excellent"
