"SYMBOL","OPEN","HIGH","LOW","CLOSE","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","HI_52_WK","LO_52_WK","HLRatio","SMA20_FLG","EMA20_FLG","EMA50_FLG","EMA200_FLG","VEMA20_FLG","RSI","MACDIND","arnsig","BBSIG","gain5","gain20","gain50","CURRENT_SMA20","CURRENT_EMA20","CURRENT_EMA50","PMA","VMA","Adate"
"NIFTY 50",24464.2,24634.2,24344.15,24596.15,24574.2,3207598064,980414879827.82,2025-08-07,32660166,26277.35,21743.65,62.91770518561,0,0,0,1,0,39.0457631324983,-1,0,-1,-0.139048422684593,-0.149692864396919,-0.0191232845821788,24911.1925,24865.0918281117,24872.5189395276,1,0,2025-08-07
"NIFTY MIDCAP 150",20997.65,21183.2,20829.5,21152.1,21096.65,0,0,2025-08-07,0,22515.4,17269.5,74.0120856287767,0,0,0,1,1,39.7379012555552,-1,0,-1,-0.195868228993554,-0.15268111474974,-0.00104426798468119,21605.385,21486.0932782156,21380.9231132351,1,1,2025-08-07
"NIFTY SMLCAP 250",16675.35,16777.7,16523.65,16753.2,16770.1,0,0,2025-08-07,0,18688.3,13314.7,63.9887598630341,0,0,0,1,1,32.1993823895838,-1,0,-1,-0.456187934730302,-0.28627258991652,-0.00314072785026995,17466.775,17276.2055185272,17182.8525627642,1,1,2025-08-07
"NIFTY IT",34284.95,34808.05,34224.55,34726.8,34426.25,0,0,2025-08-07,0,46088.9,30918.95,25.1012692856602,0,0,0,0,1,30.7366079363533,-1,0,-1,-0.325650961996054,-0.475530042356485,-0.16037177369905,36125.0725,35981.758002349,36888.6225172607,0,1,2025-08-07
"NIFTY NEXT 50",65924.3,66468.2,65471.25,66338.1,66181.35,0,0,2025-08-07,0,77918,56192.45,46.6991629671056,0,0,0,1,1,39.4062151804384,-1,0,-1,-0.22595931361188,-0.159460009675519,-0.0225266716149628,67616.555,67309.9131354525,67237.9371886346,1,1,2025-08-07
"NIFTY BANK",55215.65,55614.8,54973.55,55521.15,55411.15,0,0,2025-08-07,0,57628.4,47702.9,78.7693315198227,0,0,0,1,1,38.7598642204322,-1,0,-1,-0.157535611250143,-0.125961268347496,-0.000896553400286841,56363.5325,56150.1127770881,56000.1651600647,1,1,2025-08-07
"NIFTY 100",25046.3,25225.3,24916.25,25185.15,25156.35,0,0,2025-08-07,0,27335.65,22177.35,58.3099083031231,0,0,0,1,1,38.9822443083234,-1,0,-1,-0.153937077677744,-0.151359093770635,-0.019747368917649,25535.4975,25476.5059605494,25478.1395142026,1,1,2025-08-07
"NIFTY ENERGY",34504.5,34660.65,34114.35,34613.8,34683.35,0,0,2025-08-07,0,44721.1,29313.2,34.4018328260178,0,0,0,0,1,29.5825976610589,-1,0,-1,-0.286107674104364,-0.251573146691213,-0.0764073167410879,35633.575,35427.8387782935,35545.9061531918,0,1,2025-08-07
"NIFTY FMCG",55156.35,55430.25,54950.9,55298.5,55230.8,0,0,2025-08-07,0,66438.7,50199.35,31.3999636684966,0,0,0,0,1,47.1077294928425,-1,1,-1,-0.18406386423028,-0.0296342502543671,-0.0119341116241194,55752.9775,55545.2963479465,55491.716689461,0,1,2025-08-07
"NIFTY PHARMA",21380.9,21712.35,21325.2,21684.8,21523.75,0,0,2025-08-07,0,23907.9,19121.1,53.5577003426088,0,0,0,1,1,38.8974145527691,-1,-1,-1,-0.954062285226197,-0.0887809827511234,0.0088423227193038,22432.5975,22262.4069957336,22102.8979510944,1,1,2025-08-07
"NIFTY PSU BANK",6854.95,6918.8,6787.95,6909.3,6889.05,0,0,2025-08-07,0,7304.8,5530.35,77.7114035334892,0,0,0,1,1,45.8583155671051,-1,0,-1,0.170341339522257,-0.0897578031724375,0.0379311870455854,7004.085,6959.08111570244,6932.27775975344,1,1,2025-08-07
"NIFTY AUTO",23620,23839.55,23453.55,23808.1,23748.85,0,0,2025-08-07,0,27696.1,19316.65,53.6007733204446,0,1,1,1,1,50.8108317283601,-1,0,1,0.128720802676716,-0.0227350173622362,0.0214257665325875,23817.6425,23793.0275271336,23620.3165407125,3,1,2025-08-07
"NIFTY METAL",9253.4,9328.75,9144.1,9310.65,9298.75,0,0,2025-08-07,0,10322.05,7690.2,61.5707582119042,0,0,0,1,1,46.7622471587515,-1,0,-1,0.0542784679256232,-0.0599031150681005,-0.00876850609250774,9395.3625,9369.74872568581,9318.366667427,1,1,2025-08-07
"NIFTY PVT BANK",26728.05,26951.4,26658.5,26901.1,26850.65,0,0,2025-08-07,0,28577.65,23508.05,66.9293435379517,0,0,0,1,1,32.1279680946211,-1,0,-1,-0.136124745942934,-0.213293333048634,-0.0527051090874873,27503.485,27364.5960739113,27493.0107765038,1,1,2025-08-07
