"SYMBOL","OPEN","HIGH","LOW","CLOSE","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","HI_52_WK","LO_52_WK"
"Nifty 50",24734.9,24784.15,24535.05,24565.35,24768.35,3555476852,948194085317.79,2025-08-01,33267639,26277.35,21743.65
"NIFTY50 EQL Wgt",30959.25,30988.4,30615.05,30660.35,30995.9,0,0,2025-08-01,0,0,0
"NIFTY100 EQL Wgt",32313.75,32332.05,31881.4,31932.8,32313.4,0,0,2025-08-01,0,0,0
"NIFTY100 LowVol30",19957.25,20029.15,19797.3,19822.05,19986.45,0,0,2025-08-01,0,0,0
"NIFTY Alpha 50",52112.8,52184.95,51391.45,51480.35,52171,0,0,2025-08-01,0,0,0
"NIFTY MIDCAP 150",21381.7,21409.8,21060.05,21088.65,21361.3,0,0,2025-08-01,0,22515.4,17269.5
"NIFTY SMLCAP 50",8645.95,8661.15,8501.95,8517.95,8671.85,0,0,2025-08-01,0,9505.5,6776.05
"NIFTY SMLCAP 250",17143.4,17178.9,16840.55,16863.25,17144.25,0,0,2025-08-01,0,18688.3,13314.7
"NIFTY MIDSML 400",19873,19898.9,19557.35,19582,19861.1,0,0,2025-08-01,0,21177.6,15832.85
"NIFTY200 QUALTY30",20181.55,20305.85,20052.7,20081.25,20203.55,0,0,2025-08-01,0,0,0
"Nifty FinSrv25 50",28552.85,28649.35,28296.35,28335.4,28592.5,0,0,2025-08-01,0,0,0
"NIFTY AlphaLowVol",26381.65,26387.8,26023.35,26055.2,26423.8,0,0,2025-08-01,0,0,0
"Nifty200Momentm30",30214.9,30261.65,29816.6,29863.45,30226.65,0,0,2025-08-01,0,0,0
"Nifty100ESGSecLdr",4155.9,4159.5,4112.5,4117.65,4160.6,0,0,2025-08-01,0,0,0
"NIFTY100 ESG",4880.95,4886.55,4823,4829.35,4885.25,0,0,2025-08-01,0,0,0
"NIFTY M150 QLTY50",24467.3,24504.9,24086.5,24142.2,24467.55,0,0,2025-08-01,0,0,0
"NIFTY INDIA MFG",14223.15,14223.25,13981.3,14001.15,14228.45,0,0,2025-08-01,0,0,0
"Nifty200 Alpha 30",24870.9,24877.8,24432.55,24482.85,24879.45,0,0,2025-08-01,0,0,0
"NiftyM150Momntm50",61222.8,61360.9,60363.2,60474.45,61231.2,0,0,2025-08-01,0,0,0
"Nifty IT",35118.6,35166.4,34586.9,34649.6,35301.6,0,0,2025-08-01,0,46088.9,30918.95
"Nifty Next 50",67119.25,67195.5,66068.45,66192.8,67096.15,0,0,2025-08-01,0,77918,56192.45
