"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"20MICRONS.NS","INE144J01027",2025-08-01,234.41,241.03,233.56,235.65,236.5,234.47,205134,"48729806.54",5068
"21STCENMGM.NS","INE253B01015",2025-08-01,58.98,60.1,57.85,59.04,236.5,58.98,2524,"48729806.54",5068
"360ONE.NS","INE466L01038",2025-08-01,1053,1068,1046.2,1052.5,236.5,1052.7,457383,"48729806.54",5068
"3IINFOLTD.NS","INE748C01038",2025-08-01,24.1,24.31,23.36,23.43,236.5,24.06,288594,"48729806.54",5068
"3MINDIA.NS","INE470A01017",2025-08-01,30985,31900,30520,30905,236.5,30755,20155,"48729806.54",5068
"3PLAND.NS","INE105C01023",2025-08-01,47,48.38,46.07,46.27,236.5,47.34,8685,"48729806.54",5068
"5PAISA.NS","INE618L01018",2025-08-01,385.25,395,373.35,381.1,236.5,385.25,19346,"48729806.54",5068
"63MOONS.NS","INE111B01023",2025-08-01,1010,1029.8,981,988.8,236.5,1010.8,113710,"48729806.54",5068
"AAATECH.NS","INE0D0U01013",2025-08-01,83.5,87.69,83,85.59,236.5,85.74,17948,"48729806.54",5068
"AADHARHFC.NS","INE883F01010",2025-08-01,507,509.55,496.85,499.5,236.5,507.05,378776,"48729806.54",5068
"AARON.NS","INE721Z01010",2025-08-01,448,458.2,435,438.05,236.5,448,19043,"48729806.54",5068
"AARTECH.NS","INE01C001026",2025-08-01,66.88,66.98,65.2,66.11,236.5,65.88,29730,"48729806.54",5068
"AARTIDRUGS.NS","INE767A01016",2025-08-01,506.75,510.95,486,489.45,236.5,506.75,382926,"48729806.54",5068
"AARTIIND.NS","INE769A01020",2025-08-01,410,417.75,404.2,406.35,236.5,420.05,2793245,"48729806.54",5068
"AARTIPHARM.NS","INE0LRU01027",2025-08-01,911.2,918.35,857.4,864,236.5,911.2,305093,"48729806.54",5068
"AARVI.NS","INE754X01016",2025-08-01,107.63,107.63,102.2,103.32,236.5,104.05,8277,"48729806.54",5068
"AAVAS.NS","INE216P01012",2025-08-01,1709.9,1722.6,1665.1,1679.2,236.5,1724.4,218100,"48729806.54",5068
"ABAN.NS","INE421A01028",2025-08-01,45.03,45.72,43.5,44.12,236.5,45.03,69973,"48729806.54",5068
"ABB.NS","INE117A01022",2025-08-01,5539,5539,5360.5,5387.5,236.5,5510,382061,"48729806.54",5068
"ABBOTINDIA.NS","INE358A01014",2025-08-01,34550,34815,33205,33595,236.5,34405,7114,"48729806.54",5068
"ABCAPITAL.NS","INE674K01013",2025-08-01,256.5,256.6,250.05,251.45,236.5,256.65,3521144,"48729806.54",5068
"ABDL.NS","INE552Z01027",2025-08-01,516,531.9,504,510.75,236.5,515.05,648280,"48729806.54",5068
"ABFRL.NS","INE647O01011",2025-08-01,72.87,74.44,72.72,73.78,236.5,72.87,5398627,"48729806.54",5068
"ABGSEC.NS","INF209KC1134",2025-08-01,110.47,110.79,110.03,110.1,236.5,110.47,414,"48729806.54",5068
