"SYMBOL","PRICE","SMA_20","SMA_50","RSI","TREND","RSI_STATUS"
"NIFTY",20449.15,20778.59,20322.14,45.9,"BULLISH","NEUTRAL"
"BANKNIFTY",49204.51,50551.82,51700.66,41.88,"BEARISH","NEUTRAL"
"RELIANCE",2546.81,2533.85,2577,49.27,"BEARISH","NEUTRAL"
"TCS",3325.16,3339.98,3409.6,46.26,"BEARISH","NEUTRAL"
"INFY",1787.92,1731.46,1706.95,59.22,"BULLISH","NEUTRAL"
"HDFC",2374.87,2463.94,2546.49,37.3,"BEARISH","NEUTRAL"
"ICICIBANK",825.52,810.71,847.29,51.15,"BEARISH","NEUTRAL"
"SBIN",614.51,616.7,598.08,50.91,"BULLISH","NEUTRAL"
"ITC",427.05,419.25,433.27,51.77,"BEARISH","NEUTRAL"
"LT",3391.46,3371.73,3342.59,50.37,"BULLISH","NEUTRAL"
