"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"INFY.NS","INE009A01021",2024-01-01,1539,1557,1535.25,1551.35,480.95,1542.9,2808451,"9941670.15",1906
"RELIANCE.NS","INE002A01018",2024-01-01,2580.55,2606.85,2573.15,2590.25,480.95,2584.95,2015270,"9941670.15",1906
"TCS.NS","INE467B01029",2024-01-01,3790,3832,3773,3811.1,480.95,3793.4,825907,"9941670.15",1906
"INFY.NS","INE009A01021",2024-01-02,1546,1549.15,1523,1534.4,305,1551.35,5396313,"665273419.6",28472
"RELIANCE.NS","INE002A01018",2024-01-02,2585,2615,2573,2611.7,305,2590.25,3724400,"665273419.6",28472
"TCS.NS","INE467B01029",2024-01-02,3811.1,3811.1,3767.25,3783.2,305,3811.1,1344068,"665273419.6",28472
"INFY.NS","INE009A01021",2024-01-03,1519.95,1519.95,1488,1490,481.9,1534.4,7550363,"9473916.1",1537
"RELIANCE.NS","INE002A01018",2024-01-03,2610,2634,2577.2,2583.3,481.9,2611.7,4518768,"9473916.1",1537
"TCS.NS","INE467B01029",2024-01-03,3767,3771.85,3687.05,3691.75,481.9,3783.2,1803075,"9473916.1",1537
"INFY.NS","INE009A01021",2024-01-04,1504.95,1519.75,1492.9,1512.7,478.45,1490,7056038,"6432696.5",1147
"RELIANCE.NS","INE002A01018",2024-01-04,2588,2609.85,2579.1,2596.65,478.45,2583.3,4806389,"6432696.5",1147
"TCS.NS","INE467B01029",2024-01-04,3701.75,3719,3651,3666.8,478.45,3691.75,3598144,"6432696.5",1147
"INFY.NS","INE009A01021",2024-01-05,1506.75,1539.7,1506.25,1532.55,14525,1512.7,8895403,"21633903.05",762
"RELIANCE.NS","INE002A01018",2024-01-05,2602.9,2619.85,2598,2607.7,14525,2596.65,4043203,"21633903.05",762
"TCS.NS","INE467B01029",2024-01-05,3675,3747.75,3674.85,3737.9,14525,3666.8,1963127,"21633903.05",762
"INFY.NS","INE009A01021",2024-01-08,1528.95,1536,1513.25,1522.8,1509.8,1532.55,4440136,"157399453.6",11381
