symbol,isin,qty,purchase_date,purchase_rate,purchase_value,sale_date,sale_rate,sale_value,pnl,tenure_bucket
KNRCON,INE634I01029,2,2025-06-25,214.05,428.12,2025-06-25,212.35,424.18,-3.94,intraday
20MICR,INE144J01027,2,2024-08-08,305.9,612.55,2025-06-25,225.05,449.55,-163.0,STCG
20MICR,INE144J01027,1,2024-08-08,305.9,306.27,2025-06-25,225.05,224.77,-81.5,STCG
20MICR,INE144J01027,3,2024-08-08,305.9,919.28,2025-06-25,225.05,674.32,-244.96,STCG
20MICR,INE144J01027,10,2024-09-04,326.1,3265.44,2025-06-25,225.05,2247.74,-1017.7,STCG
20MICR,INE144J01027,1,2024-08-08,305.9,306.27,2025-06-25,225.05,224.77,-81.5,STCG
20MICR,INE144J01027,1,2024-08-08,305.9,306.27,2025-06-25,225.05,224.77,-81.5,STCG
20MICR,INE144J01027,1,2024-08-08,305.9,306.27,2025-06-25,225.05,224.77,-81.5,STCG
20MICR,INE144J01027,1,2024-08-08,305.9,306.27,2025-06-25,225.05,224.77,-81.5,STCG
ACTCON,INE731H01025,1,2024-09-03,1281.4,1282.96,2025-05-16,1238.35,1236.83,-46.13,STCG
ACTCON,INE731H01025,6,2025-04-30,1185.7,7124.15,2026-02-16,890.55,5336.8,-1787.35,STCG
ADFFOO,INE982B01027,30,2025-06-09,282.17,8476.68,2025-09-02,215.62,6460.73,-2015.95,STCG
ADFFOO,INE982B01027,20,2024-09-04,275.5,5517.51,2025-09-02,215.62,4307.15,-1210.36,STCG
ADIMON,INE865C01022,9,2024-12-10,228.0,2054.82,2025-09-22,182.68,1642.12,-412.7,STCG
ADIVIS,INE679V01027,3,2025-10-06,559.05,1679.59,2026-02-16,498.15,1492.63,-186.96,STCG
ADIVIS,INE679V01027,1,2025-10-06,559.05,559.73,2026-02-16,498.15,497.54,-62.19,STCG
ADIVIS,INE679V01027,1,2025-10-06,559.05,559.73,2026-02-16,498.2,497.59,-62.14,STCG
ADIVIS,INE679V01027,4,2025-10-06,559.05,2238.92,2026-02-16,498.2,1990.38,-248.54,STCG
ADIVIS,INE679V01027,1,2025-10-06,559.05,559.86,2026-02-16,498.15,497.54,-62.32,STCG
ADOWEL,INE045A01017,1,2025-06-30,1022.75,1024.6,2025-09-22,1030.4,1029.14,4.54,STCG
ADOWEL,INE045A01017,1,2025-09-02,981.95,983.14,2025-09-22,1030.4,1029.14,46.0,STCG
ADOWEL,INE045A01017,1,2025-09-02,981.95,983.14,2025-09-22,1030.4,1029.14,46.0,STCG
ADOWEL,INE045A01017,2,2025-09-02,981.95,1966.88,2025-09-22,1030.4,2058.27,91.39,STCG
ADOWEL,INE045A01017,1,2025-06-30,1022.7,1023.94,2025-09-22,1030.4,1029.14,5.2,STCG
ADOWEL,INE045A01017,1,2025-06-30,1022.75,1023.99,2025-09-22,1030.4,1029.14,5.15,STCG
ADOWEL,INE045A01017,1,2025-06-30,1022.8,1024.04,2025-09-22,1030.4,1029.14,5.1,STCG
ADOWEL,INE045A01017,4,2025-06-03,982.05,3933.57,2025-09-22,1030.4,4116.55,182.98,STCG
ADOWEL,INE045A01017,1,2025-04-30,878.85,879.92,2025-09-22,1030.4,1029.14,149.22,STCG
ADOWEL,INE045A01017,3,2025-04-30,878.9,2640.44,2025-09-22,1030.4,3087.41,446.97,STCG
ADOWEL,INE045A01017,4,2025-01-31,996.95,3993.26,2025-09-22,1030.4,4116.55,123.29,STCG
ADVENZ,INE837H01020,3,2024-08-19,465.55,1398.56,2025-06-05,307.1,920.18,-478.38,STCG
ADVENZ,INE837H01020,1,2024-08-19,465.55,466.19,2025-06-05,307.15,306.78,-159.41,STCG
ADVENZ,INE837H01020,1,2024-08-19,465.55,466.19,2025-06-05,307.1,306.73,-159.46,STCG
ADVENZ,INE837H01020,10,2024-09-17,559.65,5604.13,2025-06-05,307.1,3067.26,-2536.87,STCG
AERIND,INE024001021,5,2025-01-20,249.93,1251.17,2025-10-17,169.5,846.46,-404.71,STCG
AIAENG,INE212H01026,1,2024-07-29,4448.8,4454.86,2025-06-05,3508.2,3503.9,-950.96,STCG
AIAENG,INE212H01026,3,2024-07-19,4352.7,13076.0,2025-06-05,3508.15,10511.55,-2564.45,STCG
AIAENG,INE212H01026,1,2024-07-29,4448.8,4454.86,2025-06-05,3508.75,3504.45,-950.41,STCG
APEFRO,INE346W01013,20,2025-11-24,344.1,6891.38,2025-11-25,306.75,6127.48,-763.9,STCG
ASHLEY,INE208A01029,2,2024-07-22,231.8,464.23,2025-06-05,233.38,466.19,1.96,STCG
ASHLEY,INE208A01029,3,2024-07-22,231.8,696.34,2025-06-05,233.38,699.29,2.95,STCG
ASHLEY,INE208A01029,10,2024-07-26,246.75,2470.86,2025-06-05,233.38,2330.96,-139.9,STCG
ASHLEY,INE208A01029,10,2024-08-19,257.6,2579.51,2025-06-05,233.38,2330.96,-248.55,STCG
ASHLEY,INE208A01029,20,2024-08-23,261.6,5239.13,2025-06-05,233.38,4661.92,-577.21,STCG
ATHENE,INE0LEZ01016,10,2025-09-02,490.55,4912.22,2025-09-25,566.7,5660.05,747.83,STCG
AUTCOR,INE451C01013,2,2024-08-16,2949.45,5906.94,2025-08-08,2118.3,4231.41,-1675.53,STCG
AXICOT,INE02EZ01022,66,2024-10-08,0.0,0.0,2025-06-05,9.15,603.16,603.16,STCG
BAJFI,INE296A01032,3,2025-06-18,0.0,0.0,2025-11-11,1003.3,3006.21,3006.21,STCG
BASF,INE373A01013,1,2024-07-08,5607.0,5613.84,2025-06-05,5145.0,5138.7,-475.14,STCG
BASF,INE373A01013,1,2024-07-24,5853.65,5861.67,2025-06-05,5145.0,5138.7,-722.97,STCG
BASF,INE373A01013,1,2024-08-27,6975.4,6984.96,2025-06-05,5145.0,5138.7,-1846.26,STCG
BHAGEA,INE561C01019,1,2025-09-22,109.59,109.72,2025-10-17,113.15,113.01,3.29,STCG
BHAGEA,INE561C01019,19,2025-09-22,109.6,2085.27,2025-10-17,113.15,2147.24,61.97,STCG
BIKFOO,INE00E101023,5,2024-09-19,928.6,4649.37,2025-06-05,757.0,3780.36,-869.01,STCG
BSE,INE118H01025,1,2024-10-01,3874.95,3880.24,2025-07-08,2441.0,2438.03,-1442.21,STCG
BSE,INE118H01025,3,2025-02-20,5798.0,17417.56,2025-07-08,2441.0,7314.08,-10103.48,STCG
BSE,INE118H01025,1,2024-10-14,4817.0,4823.58,2025-07-08,2441.0,2438.03,-2385.55,STCG
BSE,INE118H01025,1,2024-09-18,3504.7,3509.51,2025-07-08,2441.0,2438.03,-1071.48,STCG
BSE,INE118H01025,1,2024-08-19,2671.95,2675.61,2025-07-08,2441.0,2438.03,-237.58,STCG
BSE,INE118H01025,1,2025-02-20,5798.0,5805.85,2025-10-17,2510.0,2506.94,-3298.91,STCG
BSE,INE118H01025,4,2025-05-27,0.0,0.0,2025-12-03,2783.0,11118.45,11118.45,STCG
BSE,INE118H01025,1,2025-04-08,5449.85,5457.3,2025-12-03,2783.0,2779.61,-2677.69,STCG
BSE,INE118H01025,7,2025-05-27,0.0,0.0,2026-02-03,2863.0,20016.6,20016.6,STCG
BSE,INE118H01025,2,2025-05-27,0.0,0.0,2026-02-03,2863.0,5719.03,5719.03,STCG
BSE,INE118H01025,5,2025-05-27,0.0,0.0,2026-02-16,2752.5,13745.74,13745.74,STCG
CASIND,INE172A01027,10,2024-07-22,250.66,2510.04,2025-06-25,210.7,2104.42,-405.62,STCG
CASIND,INE172A01027,10,2024-07-03,246.9,2472.38,2025-06-25,210.7,2104.42,-367.96,STCG
CASIND,INE172A01027,10,2024-07-08,254.02,2543.68,2025-06-25,210.7,2104.42,-439.26,STCG
CASIND,INE172A01027,5,2024-07-15,264.24,1323.02,2025-06-25,210.7,1052.21,-270.81,STCG
CASIND,INE172A01027,30,2024-08-21,267.85,8046.46,2025-06-25,210.7,6313.25,-1733.21,STCG
CHAFER,INE085A01013,1,2025-05-08,726.05,726.93,2025-06-05,552.35,551.68,-175.25,STCG
CHAFER,INE085A01013,2,2025-05-08,726.05,1454.09,2025-06-05,552.35,1103.36,-350.73,STCG
