symbol,isin,quantity,value_rs
AVL,INE679V01027,10,5000.0
ADOR,INE045A01017,8,8351.2
AFFLE,INE00WC01027,10,15472.0
ALIVUS,INE03Q201024,2,1922.1
ANANDRATHI,INE463V01026,12,34624.8
ANANTRAJ,INE242C01024,25,12607.5
ANGELONE,INE732I01013,12,30490.8
APLAPOLLO,INE702C01027,5,10228.5
APOLLOHOSP,INE437A01024,7,48723.5
APOLLO,INE713T01028,60,15645.0
APOLLOTYRE,INE438A01022,10,4921.5
ARTEMISMED,INE025R01021,70,17356.5
ARVINDFASN,INE955V01021,10,4707.5
ASHOKLEY,INE208A01029,50,9834.5
ASTRAMICRO,INE386C01029,19,18669.4
ATHERENERG,INE0LEZ01016,15,9318.75
DMART,INE192R01011,40,147580.0
AXISBANK,INE238A01034,20,27408.0
BAJAJ-AUTO,INE917I01010,5,47987.5
BAJFINANCE,INE296A01032,29,26965.65
BAJAJFINSV,INE918I01026,30,58578.0
BAJAJHLDNG,INE118A01012,4,43200.0
BANKBARODA,INE028A01039,45,13473.0
BEML,INE258A01024,5,8974.5
BFUTILITIE,INE243D01012,10,5191.0
BDL,INE171Z01026,15,23073.0
BEL,INE263A01024,266,119434.0
BHARATFORG,INE465A01025,5,7207.0
BHARATGEAR,INE561C01019,35,3936.45
BHEL,INE257A01026,50,13135.0
BPCL,INE029A01011,24,8748.0
BHARTIARTL,INE397D01024,21,41342.7
BLACKBUCK,INE0UIZ01018,10,5600.5
BLUESTARCO,INE472A01039,8,14535.2
BLUSPRING,INE0U4101014,5,298.25
BOSCHLTD,INE323A01026,1,36530.0
BSE,INE118H01025,29,81113.0
NOT LISTED,INE494T01017,70,63.0
CANBK,INE476A01022,290,42751.8
CDSL,INE736A01011,27,35645.4
CESC,INE486A01021,90,13514.4
CHOICEIN,INE102B01014,35,26794.25
CHOLAHLDNG,INE149A01033,12,19851.6
CIEINDIA,INE536H01010,39,16309.8
CUB,INE491A01021,120,36210.0
COCHINSHIP,INE704P01025,8,13279.2
COFORGE,INE591G01025,17,28114.6
COMSYN,INE073V01015,10,1667.8
CONCOR,INE111A01025,11,5524.75
COROMANDEL,INE169A01031,10,22826.0
CROMPTON,INE299U01018,10,2214.5
CUMMINSIND,INE298A01020,5,20562.5
CUPID,INE509F01029,15,6015.0
DALBHARAT,INE00R701025,5,10327.5
DATAPATTNS,INE0IX101010,8,21374.4
TRADING SUSPENDED,INE498D01012,20,6022.0
DEEPINDS,INE0FHS01024,30,11155.5
DELHIVERY,INE148O01028,1,422.95
DBOL,INE0I3401014,70,7240.1
DIGITIDE,INE0U4701011,5,573.55
DIXON,INE935N01020,8,83568.0
DLF,INE271C01023,15,9536.25
LALPATHLAB,INE600L01024,20,28190.0
EICHERMOT,INE066A01021,5,35612.5
ENDURANCE,INE913H01037,6,14560.8
ETERNAL,INE758T01015,80,21888.0
EXIDEIND,INE302A01020,15,4824.0
FORTIS,INE061F01013,55,46832.5
NYKAA,INE388Y01029,15,3562.5
GABRIEL,INE524A01029,39,36402.6
GRSE,INE382Z01011,11,30406.2
GLAXO,INE159A01016,4,9606.4
GLENMARK,INE935A01035,5,10079.5
GODREJAGRO,INE850D01014,10,5335.5
GODREJIND,INE233A01035,8,7792.8
GOKULAGRO,INE314T01033,75,12144.75
GRAVITA,INE024L01027,30,48132.0
GAEL,INE036B01030,30,4230.3
GMDCLTD,INE131A01031,20,11555.0
HGINFRA,INE926X01010,21,13476.75
HAVELLS,INE176B01034,21,26985.0
HAWKINCOOK,INE979B01015,4,30084.0
HBLENGINE,INE292B01021,35,27426.0
HDFCAMC,INE127D01025,8,20125.6
HDFCBANK,INE040A01034,776,721098.0
HEG,INE545A01024,3,1626.0
HIRECT,INE835D01023,8,10019.2
