symbol,tenure_bucket,pnl,qty
20MICR,LTCG,16.68,10
20MICR,STCG,-1833.16,20
ABB,LTCG,-6365.549999999999,4
ACTCON,LTCG,-23413.18,54
ACTCON,STCG,-1833.48,7
ADFFOO,LTCG,-259.04,5
ADFFOO,STCG,-3226.31,50
ADIMON,STCG,-412.7,9
ADIVIS,STCG,-622.15,10
ADOWEL,LTCG,-1067.46,4
ADOWEL,STCG,1105.84,20
ADVENZ,STCG,-3334.12,15
AERIND,STCG,-404.71,5
AIAENG,STCG,-4465.82,5
AJAPHA,LTCG,-3793.0,6
ALKLAB,LTCG,-1246.61,2
AMARAJ,LTCG,-7057.04,10
ANARAJ,LTCG,870.12,10
ANARAT,LTCG,-1376.15,2
ANGBRO,LTCG,-1790.28,12
APEFRO,STCG,-763.9,20
ASHLEY,LTCG,679.1600000000001,15
ASHLEY,STCG,-960.75,45
ASTMIC,LTCG,127.58,1
ATHENE,STCG,747.83,10
AURPHA,LTCG,-1344.9099999999999,5
AUTCOR,STCG,-1675.53,2
AVESUP,LTCG,-5266.41,30
AXICOT,STCG,603.16,66
BAFINS,LTCG,3385.6,10
BAJFI,LTCG,-22214.97,8
BAJFI,STCG,3006.21,3
BALIND,LTCG,-2430.16,3
BASF,STCG,-3044.37,3
BHAELE,LTCG,2056.38,8
BHAENG,LTCG,-2896.56,45
BHAGEA,STCG,65.26,20
BHAPET,LTCG,776.3,4
BIKFOO,STCG,-869.01,5
BLUSTA,LTCG,191.52,1
BRIIND,LTCG,1202.5900000000001,5
BSE,STCG,29382.92,27
CASIND,LTCG,49.699999999999996,30
CASIND,STCG,-3216.86,65
CDSL,LTCG,9111.99,7
CESC,LTCG,208.8,5
CHAFER,STCG,-1754.95,10
CHAINF,STCG,-253.10999999999999,5
CHOINT,LTCG,2320.85,5
CMSIN,LTCG,-1543.74,10
COLPAL,LTCG,-583.23,3
COLPAL,STCG,-1875.4099999999999,2
COMSYN,STCG,-93.69,20
CORINT,LTCG,8143.01,11
CORINT,STCG,2061.87,15
CROGR,LTCG,-2476.2799999999997,15
CROGRE,STCG,-445.13,10
DABIND,STCG,-1461.66,10
DATPAT,STCG,1103.76,2
DECBEA,LTCG,11666.07,70
DEEFER,STCG,1168.65,10
DEEIN,LTCG,-244.47000000000006,20
DEEIN,STCG,-1609.4199999999998,10
DIVLAB,STCG,3670.85,3
DIXTEC,LTCG,13714.880000000001,3
DLILIM,STCG,-1831.02,10
EDEFIN,LTCG,32.66,60
EDEFIN,STCG,297.63,60
EICMOT,LTCG,5107.389999999999,2
EMALIM,STCG,-1245.26,5
EMULIM,LTCG,-1844.59,10
ESCORT,LTCG,-2165.25,3
FINCHE,LTCG,-2993.6099999999997,20
FINPA,LTCG,-246.08,4
FINPA,STCG,-322.82,5
FORHEA,LTCG,2821.45,5
FSNECO,STCG,77.4,20
GABIND,LTCG,1562.76,2
GAIL,LTCG,-1551.87,140
GARREA,STCG,4276.19,3
GMRINF,LTCG,-34.21,10
GMRINF,STCG,-553.24,30
GOKAGR,LTCG,1293.24,15
GRAVIN,LTCG,-1033.78,4
GREIN,STCG,-2021.38,30
GUJFLU,STCG,-1755.1100000000001,3
HATAGR,LTCG,-3615.7200000000003,10
HAVIND,LTCG,-2594.4,15
HAWCOO,LTCG,1526.1999999999998,4
HBLPOW,LTCG,6805.38,15
HCLTEC,STCG,-2573.87,5
HEG,STCG,710.3400000000001,20
HGINF,LTCG,-1445.98,2
HGINF,STCG,-4676.13,28
HIKCHE,STCG,-1692.27,10
HINCOP,LTCG,3225.4900000000002,11
HINCOP,STCG,4570.83,29
IFBIND,LTCG,-1587.4,4
IGAMOT,LTCG,-1549.86,10
INDAMI,STCG,-721.47,10
INDEN,LTCG,-5053.03,75
INDGLY,LTCG,1722.06,4
INDHOT,LTCG,1404.66,7
INDHUM,LTCG,-2228.33,14
INDIBA,STCG,2014.56,15
INDMED,LTCG,2313.01,10
INDREN,STCG,2.95,20
INFEDG,LTCG,-1131.0500000000002,10
INFTEC,LTCG,27691.01,50
INSEC,LTCG,-1806.71,9
INSEC,STCG,-76.86,1
IPCLAB,STCG,-1440.58,9
JINPH,LTCG,-380.32,10
JINSAW,LTCG,-603.67,8
JINSAW,STCG,-433.93,4
JMFINA,LTCG,-415.43999999999994,60
JSWENE,LTCG,-1654.63,20
JUBFOO,LTCG,91.43999999999998,20
JUBING,STCG,-119.44,5
JUSDIA,LTCG,-4193.42,12
KARVYS,LTCG,183.48,4
KECIN,LTCG,-1407.8,35
KECIN,STCG,-1275.3799999999999,16
KEIIND,LTCG,680.1800000000001,3
KIRENG,LTCG,2838.76,15
KITGAR,STCG,308.71000000000004,15
KNRCON,STCG,-3095.4300000000003,32
KNRCON,intraday,-3.94,2
KPITE,LTCG,-1012.2,7
KPITE,STCG,-6583.8099999999995,21
LATVIE,LTCG,-735.8299999999999,15
LAULAB,STCG,1970.69,10
LININ,LTCG,-2718.72,2
LKPMER,LTCG,9189.77,20
LKPMER,STCG,7370.88,20
LTTEC,LTCG,-2123.16,2
LUPIN,STCG,-415.88,4
LUXIND,LTCG,-3776.3,3
MAHGAS,LTCG,-96.0,1
MAHGAS,STCG,-3089.44,10
MAZDOC,LTCG,2397.0,6
MCX,LTCG,38593.36,18
MININD,LTCG,1758.45,5
MININD,STCG,1571.46,5
MODDAI,STCG,-167.31,50
MODNAT,STCG,-554.98,5
MRSBEC,LTCG,-1818.11,15
MUTFIN,LTCG,1672.3,1
NAGCON,LTCG,-2642.11,50
NAGCON,STCG,-1200.69,62
NIITEC,LTCG,1622.25,3
NILE,STCG,-3223.84,3
NITSPI,LTCG,-339.0,5
NRBBEA,LTCG,-340.3,8
NRBBEA,STCG,553.0299999999999,90
NTPC,LTCG,3505.33,54
ONEPOI,LTCG,-1530.98,50
ONGC,LTCG,-793.97,10
ORAFIN,LTCG,-2344.33,1
ORAFIN,STCG,-2190.33,1
ORIREF,LTCG,-2518.09,15
ORIREF,STCG,-410.22,25
OSWAGR,LTCG,-1308.67,100
OVESYN,STCG,-2270.37,20
PARCOM,LTCG,-4897.99,144
PCJEW,LTCG,-527.0100000000001,250
PCJEW,STCG,2354.22,800
PERTEA,LTCG,668.61,5
PERTEA,STCG,-1599.53,10
PHICAR,LTCG,-796.8199999999999,5
PHOMIL,LTCG,-408.6299999999999,2
PICAGR,LTCG,-649.0400000000001,5
PIRPHA,LTCG,-72.09,10
PIRPHA,STCG,-94.86,10
PITLAM,LTCG,-885.79,5
PNBHOU,LTCG,-1945.8200000000002,15
PNCINF,LTCG,-1875.8999999999999,18
PNCINF,STCG,-5897.59,89
POCENT,LTCG,1722.5600000000002,25
POCENT,STCG,-2664.89,50
POLCOR,LTCG,-757.68,3
POLMED,LTCG,-1552.22,7
POLMED,STCG,-1835.01,2
PONOXI,LTCG,6070.41,9
POWGRI,LTCG,98.93,4
PRAIN,LTCG,-13575.56,45
PREEXP,STCG,645.03,10
PRIFOC,STCG,-1751.1100000000001,50
PUDPAP,LTCG,448.43,20
PUDPAP,STCG,-1756.67,30
QUECOR,LTCG,-2867.7,5
QUIHEA,STCG,-2240.12,5
RAIIND,STCG,-1971.99,30
RAIVIK,STCG,-2508.4700000000003,57
RAMFOR,LTCG,-14523.61,40
RATMET,STCG,-916.43,1
RATTRA,LTCG,-1361.33,10
RAUINT,STCG,-1127.82,6
RAYMON,LTCG,-7667.31,4
REDIND,STCG,-281.85,20
RELNIP,LTCG,243.64,1
RKEPRO,STCG,-1744.55,30
RPGLIF,LTCG,1360.6,8
RUBMIL,LTCG,-1113.22,25
SAGCEM,LTCG,286.58,20
SAGCEM,STCG,136.43000000000004,100
SANOFI,LTCG,-2618.49,1
SANPAR,LTCG,-828.69,15
SANPAR,STCG,-974.53,10
SHAGEA,LTCG,-1000.05,5
SHAILY,LTCG,1321.02,1
SHIME,LTCG,-58.28,1
SHIME,STCG,-271.95,4
SHYMET,STCG,82.15,5
SKYGOL,STCG,1663.48,5
SMSPHA,STCG,-1013.6099999999999,20
SOMCER,STCG,-1305.55,28
SUNIRO,LTCG,494.44,18
SUNIRO,STCG,-275.13,10
SUPIND,LTCG,-1419.8600000000001,2
SUPIND,STCG,90.27,2
SUYTEL,STCG,-1660.91,3
SWAENE,LTCG,-1144.3200000000002,5
TATCOM,LTCG,-1847.42,7
TATELX,LTCG,-19083.23,5
TATGLO,LTCG,-742.09,8
TATGLO,STCG,-291.77,4
TATINV,STCG,-2752.67,2
TATMOT,LTCG,5543.110000000001,20
TATPOW,LTCG,7751.22,40
TATSTE,LTCG,13489.95,300
TCS,LTCG,13722.450000000003,60
TDPSYS,LTCG,6344.56,16
TECMAH,LTCG,3972.5,75
TEGIND,LTCG,723.54,7
TEGIND,STCG,-405.58,1
THERMA,LTCG,-1858.59,1
THERMA,STCG,-2487.23,1
TIDWAT,LTCG,-2004.25,4
TILIND,STCG,229.55,10
TIMGRO,STCG,6347.84,40
TINOVE,LTCG,-1042.96,1
TIPIND,LTCG,-6594.19,35
TIPIND,STCG,-736.42,2
TORPOW,STCG,-1359.34,3
TRACOR,STCG,-676.6800000000001,5
TRENT,LTCG,-8133.91,3
TRENT,STCG,-828.3199999999999,5
TRITUR,LTCG,-5263.88,40
TUBINV,LTCG,1876.67,3
TVSMOT,STCG,-1517.1399999999999,9
TVSSUP,LTCG,-1724.61,30
UFLLIM,STCG,-941.47,10
UJJSMA,LTCG,-9630.04,1000
VATWAB,LTCG,389.46,5
VESIND,LTCG,778.48,20
VISRET,LTCG,16086.23,10
VLSFIN,STCG,-1940.77,15
VOLTAS,LTCG,-458.22,5
WEBENE,LTCG,838.27,104
WEBENE,STCG,-7131.62,150
WINMAC,LTCG,4491.93,40
WINMAC,STCG,-5761.99,60
WOCKHA,LTCG,2399.58,5
WOCKHA,STCG,-2340.65,5
ZENTEC,LTCG,-6531.45,12
ZENTEC,STCG,-2850.07,10
ZOMLIM,LTCG,3858.37,50
ZOMLIM,STCG,3497.45,70
