SYMBOL,PRICE_28APR,STAGE_SCORE,COMPANY_NAME,LIVE_PRICE,CHG_PCT
BHAGYANGR,278.67,0.8,BHAGYANAGAR INDIA LIMITED,275.0,-1.32
PRECWIRE,412.65,0.796,PRECISION WIRES INDIA LTD,432.0,4.69
HFCL,107.24,0.793,HFCL LIMITED,,
WELCORP,1226.4,0.792,WELSPUN CORP LIMITED,1250.6,1.97
POWERINDIA,32805.0,0.791,HITACHI ENERGY INDIA LTD,33815.0,3.08
ADANIENSOL,1435.45,0.788,ADANI ENERGY SOLUTION LTD,1405.4,-2.09
VOLTAMP,11512.5,0.788,VOLTAMP TRANSFORMERS LTD,12075.0,4.89
ROSSTECH,1020.2,0.785,ROSSELL TECHSYS LIMITED,968.95,-5.02
JAYNECOIND,109.81,0.785,JAYASWAL NECO INDUSTR LTD,114.05,3.86
KIRLOSENG,1724.4,0.782,KIRLOSKAR OIL ENG LTD,1738.9,0.84
ENGINERSIN,256.54,0.78,ENGINEERS INDIA LTD,255.85,-0.27
TDPOWERSYS,1145.55,0.78,TD POWER SYSTEMS LTD.,1162.7,1.5
NITINSPIN,456.6,0.777,NITIN SPINNERS LIMITED,491.15,7.57
KRN,1309.35,0.776,KRN HEAT EXCHANGE N REF L,1232.6,-5.86
QPOWER,1378.8,0.776,QUALITY POWER ELEC EQUP L,1376.8,-0.15
MTARTECH,5292.1,0.775,MTAR TECHNOLOGIES LIMITED,6239.5,17.9
MON100,301.29,0.773,MOTILAL OS NASDAQ100 ETF,,
SGFIN,542.85,0.771,SG FINSERVE LIMITED,572.05,5.38
BHEL,354.71,0.769,BHEL,395.1,11.39
STLTECH,285.13,0.768,STERLITE TECHNOLOGIES LTD,309.5,8.55
KTKBANK,263.63,0.767,KARNATAKA BANK LIMITED,272.4,3.33
CPPLUS,2306.6,0.765,ADITYA INFOTECH LIMITED,2447.0,6.09
RPTECH,487.65,0.764,RASHI PERIPHERALS LIMITED,475.9,-2.41
MONQ50,126.5,0.764,MOTILALAMC - MONQ50,,
KSB,989.05,0.764,KSB LIMITED,906.8,-8.32
ABSLAMC,1066.3,0.764,ADIT BIRL SUN LIF AMC LTD,1031.6,-3.25
DATAPATTNS,4059.9,0.762,DATA PATTERNS INDIA LTD,4044.5,-0.38
TATAPOWER,461.8,0.76,TATA POWER CO LTD,445.15,-3.61
AZAD,2201.0,0.76,AZAD ENGINEERING LIMITED,2178.0,-1.04
VTL,609.15,0.759,VARDHMAN TEXTILES LIMITED,619.8,1.75
HSCL,571.4,0.758,HIMADRI SPECIALITY CHEM L,616.1,7.82
NLCINDIA,318.15,0.756,NLC INDIA LIMITED,325.1,2.18
GLENMARK,2403.7,0.753,GLENMARK PHARMACEUTICALS,2405.5,0.07
ATHERENERG,931.15,0.753,ATHER ENERGY LIMITED,924.3,-0.74
AUROPHARMA,1422.6,0.751,AUROBINDO PHARMA LTD,1388.3,-2.41
AXISCADES,1933.2,0.751,AXISCADES TECH LTD,2069.9,7.07
SANSERA,2576.7,0.75,SANSERA ENGINEERING LTD,,
