symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
AVL,10,5000.0,542.7,70.7,70.2,BULLISH,BUY,ADD,4.89,6.85,13.51,9.0,73.11,comprehensive_csv
ADOR,8,8351.2,1070.75,52.7,64.4,BEARISH,HOLD,HOLD,5.04,3.3,21.95,1.76,10.0,comprehensive_csv
AFFLE,10,15472.0,1906.5,45.3,45.0,BEARISH,WEAK_HOLD,REDUCE,0.11,0.67,-2.67,2.57,,db
ALIVUS,2,1922.1,1007.65,67.3,46.5,STRONG_BULLISH,BUY,ADD,-3.57,-6.1,3.59,10.03,55.45,comprehensive_csv
ANANDRATHI,12,34624.8,3579.1,64.0,66.8,STRONG_BULLISH,HOLD,HOLD,0.58,-1.85,17.91,24.94,50.33,comprehensive_csv
ANANTRAJ,25,12607.5,493.1,27.3,51.2,BEARISH,SELL,SELL,-1.56,-4.14,21.54,-8.65,51.15,comprehensive_csv
ANGELONE,12,30490.8,319.27,22.7,31.2,BEARISH,SELL,SELL,0.2,-1.48,40.32,-84.37,48.22,comprehensive_csv
APLAPOLLO,5,10228.5,1976.0,28.7,44.8,BULLISH,SELL,SELL,-0.59,-6.2,2.01,-7.57,10.0,comprehensive_csv
APOLLOHOSP,7,48723.5,7753.0,60.0,57.4,BULLISH,HOLD,HOLD,-0.92,0.12,4.5,11.56,51.11,comprehensive_csv
APOLLO,60,15645.0,305.9,55.3,76.3,BULLISH,HOLD,HOLD,1.56,6.61,67.93,30.07,54.74,comprehensive_csv
APOLLOTYRE,10,4921.5,423.65,27.3,44.1,BEARISH,SELL,SELL,-1.14,-4.14,2.75,-12.31,53.44,comprehensive_csv
ARTEMISMED,70,17356.5,240.81,46.7,58.9,BEARISH,WEAK_HOLD,REDUCE,-1.78,5.44,17.18,6.41,50.87,comprehensive_csv
ARVINDFASN,10,4707.5,444.45,36.0,48.5,BULLISH,WEAK_HOLD,REDUCE,-1.81,-6.48,10.15,-5.92,50.43,comprehensive_csv
ASHOKLEY,50,9834.5,167.52,39.3,44.4,BULLISH,WEAK_HOLD,REDUCE,-1.05,-5.15,8.69,-15.97,71.08,comprehensive_csv
ASTRAMICRO,19,18669.4,1096.3,66.0,60.6,STRONG_BULLISH,BUY,ADD,-3.69,-1.33,28.12,23.95,71.97,comprehensive_csv
ATHERENERG,15,9318.75,931.15,64.7,67.4,STRONG_BULLISH,HOLD,HOLD,-1.07,3.91,23.49,32.14,63.36,comprehensive_csv
DMART,40,147580.0,4544.4,53.3,62.9,STRONG_BULLISH,HOLD,HOLD,0.83,-0.98,14.85,17.71,,comprehensive_csv
AXISBANK,20,27408.0,1289.0,49.3,45.5,STRONG_BULLISH,WEAK_HOLD,REDUCE,-2.66,-6.44,11.0,-0.83,52.47,comprehensive_csv
BAJAJ-AUTO,5,47987.5,9495.5,46.0,50.1,BULLISH,WEAK_HOLD,REDUCE,-1.72,-3.04,8.13,1.31,52.35,comprehensive_csv
BAJFINANCE,29,26965.65,923.65,43.3,54.6,BEARISH,WEAK_HOLD,REDUCE,0.2,-1.62,15.23,-0.18,51.99,comprehensive_csv
