MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     25936.20,     25982.00,     26097.85,     25960.30,     26053.90,1122984177489.79,4595385358,Y, ,31843445,     26104.20,     21743.65
Y,NIFTY50 EQL Wgt,     33097.25,     33178.60,     33347.10,     33144.90,     33266.90,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 EQL Wgt,     33873.45,     33950.15,     34252.10,     33924.60,     34208.40,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 LowVol30,     20857.05,     20897.45,     20951.25,     20861.40,     20924.90,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY Alpha 50,     51176.95,     51198.50,     51293.30,     50941.40,     51240.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY MIDCAP 150,     22063.00,     22090.10,     22212.25,     22032.30,     22190.50,0.00,0,Y, ,0,     22212.25,     17269.50
Y,NIFTY SMLCAP 50,      8857.10,      8867.40,      8903.60,      8814.90,      8893.60,0.00,0,Y, ,0,      9505.50,      6776.05
Y,NIFTY SMLCAP 250,     17346.40,     17363.35,     17433.95,     17294.45,     17423.60,0.00,0,Y, ,0,     18548.25,     13314.70
Y,NIFTY MIDSML 400,     20364.60,     20387.80,     20488.65,     20326.45,     20472.70,0.00,0,Y, ,0,     20766.65,     15832.85
Y,NIFTY200 QUALTY30,     21088.40,     21117.70,     21205.85,     21062.20,     21160.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty FinSrv25 50,     29690.60,     29738.75,     29939.10,     29665.90,     29904.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY AlphaLowVol,     27047.00,     27093.90,     27195.95,     27041.75,     27169.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200Momentm30,     31669.40,     31711.05,     31794.60,     31648.40,     31756.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100ESGSecLdr,      4315.10,      4322.45,      4351.30,      4319.85,      4344.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 ESG,      5092.85,      5102.15,      5133.75,      5094.40,      5128.80,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY M150 QLTY50,     24415.55,     24386.40,     24518.90,     24285.65,     24498.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY INDIA MFG,     15226.60,     15269.05,     15350.85,     15236.00,     15331.50,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Alpha 30,     25440.55,     25416.25,     25440.40,     25313.20,     25375.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyM150Momntm50,     62138.75,     62221.15,     62481.10,     62075.50,     62399.30,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty50 USD,     10181.85,     10181.85,     10249.45,     10181.85,     10241.20,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty IT,     35860.40,     35916.10,     36201.55,     35778.20,     36090.10,0.00,0,Y, ,0,     46088.90,     30918.95
Y,Nifty Next 50,     69258.25,     69413.85,     70318.65,     69355.25,     70238.45,0.00,0,Y, ,0,     73443.90,     56192.45
Y,Nifty Bank,     58214.10,     58316.25,     58469.90,     58087.05,     58385.25,0.00,0,Y, ,0,     58577.50,     47702.90
Y,NIFTY MIDCAP 100,     59765.35,     59839.55,     60216.55,     59672.75,     60149.05,0.00,0,Y, ,0,     60216.55,     46865.70
Y,Nifty 500,     23812.55,     23851.55,     23971.55,     23821.30,     23952.40,0.00,0,Y, ,0,     23971.55,     19519.85
Y,Nifty 100,     26517.45,     26566.30,     26713.30,     26551.05,     26679.25,0.00,0,Y, ,0,     26713.30,     22177.35
Y,Nifty Midcap 50,     16931.25,     16944.60,     17057.80,     16897.25,     17034.45,0.00,0,Y, ,0,     17057.80,     13269.65
Y,Nifty Realty,       944.60,       946.75,       953.85,       942.20,       950.50,0.00,0,Y, ,0,      1137.50,       765.80
Y,Nifty Infra,      9545.50,      9560.50,      9674.30,      9557.80,      9661.85,0.00,0,Y, ,0,      9674.30,      7589.95
Y,Nifty Energy,     35658.15,     35749.00,     36484.20,     35701.70,     36347.95,0.00,0,Y, ,0,     39773.35,     29313.20
Y,Nifty FMCG,     56110.05,     56250.30,     56663.85,     56127.40,     56615.35,0.00,0,Y, ,0,     59620.40,     50199.35
Y,Nifty MNC,     30143.45,     30204.90,     30341.35,     30138.95,     30309.20,0.00,0,Y, ,0,     30697.55,     23981.05
Y,Nifty Pharma,     22250.90,     22311.75,     22521.45,     22297.95,     22430.70,0.00,0,Y, ,0,     23604.45,     19121.10
Y,Nifty PSE,      9884.90,      9907.10,     10088.60,      9901.90,     10050.80,0.00,0,Y, ,0,     10431.25,      7956.45
Y,Nifty PSU Bank,      8087.65,      8103.70,      8129.05,      8059.65,      8089.45,0.00,0,Y, ,0,      8129.05,      5530.35
Y,Nifty Serv Sector,     33604.25,     33640.40,     33843.75,     33603.60,     33792.85,0.00,0,Y, ,0,     33932.55,     29070.85
Y,Nifty Auto,     27148.35,     27195.70,     27196.50,     26890.15,     26948.90,0.00,0,Y, ,0,     27725.75,     19316.65
Y,Nifty Metal,     10596.20,     10648.30,     10837.45,     10620.15,     10777.50,0.00,0,Y, ,0,     10837.45,      7690.20
Y,Nifty Media,      1538.45,      1541.30,      1565.95,      1534.65,      1563.50,0.00,0,Y, ,0,      2095.65,      1344.40
Y,NIFTY SMLCAP 100,     18407.60,     18416.35,     18504.95,     18341.85,     18487.55,0.00,0,Y, ,0,     19716.20,     14084.30
Y,Nifty 200,     14425.70,     14450.75,     14526.95,     14436.85,     14514.55,0.00,0,Y, ,0,     14526.95,     11941.45
Y,Nifty Div Opps 50,      6139.00,      6150.60,      6210.05,      6144.45,      6203.30,0.00,0,Y, ,0,      6675.40,      5288.60
Y,Nifty Commodities,      9338.30,      9369.95,      9530.35,      9367.65,      9499.85,0.00,0,Y, ,0,      9530.35,      7502.95
Y,Nifty Consumption,     12550.10,     12570.35,     12602.00,     12533.55,     12576.60,0.00,0,Y, ,0,     12716.20,     10090.65
Y,Nifty Fin Service,     27453.95,     27497.20,     27627.85,     27414.85,     27587.65,0.00,0,Y, ,0,     27774.70,     22320.85
