"symbol","current_price","technical_score","relative_strength","rsi","risk_level","investment_horizon","change_1d","change_1w","market_cap_category"
"AVL",517.1,92,34.44,64.8,"Medium","Short-term (1-3 months)",12.56,4.1,"LARGE_CAP"
"APOLSINHOT",1425.3,87.3,16.02,55.8,"Low","Short-term (1-3 months)",2.58,4.88,"MICRO_CAP"
"BIKAJI",801.35,87.3,15.51,61.8,"Medium","Short-term (1-3 months)",2.1,0.82,"SMALL_CAP"
"ASKAUTOLTD",520,86,10.97,59.9,"Low","Short-term (1-3 months)",1.01,8.1,"MICRO_CAP"
"BLUESTARCO",1944,85.3,21.98,62.7,"Medium","Short-term (1-3 months)",-0.85,3.4,"SMALL_CAP"
"DABUR",552.7,83.3,19.13,67.1,"Medium","Short-term (1-3 months)",1.69,7.56,"LARGE_CAP"
"DALBHARAT",2408.6,83.3,18.86,71.1,"High","Short-term (1-3 months)",-0.12,2.43,"MID_CAP"
"AVTNPL",74.79,81.3,17.96,60.1,"Medium","Short-term (1-3 months)",1.31,3.26,"MICRO_CAP"
"BAJAJCON",232.95,80.7,17.76,53,"Low","Short-term (1-3 months)",-3.73,-0.6,"MICRO_CAP"
"CENTUM",2817.3,78,24.54,65.9,"Medium","Short-term (1-3 months)",0.38,4.81,"MICRO_CAP"
"COMSYN",152.88,76.7,17.72,70.4,"High","Short-term (1-3 months)",1.75,14.08,"MICRO_CAP"
"CUMMINSIND",3935.6,76.7,21.63,67.7,"Medium","Short-term (1-3 months)",1.3,2.62,"MID_CAP"
"DDEVPLSTIK",322.7,76.7,22.07,59.2,"Low","Short-term (1-3 months)",0.72,4.57,"MICRO_CAP"
"RAMCOIND",314.4,76.7,26.74,67.9,"Medium","Short-term (1-3 months)",2.08,2.68,"MICRO_CAP"
"DIVGIITTS",676.75,76,19.3,62.1,"Medium","Short-term (1-3 months)",2.17,2.74,"MICRO_CAP"
"STOVEKRAFT",680.5,76,24.11,62.5,"Medium","Short-term (1-3 months)",2.3,6.34,"MICRO_CAP"
"ASTERDM",635.5,75.3,13.42,62.2,"Medium","Short-term (1-3 months)",2.48,6.91,"SMALL_CAP"
"CARTRADE",2556.4,75.3,61.02,65.9,"Medium","Short-term (1-3 months)",-1.03,12.54,"MID_CAP"
"CENTURYPLY",788.2,75.3,10.35,69,"Medium","Short-term (1-3 months)",1.06,7.83,"MICRO_CAP"
"BVCL",47.02,74.7,31.9,60.7,"Medium","Medium-term (3-6 months)",-0.78,15.56,"MICRO_CAP"
"APOLLOTYRE",485.5,74,11.54,66.6,"Medium","Medium-term (3-6 months)",-0.03,6.11,"SMALL_CAP"
"BHAGERIA",200.85,73.3,9.85,64.8,"Medium","Medium-term (3-6 months)",1.07,7.56,"MICRO_CAP"
"KRSNAA",830.45,73.3,21.69,57.6,"Low","Medium-term (3-6 months)",3.17,4.83,"MICRO_CAP"
"BECTORFOOD",1472,72.7,11.6,59.3,"Low","Medium-term (3-6 months)",7.27,8.06,"SMALL_CAP"
"CEIGALL",264.27,72.7,9.57,59.3,"Low","Medium-term (3-6 months)",4.59,7.14,"MICRO_CAP"
"M&M",3481.5,72.7,13.31,63.1,"Medium","Medium-term (3-6 months)",5.95,5.65,"LARGE_CAP"
"SINCLAIR",106.35,72.7,24.67,63.3,"Medium","Medium-term (3-6 months)",6.97,9.09,"MICRO_CAP"
"THYROCARE",1340.8,72.7,42.96,57.9,"Low","Medium-term (3-6 months)",3.01,4.9,"MICRO_CAP"
"ANANDRATHI",2956.2,72,44.81,73.6,"High","Medium-term (3-6 months)",1,6.79,"MICRO_CAP"
"ARVINDFASN",540.45,72,17.16,61.4,"Medium","Medium-term (3-6 months)",1.89,5.23,"MICRO_CAP"
"ASIANPAINT",2568.6,72,15.68,61.7,"Medium","Medium-term (3-6 months)",0.58,3.2,"MID_CAP"
"DECCANCE",1090.5,72,36.07,59.6,"Low","Medium-term (3-6 months)",-1.24,6.8,"MICRO_CAP"
"CHALET",1015.1,71.3,15.33,63,"Medium","Medium-term (3-6 months)",-0.86,-0.26,"MICRO_CAP"
"ESCORTS",3633.3,71.3,12.91,60.8,"Medium","Medium-term (3-6 months)",-1.2,4.55,"LARGE_CAP"
"KEI",4125.8,71.3,10.25,68,"Medium","Medium-term (3-6 months)",2.6,6.79,"MID_CAP"
"ASHAPURMIN",551.35,70.7,33.14,60.8,"Medium","Medium-term (3-6 months)",0.76,14.15,"MICRO_CAP"
"BALAJEE",55.29,70.7,26.6,60.3,"Medium","Medium-term (3-6 months)",-2.33,7.36,"MICRO_CAP"
"DIFFNKG",381.35,70.7,24.17,67.1,"Medium","Medium-term (3-6 months)",8.55,6.61,"SMALL_CAP"
"BSHSL",141.68,70,6.29,58.1,"Low","Medium-term (3-6 months)",0.19,-2.67,"MICRO_CAP"
"COLPAL",2464.6,70,4.44,66.8,"Medium","Medium-term (3-6 months)",3.47,8.92,"LARGE_CAP"
"INDOFARM",243.12,70,43.77,63.9,"Medium","Medium-term (3-6 months)",2.04,11,"SMALL_CAP"
"LEMONTREE",170.95,70,27.64,65.4,"Medium","Medium-term (3-6 months)",0.73,1.88,"MID_CAP"
"METROPOLIS",2236.7,70,34.64,67.8,"Medium","Medium-term (3-6 months)",1.27,2.25,"MICRO_CAP"
"AUTOBEES",267.49,69.3,13.89,72.6,"High","Medium-term (3-6 months)",0.91,3.53,"MICRO_CAP"
"AUTOIETF",26.69,69.3,13.54,72.1,"High","Medium-term (3-6 months)",0.87,3.13,"MICRO_CAP"
"BALMLAWRIE",228.93,69.3,12.88,62.6,"Medium","Medium-term (3-6 months)",-1.28,5.33,"MICRO_CAP"
"BLACKBUCK",598.65,69.3,39.29,57.9,"Low","Medium-term (3-6 months)",1.58,-2.75,"MICRO_CAP"
"SENCO",385.5,69.3,16.71,64,"Medium","Medium-term (3-6 months)",1.8,2.69,"MICRO_CAP"
"ASIANENE",373.3,68.7,29.87,61.8,"Medium","Medium-term (3-6 months)",-2.25,3.49,"MICRO_CAP"
"BATAINDIA",1245.5,68.7,6.44,65.9,"Medium","Medium-term (3-6 months)",7.15,15.39,"MID_CAP"
"BBTCL",202.1,68.7,28.75,56.6,"Low","Medium-term (3-6 months)",0.04,0.99,"MICRO_CAP"
"CONSUMBEES",137.34,68.7,9.71,69.8,"Medium","Medium-term (3-6 months)",0.4,2.39,"MICRO_CAP"
"DOMS",2692.2,68.7,10.54,69.8,"Medium","Medium-term (3-6 months)",7.55,10.14,"LARGE_CAP"
"EIHAHOTELS",411.45,68.7,13.77,61.2,"Medium","Medium-term (3-6 months)",-0.57,8.89,"MICRO_CAP"
"FLAIR",317,68,24.88,52.7,"Low","Medium-term (3-6 months)",-1.63,2.23,"MICRO_CAP"
"GOKULAGRO",331.95,68,17.26,57.2,"Low","Medium-term (3-6 months)",-2.73,0.18,"MICRO_CAP"
"HDFCGROWTH",123.46,68,7.42,64.7,"Medium","Medium-term (3-6 months)",1.01,1.46,"MICRO_CAP"
"SHOPERSTOP",542.3,68,12.93,56.6,"Low","Medium-term (3-6 months)",0.51,1.71,"MICRO_CAP"
"AXISCETF",127.14,67.3,9.61,69.2,"Medium","Medium-term (3-6 months)",0.54,2.51,"MICRO_CAP"
"CHOICEIN",780.75,67.3,13.19,51.6,"Low","Medium-term (3-6 months)",-0.36,-2.01,"MICRO_CAP"
"CONTROLPR",783.45,67.3,3.41,55.1,"Low","Medium-term (3-6 months)",0.73,1.51,"MICRO_CAP"
"HINDUNILVR",2666.6,67.3,20.62,63.4,"Medium","Medium-term (3-6 months)",0.07,0.46,"LARGE_CAP"
"PARAGMILK",243.46,67.3,16.9,57.2,"Low","Medium-term (3-6 months)",-0.64,5.6,"SMALL_CAP"
"BOROLTD",344.45,66.7,2.09,57.8,"Low","Medium-term (3-6 months)",-0.23,3.88,"MICRO_CAP"
"CREDITACC",1356.8,66.7,19.57,54.4,"Low","Medium-term (3-6 months)",-1.85,1.03,"MICRO_CAP"
"CUPID",179.02,66.7,89.45,73.7,"High","Medium-term (3-6 months)",-0.83,4.09,"SMALL_CAP"
"DATAMATICS",1016.4,66.7,69.97,58.9,"Low","Medium-term (3-6 months)",0.3,3.94,"MICRO_CAP"
"LALPATHLAB",3319.4,66.7,24.06,56.9,"Low","Medium-term (3-6 months)",-0.55,-0.12,"SMALL_CAP"
