INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Auto,60.519999999999996,23,ASHOKLEY,ASHOK LEYLAND LTD,LARGE_CAP,184.88,3.18,NA,15.55,78,83,STRONG_BULLISH,28.43,16,14,25,71.08,74.57,82,59.41,59.17,4832562009.9,BUY,2026-01-01
Nifty Auto,60.519999999999996,92,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,MID_CAP,122.52,2.15,NA,2.73,60,69.2,STRONG_BULLISH,11.03,13,18,0,NA,NA,NA,NA,NA,1594452602.63,HOLD,2026-01-01
Nifty Auto,60.519999999999996,49,BAJAJ-AUTO,BAJAJ AUTO LIMITED,LARGE_CAP,9558,2.3,NA,5.2,57.3,71.4,STRONG_BULLISH,6.29,9,6,15,52.35,51.96,47,56.59,56.67,2910739290,HOLD,2026-01-01
Nifty Auto,60.519999999999996,227,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1464.4,-0.41,NA,3.03,55.3,66.7,BULLISH,16.18,11,6,15,54.83,55.22,53,56.82,54.17,541102195.9,HOLD,2026-01-01
Nifty Auto,60.519999999999996,65,TVSMOTOR,TVS MOTOR COMPANY  LTD,MID_CAP,3794.4,2.01,NA,3.37,52,72.9,STRONG_BULLISH,5.96,7,15,0,NA,NA,NA,NA,NA,2306910579.2,HOLD,2026-01-01
Nifty Bank,55.480000000000004,59,BANKBARODA,BANK OF BARODA,MID_CAP,300.75,1.64,NA,1.3,66,63.3,STRONG_BULLISH,10.11,9,11,15,53.65,55.48,47,57.94,54.17,2541583185.3,BUY,2026-01-01
Nifty Bank,55.480000000000004,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
Nifty Bank,55.480000000000004,52,CANBK,CANARA BANK,MID_CAP,154.24,-0.43,NA,1.45,55.3,64.8,BULLISH,18.68,11,6,15,54.62,54.05,47,56.76,66,2802242497.95,HOLD,2026-01-01
Nifty Bank,55.480000000000004,186,FEDERALBNK,FEDERAL BANK LTD,SMALL_CAP,266.25,-0.32,NA,3.02,50.7,77.4,STRONG_BULLISH,34.58,13,12,0,NA,NA,NA,NA,NA,756710319.95,HOLD,2026-01-01
Nifty Bank,55.480000000000004,57,AXISBANK,AXIS BANK LIMITED,MID_CAP,1274.4,0.39,NA,1.3,48.7,55.1,STRONG_BULLISH,4.08,3,12,15,52.47,51.19,47,54.71,62,2575259212.4,WEAK_HOLD,2026-01-01
Nifty 50,54.94,60,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,381.5,-0.65,NA,6.34,62.7,65,STRONG_BULLISH,7.87,7,6,20,62.6,70,56,58.64,59.17,2508912092.15,HOLD,2026-01-01
Nifty 50,54.94,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
Nifty 50,54.94,155,ASIANPAINT,ASIAN PAINTS LIMITED,SMALL_CAP,2752,-0.63,NA,-6.85,53.3,43.2,BULLISH,12.89,8,4,20,62.21,68.26,60,57.05,56.67,907249993,HOLD,2026-01-01
Nifty 50,54.94,26,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2110.4,0.23,NA,0.3,52.7,54.8,BULLISH,7.44,6,12,15,52.75,50.65,51,54.32,59.17,4436371604.4,HOLD,2026-01-01
Nifty 50,54.94,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4140.4,1.39,NA,2.73,49.3,68,BULLISH,7.08,7,9,0,NA,NA,NA,NA,NA,5622734970.8,WEAK_HOLD,2026-01-01
