SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Banking - PSU,57.22,7,94,BANKBARODA,BANK OF BARODA,MID_CAP,284.15,-1.42,-0.91,5.16,65.3,56,STRONG_BULLISH,17.09,13,12,15,53.65,55.48,47,57.94,54.17,2019847434.2,BUY,2025-11-21
Banking - PSU,57.22,7,55,CANBK,CANARA BANK,MID_CAP,145.77,-1.47,-0.21,14.67,62.7,68.1,STRONG_BULLISH,31.85,15,10,15,54.62,54.05,47,56.76,66,3258222654.13,HOLD,2025-11-21
Banking - PSU,57.22,7,133,INDIANB,INDIAN BANK,MID_CAP,851.8,-3.46,-1.92,4.73,54.7,53.8,STRONG_BULLISH,24.02,11,10,0,NA,NA,NA,NA,NA,1512001719.25,HOLD,2025-11-21
Banking - PSU,57.22,7,130,PNB,PUNJAB NATIONAL BANK,MID_CAP,122.37,-1.2,0.13,3.99,52.7,56.2,STRONG_BULLISH,13.74,9,12,0,NA,NA,NA,NA,NA,1523609512.41,HOLD,2025-11-21
Banking - PSU,57.22,7,23,SBIN,STATE BANK OF INDIA,LARGE_CAP,972.6,-0.91,0.49,7.13,50.7,70.3,STRONG_BULLISH,16.37,13,12,0,NA,NA,NA,NA,NA,5243409986.15,HOLD,2025-11-21
Auto & Auto Ancillaries,55.86,13,184,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1410.2,-1.76,0.97,13.41,61.3,65,STRONG_BULLISH,19.85,13,10,15,54.83,55.22,53,56.82,54.17,1127932640.7,HOLD,2025-11-21
Auto & Auto Ancillaries,55.86,13,65,M&MFIN,M&M FIN. SERVICES LTD,MID_CAP,342.55,-1.17,10.98,14.09,61.3,74.4,STRONG_BULLISH,22.99,20,6,0,NA,NA,NA,NA,NA,2847262471.45,HOLD,2025-11-21
Auto & Auto Ancillaries,55.86,13,141,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,144.69,-1.06,-2.41,6.2,56.7,54.2,BULLISH,6.43,7,12,25,71.08,74.57,82,59.41,59.17,1447511917.03,HOLD,2025-11-21
Auto & Auto Ancillaries,55.86,13,15,MARUTI,MARUTI SUZUKI INDIA LTD.,LARGE_CAP,15977,1.11,1.87,-2.56,51.3,54.9,BEARISH,3.05,5,17,0,NA,NA,NA,NA,NA,9374265295,HOLD,2025-11-21
Auto & Auto Ancillaries,55.86,13,13,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3749.6,0.89,1.38,3.55,48.7,62.7,STRONG_BULLISH,1.08,4,15,0,NA,NA,NA,NA,NA,11967179242.9,WEAK_HOLD,2025-11-21
Defence & Aerospace,54,15,184,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1410.2,-1.76,0.97,13.41,61.3,65,STRONG_BULLISH,19.85,13,10,15,54.83,55.22,53,56.82,54.17,1127932640.7,HOLD,2025-11-21
Defence & Aerospace,54,15,215,BELRISE,BELRISE INDUSTRIES LTD,SMALL_CAP,161.24,-1.69,-1.87,6.72,58.7,59.5,STRONG_BULLISH,13.81,9,10,15,53.29,50.22,51,57.27,60,813408369.09,HOLD,2025-11-21
Defence & Aerospace,54,15,52,BEL,BHARAT ELECTRONICS LTD,MID_CAP,416.35,-1.57,-2.46,-0.32,54,49.7,STRONG_BULLISH,8.07,6,12,15,54.37,52.39,47,56.59,69,3511736160.15,HOLD,2025-11-21
