SYMBOL,INDEX_TAGS,LAST_DATE,CLOSE,PEAK_52_ROLL,DD_VS_PEAK_PCT,PCT_OF_52W_RANGE,ABOVE_SMA50,RS_PULLBACK_60D_BPS,RECOVERY_FROM_TROUGH_PCT,RECOVERY_VELOCITY,VOL_RATIO_10_50,SLOW_PULLBACK_SCORE,MAX_1D_DROP_60D_PCT,ENHANCED_FUND_SCORE,SALES_GROWTH,EARNINGS_QUALITY,RS_Z,REC_Z,VOL_Z,SLOW_Z,PEAK_Z,COMPOSITE,TECHNICAL_SCORE,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,TREND_SIGNAL,RELATIVE_STRENGTH,ANALYSIS_DATE,pnl_summary,quarterly_summary,balance_sheet_summary,ratios_summary,SCREENER_DATA_COMPLETE,SCREENER_FETCH_AT,INDEX_NARRATIVE,APEX_GUIDANCE
STLTECH,NIFTY MICROCAP 250,2026-04-28,285.13,293.75,-2.93,97.07,44.2,176.9124,185.36,3.195833,0.6413,199.5846,-29.41,,,,7.935967798039934,3.491124811715476,-0.4390684811304958,3.07550177439824,1.2213076941942216,3.0569667194434755,54.7,HOLD,15.0,11.0,STRONG_BULLISH,85.22,2026-04-28,Sales: 4363 Cr (YoY +9.2%); NetProfit: -43 Cr (YoY +65%); EPS: -0.89,"Sales last 3Q: 1020, 1034, 1257 Cr; Net Profit last 3Q: 10, 4, -17 Cr",Debt: 1921 Cr,ROCE: 0%; EPS: -0.89; NPM: -0.99%,True,2026-04-29T05:24:31Z,STLTECH vs NIFTY MICROCAP250: stock 60-session return 230.62% vs index 12.10% (+218.52 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,HOLD
TRITURBINE,NIFTY 500,2026-04-28,581.65,675.2,-13.86,86.14,19.72,22.5735,33.64,1.528902,17.3519,48.5225,-9.74,,,,0.3221905427979929,0.7887736075785687,7.664918944137673,0.41776974223369384,0.029681767454232715,1.8446669208404323,46.0,WEAK_HOLD,13.0,9.0,BULLISH,20.64,2026-04-28,Sales: 2040 Cr (YoY +1.7%); NetProfit: 342 Cr (YoY -4.7%); EPS: 10.75,"Sales last 3Q: 371, 506, 624 Cr; Net Profit last 3Q: 64, 91, 92 Cr",Debt: 38 Cr,ROCE: 48%; EPS: 10.75; NPM: 16.76%,True,2026-04-29T05:24:31Z,TRITURBINE vs Nifty 500: stock 60-session return 23.95% vs index -0.24% (+24.19 percentage points excess). Index membership tag: NIFTY 500.,WEAK_HOLD
KIRLPNU,NIFTY MICROCAP 250,2026-04-28,1525.2,1562.3,-2.37,97.63,30.87,36.788,46.65,2.59188,5.9962,99.0216,-13.61,,,,1.0234138688333383,2.512024226992955,2.1578485813070296,1.306232670165191,1.2823608066346965,1.6563760307866418,58.7,HOLD,20.0,6.0,STRONG_BULLISH,32.86,2026-04-28,Sales: 1787 Cr (YoY +9%); NetProfit: 254 Cr (YoY +20.4%); EPS: 39.43,"Sales last 3Q: 386, 407, 712 Cr; Net Profit last 3Q: 44, 42, 144 Cr",Debt: 3 Cr,ROCE: 30%; EPS: 39.43; NPM: 14.21%,True,2026-04-29T05:24:31Z,KIRLPNU vs NIFTY MICROCAP250: stock 60-session return 38.34% vs index 12.10% (+26.24 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,HOLD
LUXIND,NIFTY MICROCAP 250,2026-04-28,1510.1,1823.35,-17.18,82.82,39.86,70.6459,82.84,4.602387,1.3796,32.6305,-10.48,,,,2.693676575968455,5.771364902987151,-0.08102185706699791,0.13817163354091802,-0.33227597058572733,1.6379830569687595,49.3,WEAK_HOLD,15.0,6.0,STRONG_BULLISH,52.88,2026-04-28,Sales: 2873 Cr (YoY +11.2%); NetProfit: 107 Cr (YoY -35.2%); EPS: 35.92,"Sales last 3Q: 604, 779, 673 Cr; Net Profit last 3Q: 23, 23, 13 Cr",Debt: 575 Cr,ROCE: 13%; EPS: 35.92; NPM: 3.72%,True,2026-04-29T05:24:31Z,LUXIND vs NIFTY MICROCAP250: stock 60-session return 71.15% vs index 12.10% (+59.05 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,WEAK_HOLD
ARE&M,NIFTY 500,2026-04-28,897.85,1094.0,-17.93,82.07,12.6,8.0486,33.52,1.862179,15.7283,44.6267,-9.54,54.31,51.0,51.3,-0.39434529654428346,1.3290668184320091,6.877536445384463,0.3492284439801502,-0.4140435318899352,1.5494885758724808,44.7,WEAK_HOLD,6.0,7.0,BEARISH,3.11,2026-04-28,Sales: 13338 Cr (YoY +3.8%); NetProfit: 743 Cr (YoY -21.4%); EPS: 40.6,"Sales last 3Q: 3401, 3467, 3410 Cr; Net Profit last 3Q: 165, 276, 140 Cr",Debt: 310 Cr,ROCE: 17%; EPS: 40.6; NPM: 5.57%,True,2026-04-29T05:24:31Z,ARE&M vs Nifty 500: stock 60-session return 8.43% vs index -0.24% (+8.66 percentage points excess). Index membership tag: NIFTY 500.,WEAK_HOLD
AZAD,NIFTY MICROCAP 250,2026-04-28,2201.0,2255.0,-2.39,97.61,31.07,48.1143,61.07,2.775837,3.7483,75.6185,-8.86,55.24,51.0,52.39,1.582157810419334,2.81024678117151,1.0677049997922836,0.8944869806643163,1.280180338333251,1.526955382076139,58.0,HOLD,15.0,6.0,STRONG_BULLISH,42.3,2026-04-28,Sales: 568 Cr (YoY +24.3%); NetProfit: 122 Cr (YoY +40.2%); EPS: 18.92,"Sales last 3Q: 137, 146, 159 Cr; Net Profit last 3Q: 29, 33, 35 Cr",Debt: 312 Cr,ROCE: 12%; EPS: 18.92; NPM: 21.48%,True,2026-04-29T05:24:31Z,AZAD vs NIFTY MICROCAP250: stock 60-session return 52.47% vs index 12.10% (+40.36 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,HOLD
MTARTECH,"NIFTY INDIA DEFENCE,NIFTY MICROCAP 250",2026-04-28,5292.1,5490.0,-3.6,96.4,33.6,97.2588,95.89,1.625214,1.3536,95.4576,-11.44,,,,4.006532198990443,0.9449101538260342,-0.09363084017095424,1.2435289412839268,1.148262006095796,1.449920492005049,48.0,WEAK_HOLD,15.0,6.0,STRONG_BULLISH,49.65,2026-04-28,Sales: 753 Cr (YoY +11.4%); NetProfit: 63 Cr (YoY +18.9%); EPS: 20.63,"Sales last 3Q: 157, 136, 278 Cr; Net Profit last 3Q: 11, 4, 35 Cr",Debt: 186 Cr,ROCE: 11%; EPS: 20.63; NPM: 8.37%,True,2026-04-29T05:24:31Z,MTARTECH vs Nifty 500: stock 60-session return 109.27% vs index -0.24% (+109.51 percentage points excess). Index membership tag: NIFTY INDIA DEFENCE. NIFTY INDIA DEFENCE series not found in data/nse_index_data.csv; using Nifty 500 as liquid broad benchmark for excess return. MTARTECH vs NIFTY MICROCAP250: stock 60-session return 109.27% vs index 12.10% (+97.17 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,WEAK_HOLD
KRN,NIFTY MICROCAP 250,2026-04-28,1309.35,1405.0,-6.81,93.19,36.61,113.1373,114.72,1.977896,0.883,51.2957,-8.9,,,,4.789843225227893,1.5166618504334002,-0.32185343435256347,0.4665604215079705,0.7982968437137864,1.4499017813060973,55.3,HOLD,16.0,6.0,STRONG_BULLISH,81.34,2026-04-28,Sales: 552 Cr (YoY +28.4%); NetProfit: 68 Cr (YoY +28.3%); EPS: 10.94,"Sales last 3Q: 115, 152, 153 Cr; Net Profit last 3Q: 12, 18, 23 Cr",Debt: 30 Cr,ROCE: 21%; EPS: 10.94; NPM: 12.32%,True,2026-04-29T05:24:31Z,KRN vs NIFTY MICROCAP250: stock 60-session return 118.30% vs index 12.10% (+106.19 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,HOLD
POWERINDIA,NIFTY 500,2026-04-28,32805.0,32940.0,-0.41,99.59,26.49,86.8884,85.52,1.449443,0.9412,124.8699,-11.98,,,,3.4949442866251155,0.6599583630786379,-0.29362871063524587,1.7609983253957142,1.4960467001763598,1.4236637929281162,50.7,HOLD,15.0,9.0,STRONG_BULLISH,50.24,2026-04-28,Sales: 7277 Cr (YoY +14%); NetProfit: 841 Cr (YoY +119%); EPS: 188.74,"Sales last 3Q: 1479, 1833, 2082 Cr; Net Profit last 3Q: 132, 264, 261 Cr",Debt: 84 Cr,ROCE: 19%; EPS: 188.74; NPM: 11.56%,True,2026-04-29T05:24:31Z,POWERINDIA vs Nifty 500: stock 60-session return 96.33% vs index -0.24% (+96.57 percentage points excess). Index membership tag: NIFTY 500.,HOLD
BBL,NIFTY MICROCAP 250,2026-04-28,3182.5,3475.0,-8.42,91.58,28.67,27.2065,53.83,2.990317,2.6979,128.0866,-51.12,50.99,47.0,49.57,0.5507436167381072,3.1579518069123975,0.5583020823924486,1.817591783502438,0.6227691454474201,1.3414716869985623,,,,,,,,Sales: 2126 Cr (YoY +11.8%); NetProfit: 131 Cr (YoY -2.2%); EPS: 115.99,"Sales last 3Q: 465, 473, 568 Cr; Net Profit last 3Q: 28, 28, 25 Cr",Debt: 191 Cr,ROCE: 10%; EPS: 115.99; NPM: 6.16%,True,2026-04-29T05:24:31Z,BBL vs NIFTY MICROCAP250: stock 60-session return 29.15% vs index 12.10% (+17.05 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,REVIEW_NO_TECH
