pnl_summary,quarterly_summary,balance_sheet_summary,ratios_summary,SYMBOL
Sales: 4363 Cr (YoY +9.2%); NetProfit: -43 Cr (YoY +65%); EPS: -0.89,"Sales last 3Q: 1020, 1034, 1257 Cr; Net Profit last 3Q: 10, 4, -17 Cr",Debt: 1921 Cr,ROCE: 0%; EPS: -0.89; NPM: -0.99%,STLTECH
Sales: 2040 Cr (YoY +1.7%); NetProfit: 342 Cr (YoY -4.7%); EPS: 10.75,"Sales last 3Q: 371, 506, 624 Cr; Net Profit last 3Q: 64, 91, 92 Cr",Debt: 38 Cr,ROCE: 48%; EPS: 10.75; NPM: 16.76%,TRITURBINE
Sales: 1787 Cr (YoY +9%); NetProfit: 254 Cr (YoY +20.4%); EPS: 39.43,"Sales last 3Q: 386, 407, 712 Cr; Net Profit last 3Q: 44, 42, 144 Cr",Debt: 3 Cr,ROCE: 30%; EPS: 39.43; NPM: 14.21%,KIRLPNU
Sales: 2873 Cr (YoY +11.2%); NetProfit: 107 Cr (YoY -35.2%); EPS: 35.92,"Sales last 3Q: 604, 779, 673 Cr; Net Profit last 3Q: 23, 23, 13 Cr",Debt: 575 Cr,ROCE: 13%; EPS: 35.92; NPM: 3.72%,LUXIND
Sales: 13338 Cr (YoY +3.8%); NetProfit: 743 Cr (YoY -21.4%); EPS: 40.6,"Sales last 3Q: 3401, 3467, 3410 Cr; Net Profit last 3Q: 165, 276, 140 Cr",Debt: 310 Cr,ROCE: 17%; EPS: 40.6; NPM: 5.57%,ARE&M
Sales: 568 Cr (YoY +24.3%); NetProfit: 122 Cr (YoY +40.2%); EPS: 18.92,"Sales last 3Q: 137, 146, 159 Cr; Net Profit last 3Q: 29, 33, 35 Cr",Debt: 312 Cr,ROCE: 12%; EPS: 18.92; NPM: 21.48%,AZAD
Sales: 753 Cr (YoY +11.4%); NetProfit: 63 Cr (YoY +18.9%); EPS: 20.63,"Sales last 3Q: 157, 136, 278 Cr; Net Profit last 3Q: 11, 4, 35 Cr",Debt: 186 Cr,ROCE: 11%; EPS: 20.63; NPM: 8.37%,MTARTECH
Sales: 552 Cr (YoY +28.4%); NetProfit: 68 Cr (YoY +28.3%); EPS: 10.94,"Sales last 3Q: 115, 152, 153 Cr; Net Profit last 3Q: 12, 18, 23 Cr",Debt: 30 Cr,ROCE: 21%; EPS: 10.94; NPM: 12.32%,KRN
Sales: 7277 Cr (YoY +14%); NetProfit: 841 Cr (YoY +119%); EPS: 188.74,"Sales last 3Q: 1479, 1833, 2082 Cr; Net Profit last 3Q: 132, 264, 261 Cr",Debt: 84 Cr,ROCE: 19%; EPS: 188.74; NPM: 11.56%,POWERINDIA
Sales: 2126 Cr (YoY +11.8%); NetProfit: 131 Cr (YoY -2.2%); EPS: 115.99,"Sales last 3Q: 465, 473, 568 Cr; Net Profit last 3Q: 28, 28, 25 Cr",Debt: 191 Cr,ROCE: 10%; EPS: 115.99; NPM: 6.16%,BBL
Sales: 12928 Cr (YoY +15.3%); NetProfit: 1987 Cr (YoY -0.7%); EPS: 10.03,"Sales last 3Q: 3008, 2618, 3502 Cr; Net Profit last 3Q: 644, 5, 514 Cr",Debt: 103545 Cr,ROCE: 6%; EPS: 10.03; NPM: 15.37%,ADANIGREEN
Sales: 1615 Cr (YoY +26.3%); NetProfit: 220 Cr (YoY +25.7%); EPS: 14.06,"Sales last 3Q: 372, 452, 443 Cr; Net Profit last 3Q: 50, 60, 56 Cr",Debt: 36 Cr,ROCE: 28%; EPS: 14.06; NPM: 13.62%,TDPOWERSYS
Sales: 376 Cr (YoY +20.9%); NetProfit: 217 Cr (YoY +29.9%); EPS: 16.96,"Sales last 3Q: 89, 94, 104 Cr; Net Profit last 3Q: 53, 59, 59 Cr",Debt: 5 Cr,ROCE: 122%; EPS: 16.96; NPM: 57.71%,TIPSMUSIC
Sales: 818 Cr (YoY +5.1%); NetProfit: 20 Cr (YoY -42.9%); EPS: 7.48,"Sales last 3Q: 187, 209, 220 Cr; Net Profit last 3Q: 10, 3, 4 Cr",Debt: 1132 Cr,ROCE: 11%; EPS: 7.48; NPM: 2.44%,NEOGEN
Sales: 16383 Cr (YoY +17.2%); NetProfit: 1948 Cr (YoY +2.4%); EPS: 73.77,"Sales last 3Q: 3551, 4374, 4532 Cr; Net Profit last 3Q: 349, 444, 456 Cr",Debt: 1545 Cr,ROCE: 18%; EPS: 73.77; NPM: 11.89%,WELCORP
Sales: 4286 Cr (YoY -0.2%); NetProfit: 479 Cr (YoY +19.5%); EPS: 19.87,"Sales last 3Q: 1128, 1013, 1074 Cr; Net Profit last 3Q: 174, 89, 100 Cr",Debt: 657 Cr,ROCE: 19%; EPS: 19.87; NPM: 11.18%,GALLANTT
Sales: 4166 Cr (YoY +4.6%); NetProfit: 1205 Cr (YoY -16%); EPS: 31.58,"Sales last 3Q: 1193, 964, 991 Cr; Net Profit last 3Q: 399, 178, 326 Cr",Debt: 1596 Cr,ROCE: 14%; EPS: 31.58; NPM: 28.92%,NAVA
Sales: 4661 Cr (YoY +1%); NetProfit: 755 Cr (YoY +36%); EPS: 14.89,"Sales last 3Q: 1071, 1184, 1288 Cr; Net Profit last 3Q: 176, 192, 208 Cr",Debt: 768 Cr,ROCE: 23%; EPS: 14.89; NPM: 16.2%,HSCL
Sales: 2161 Cr (YoY +11.7%); NetProfit: 354 Cr (YoY +8.9%); EPS: 350.21,"Sales last 3Q: 424, 483, 630 Cr; Net Profit last 3Q: 80, 79, 99 Cr",Debt: 1 Cr,ROCE: 29%; EPS: 350.21; NPM: 16.38%,VOLTAMP
Sales: 30465 Cr (YoY +7.5%); NetProfit: 814 Cr (YoY +52.4%); EPS: 2.34,"Sales last 3Q: 5487, 7512, 8473 Cr; Net Profit last 3Q: -456, 375, 390 Cr",Debt: 10969 Cr,ROCE: 5%; EPS: 2.34; NPM: 2.67%,BHEL
Sales: 9880 Cr (YoY +1%); NetProfit: 802 Cr (YoY -9.6%); EPS: 27.59,"Sales last 3Q: 2386, 2480, 2505 Cr; Net Profit last 3Q: 208, 188, 168 Cr",Debt: 1479 Cr,ROCE: 11%; EPS: 27.59; NPM: 8.12%,VTL
Sales: 976 Cr (YoY +37.9%); NetProfit: 247 Cr (YoY +11.3%); EPS: 44.13,"Sales last 3Q: 99, 307, 173 Cr; Net Profit last 3Q: 26, 49, 58 Cr",Debt: 6 Cr,ROCE: 21%; EPS: 44.13; NPM: 25.31%,DATAPATTNS
Sales: 3926 Cr (YoY -3.4%); NetProfit: 62 Cr (YoY -64.2%); EPS: 0.33,"Sales last 3Q: 871, 1043, 1211 Cr; Net Profit last 3Q: -29, 72, 102 Cr",Debt: 1580 Cr,ROCE: 8%; EPS: 0.33; NPM: 1.58%,HFCL
Sales: 20547 Cr (YoY -15.9%); NetProfit: 11460 Cr (YoY +24.9%); EPS: 159.25,"Sales last 3Q: 5908, 6235, 4297 Cr; Net Profit last 3Q: 305, 2575, 317 Cr",Debt: 5737 Cr,ROCE: -1%; EPS: 159.25; NPM: 55.77%,RELINFRA
Sales: 7672 Cr (YoY +12%); NetProfit: 2639 Cr (YoY +10.9%); EPS: 303.25,"Sales last 3Q: 1789, 1966, 2065 Cr; Net Profit last 3Q: 546, 610, 842 Cr",Debt: 32 Cr,ROCE: 49%; EPS: 303.25; NPM: 34.4%,OFSS
Sales: 27588 Cr (YoY +16.1%); NetProfit: 2393 Cr (YoY +159.5%); EPS: 19,"Sales last 3Q: 6596, 6730, 7443 Cr; Net Profit last 3Q: 557, 574, 723 Cr",Debt: 49176 Cr,ROCE: 5%; EPS: 19; NPM: 8.67%,ADANIENSOL
Sales: 10470 Cr (YoY +4.7%); NetProfit: 95 Cr (YoY +1050%); EPS: 2.08,"Sales last 3Q: 2592, 2663, 2716 Cr; Net Profit last 3Q: 71, 16, 11 Cr",Debt: 2221 Cr,ROCE: 4%; EPS: 2.08; NPM: 0.91%,TVSSCS
Sales: 7334 Cr (YoY +15.5%); NetProfit: 534 Cr (YoY +12.2%); EPS: 37.64,"Sales last 3Q: 1764, 1948, 1873 Cr; Net Profit last 3Q: 139, 159, 109 Cr",Debt: 5526 Cr,ROCE: 18%; EPS: 37.64; NPM: 7.28%,KIRLOSENG
Sales: 5981 Cr (YoY +6.6%); NetProfit: 675 Cr (YoY +21.2%); EPS: 46.44,"Sales last 3Q: 1606, 1609, 1384 Cr; Net Profit last 3Q: 186, 169, 163 Cr",Debt: 15 Cr,ROCE: 29%; EPS: 46.44; NPM: 11.29%,AVANTIFEED
Sales: 1962 Cr (YoY +39.6%); NetProfit: 482 Cr (YoY +92%); EPS: 7.98,"Sales last 3Q: 511, 468, 497 Cr; Net Profit last 3Q: 131, 115, 114 Cr",Debt: 12998 Cr,ROCE: 8%; EPS: 7.98; NPM: 24.57%,ACMESOLAR
Sales: 16283 Cr (YoY +6.3%); NetProfit: 2756 Cr (YoY +1.5%); EPS: 18.83,"Sales last 3Q: 3826, 4178, 4443 Cr; Net Profit last 3Q: 839, 725, 724 Cr",Debt: 24368 Cr,ROCE: 9%; EPS: 18.83; NPM: 16.93%,NLCINDIA
Sales: 7215 Cr (YoY +10.7%); NetProfit: 1331 Cr (YoY +42%); EPS: 29.44,"Sales last 3Q: 1821, 1837, 1936 Cr; Net Profit last 3Q: 308, 353, 392 Cr",Debt: 1622 Cr,ROCE: 12%; EPS: 29.44; NPM: 18.45%,PREMIERENE
Sales: 29017 Cr (YoY -0.5%); NetProfit: 3215 Cr (YoY +5.1%); EPS: 62.67,"Sales last 3Q: 7906, 7876, 6778 Cr; Net Profit last 3Q: 742, 742, 655 Cr",Debt: 10431 Cr,ROCE: 17%; EPS: 62.67; NPM: 11.08%,TORNTPOWER
Sales: 1124 Cr (YoY +31.8%); NetProfit: 202 Cr (YoY +34.7%); EPS: 13.92,"Sales last 3Q: 252, 344, 339 Cr; Net Profit last 3Q: 49, 57, 63 Cr",Debt: 774 Cr,ROCE: 1%; EPS: 13.92; NPM: 17.97%,SUNTECK
Sales: 21509 Cr (YoY +15.8%); NetProfit: 974 Cr (YoY +18.6%); EPS: 242.35,"Sales last 3Q: 5104, 5715, 5480 Cr; Net Profit last 3Q: 263, 252, 209 Cr",Debt: 704 Cr,ROCE: 33%; EPS: 242.35; NPM: 4.53%,APARINDS
Sales: 8976 Cr (YoY +17.8%); NetProfit: 453 Cr (YoY +45.2%); EPS: 40.1,"Sales last 3Q: 2059, 2164, 2536 Cr; Net Profit last 3Q: 90, 116, 118 Cr",Debt: 393 Cr,ROCE: 20%; EPS: 40.1; NPM: 5.05%,RRKABEL
Sales: 4485 Cr (YoY +8.1%); NetProfit: -67 Cr (YoY +53.5%); EPS: -2.17,"Sales last 3Q: 1117, 1114, 1229 Cr; Net Profit last 3Q: 9, -3, 60 Cr",Debt: 1305 Cr,ROCE: 2%; EPS: -2.17; NPM: -1.49%,INDIACEM
Sales: 4726 Cr (YoY +3.5%); NetProfit: 531 Cr (YoY -85.2%); EPS: 55.48,"Sales last 3Q: 1120, 1221, 1195 Cr; Net Profit last 3Q: 106, 132, 208 Cr",Debt: 1844 Cr,ROCE: 5%; EPS: 55.48; NPM: 11.24%,STAR
Sales: 7723 Cr (YoY +5.6%); NetProfit: 167 Cr (YoY +271.1%); EPS: 3.89,"Sales last 3Q: 1922, 1855, 1844 Cr; Net Profit last 3Q: -6, 2, 50 Cr",Debt: 1694 Cr,ROCE: 3%; EPS: 3.89; NPM: 2.16%,PRSMJOHNSN
