"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
525,"DECCANCE","DECCAN CEMENTS LIMITED","MICRO_CAP",1074.6,0,-0.27,6.13,81.3,58.5,"STRONG_BULLISH",48.71,14,14,25,70.52,74.35,86,55.91,54,163942045,"STRONG_BUY",2025-09-01
86,"ANANDRATHI","ANAND RATHI WEALTH LTD","MID_CAP",2920.3,0,4.16,12.27,80.7,72.6,"STRONG_BULLISH",46.17,20,20,15,50.33,50.65,47,56.59,46.67,1424851870.2,"STRONG_BUY",2025-09-01
317,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",238.42,0,4.3,6.12,80,63.2,"STRONG_BULLISH",42.63,18,13,20,61.4,60.24,65,60.25,60,369557165.45,"STRONG_BUY",2025-09-01
266,"ASAHIINDIA","ASAHI INDIA GLASS LIMITED","SMALL_CAP",858.95,0,-2.88,5.42,78,53.8,"STRONG_BULLISH",19.9,14,20,15,52.31,50.43,51,56.45,54,483407892.5,"BUY",2025-09-01
1087,"BTML","BODHI TREE MULTIMEDIA LTD","MICRO_CAP",9.06,0,9.03,14.54,78,67,"BEARISH",10.17,16,14,25,72.5,75.43,94,58.86,47,24338368.93,"BUY",2025-09-01
234,"BLUESTARCO","BLUE STAR LIMITED","SMALL_CAP",1948.3,0,2.31,14.81,76,65.1,"STRONG_BULLISH",25.98,15,20,25,72.84,74.35,86,58.5,66,569095744.9,"BUY",2025-09-01
566,"CENTUM","CENTUM ELECTRONICS LTD","MICRO_CAP",2816.7,0,0.87,33.93,76,67.6,"STRONG_BULLISH",25.66,16,14,20,64.92,71.74,60,61.14,60,145336954.8,"BUY",2025-09-01
1481,"BVCL","BARAK VALLEY CEM. LTD.","MICRO_CAP",43.57,0,2.13,6.74,76,53.7,"BULLISH",21.85,12,16,20,69.53,73.91,86,61.36,41.25,5842412.85,"BUY",2025-09-01
198,"CREDITACC","CREDITACCESS GRAMEEN LTD","SMALL_CAP",1403.2,0,1.11,12.59,74.7,64.8,"STRONG_BULLISH",28.9,18,10,15,53.16,50.22,47,57.11,66,698445706.5,"BUY",2025-09-01
6,"ATHERENERG","ATHER ENERGY LIMITED","LARGE_CAP",486.8,0,16.54,40.17,74,78.7,"BULLISH",56.09,20,12,20,63.36,53.7,85,53.64,66,10115783632.5,"BUY",2025-09-01
