INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Infrastructure,61.86,ABB,ABB,LARGE_CAP,7188,0.08,-1.05,14.66,65.3,60.1,26.03,18,11,NA,STRONG_BULLISH,BUY
Nifty Infrastructure,61.86,BHEL,BHEL,SMALL_CAP,406.45,5.31,17.98,60.28,65.3,89.8,60.5,21,14,NA,STRONG_BULLISH,BUY
Nifty Infrastructure,61.86,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Nifty Infrastructure,61.86,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,57.3,52.8,6.86,12,12,NA,STRONG_BULLISH,HOLD
Nifty Infrastructure,61.86,SIEMENS,SIEMENS,LARGE_CAP,3871.5,0.77,2.51,25.88,56.7,76.2,24.96,20,8,NA,STRONG_BULLISH,HOLD
Nifty 50,61.08,COALINDIA,COALINDIA,SMALL_CAP,466.65,-0.75,-2.76,0.79,66.7,74,12.49,17,12,NA,STRONG_BULLISH,BUY
Nifty 50,61.08,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Nifty 50,61.08,HINDALCO,Hindalco Industries Limited,LARGE_CAP,1055.7,0.95,-1.08,10.6,60.7,55.1,16.93,18,8,NA,STRONG_BULLISH,HOLD
Nifty 50,61.08,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,57.3,52.8,6.86,12,12,NA,STRONG_BULLISH,HOLD
Nifty 50,61.08,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,56,68.9,4.84,9,13,NA,STRONG_BULLISH,HOLD
Nifty Metal,60.28,COALINDIA,COALINDIA,SMALL_CAP,466.65,-0.75,-2.76,0.79,66.7,74,12.49,17,12,NA,STRONG_BULLISH,BUY
Nifty Metal,60.28,HINDCOPPER,Hindustan Copper Limited,MID_CAP,568.6,3.29,2.4,12.73,62,51.9,1.24,14,14,NA,STRONG_BULLISH,HOLD
Nifty Metal,60.28,HINDALCO,Hindalco Industries Limited,LARGE_CAP,1055.7,0.95,-1.08,10.6,60.7,55.1,16.93,18,8,NA,STRONG_BULLISH,HOLD
Nifty Metal,60.28,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,56,68.9,4.84,9,13,NA,STRONG_BULLISH,HOLD
Nifty Metal,60.28,SAIL,Steel Authority of India Limited,MICRO_CAP,187.28,0.67,0.6,16.6,56,85,20.56,20,11,NA,STRONG_BULLISH,HOLD
Nifty Midcap 50,58.8,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Nifty Midcap 50,58.8,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
Nifty Midcap 50,58.8,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,57.3,52.8,6.86,12,12,NA,STRONG_BULLISH,HOLD
Nifty Midcap 50,58.8,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,56,80.2,14.86,18,8,NA,STRONG_BULLISH,HOLD
Nifty Midcap 50,58.8,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
Nifty Auto,58.28,BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,76,68.6,13.71,23,16,NA,STRONG_BULLISH,BUY
Nifty Auto,58.28,BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,10605,2.77,11.12,17.19,66.7,70.6,9.36,19,12,NA,STRONG_BULLISH,BUY
Nifty Auto,58.28,MOTHERSON,MOTHERSON,MICRO_CAP,130.43,2.37,5.83,20.28,60,59.8,0.78,14,14,NA,STRONG_BULLISH,HOLD
Nifty Auto,58.28,TVSMOTOR,TVS Motor Company Limited,LARGE_CAP,3706.7,2.45,4.3,6.8,44.7,46.7,-2.86,7,15,NA,BULLISH,WEAK_HOLD
Nifty Auto,58.28,HEROMOTOCO,Hero MotoCorp Limited,LARGE_CAP,5343,3.35,4.47,5.78,44,60,-0.96,9,10,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Pharma,57.74,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
Nifty Pharma,57.74,LUPIN,Lupin Limited,LARGE_CAP,2460.1,0.7,6.43,7.04,62,69.9,10.74,17,6,NA,STRONG_BULLISH,HOLD
Nifty Pharma,57.74,GLENMARK,GLENMARK,LARGE_CAP,2371.6,-0.25,-1.75,12.18,56.7,66.8,17.96,16,10,NA,STRONG_BULLISH,HOLD
Nifty Pharma,57.74,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
Nifty Pharma,57.74,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7837,0.99,1.66,6.97,54,63.8,3.58,10,12,NA,STRONG_BULLISH,HOLD
Nifty Next 50,56.94,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Nifty Next 50,56.94,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,57.3,52.8,6.86,12,12,NA,STRONG_BULLISH,HOLD
Nifty Next 50,56.94,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,56,80.2,14.86,18,8,NA,STRONG_BULLISH,HOLD
