INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty Metal,70.68,2026-05-15,NATIONALUM,National Aluminium Company Limited,NA,SMALL_CAP,403.6,-3.09,0.41,-6.73,74,35.8,16.56,STRONG_BULLISH,BUY,13,12,NA,72.1,NA,NA,NA,NA,NA,25,63.4,Leadership
Nifty Metal,70.68,2026-05-15,COALINDIA,COALINDIA,NA,SMALL_CAP,462.2,1.79,1.27,6.81,73.3,53.7,10.07,STRONG_BULLISH,BUY,14,12,NA,71.16,NA,NA,NA,NA,NA,27,63.4,Leadership
Nifty Metal,70.68,2026-05-15,WELCORP,Welspun Corp Limited,NA,LARGE_CAP,1309,-4.28,1.32,21.53,70.7,66.4,61.36,STRONG_BULLISH,BUY,20,6,NA,49.35,NA,NA,NA,NA,NA,38,63.4,Leadership
Nifty Metal,70.68,2026-05-15,HINDALCO,Hindalco Industries Limited,NA,LARGE_CAP,1067.5,-3.24,2.21,2.65,70.7,53.9,18.19,STRONG_BULLISH,BUY,15,6,NA,52.87,NA,NA,NA,NA,NA,38,63.4,Leadership
Nifty Metal,70.68,2026-05-15,SAIL,Steel Authority of India Limited,NA,MICRO_CAP,192.4,-3.36,4.07,12.3,64.7,61.7,18.85,STRONG_BULLISH,HOLD,18,4,NA,50.86,NA,NA,NA,NA,NA,107,63.4,Leadership
Nifty 50,68.66,2026-05-15,COALINDIA,COALINDIA,NA,SMALL_CAP,462.2,1.79,1.27,6.81,73.3,53.7,10.07,STRONG_BULLISH,BUY,14,12,NA,71.16,NA,NA,NA,NA,NA,27,50.4,Improving
Nifty 50,68.66,2026-05-15,HINDALCO,Hindalco Industries Limited,NA,LARGE_CAP,1067.5,-3.24,2.21,2.65,70.7,53.9,18.19,STRONG_BULLISH,BUY,15,6,NA,52.87,NA,NA,NA,NA,NA,38,50.4,Improving
Nifty 50,68.66,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,50.4,Improving
Nifty 50,68.66,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,50.4,Improving
Nifty 50,68.66,2026-05-15,MARICO,Marico Limited,NA,MID_CAP,841.15,0.74,1.18,13,65.3,76.6,9.4,STRONG_BULLISH,BUY,14,15,NA,55.39,NA,NA,NA,NA,NA,95,50.4,Improving
Nifty Pharma,67.48,2026-05-15,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1511.8,0.06,1.65,9.04,70,74.1,26.62,STRONG_BULLISH,BUY,18,10,NA,67.41,NA,NA,NA,NA,NA,47,69.1,Leadership
Nifty Pharma,67.48,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,69.1,Leadership
Nifty Pharma,67.48,2026-05-15,TORNTPHARM,Torrent Pharmaceuticals Limited,NA,LARGE_CAP,4405.7,0.04,0.57,6.01,68,66.1,4.41,STRONG_BULLISH,BUY,10,15,NA,56.67,NA,NA,NA,NA,NA,65,69.1,Leadership
Nifty Pharma,67.48,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,69.1,Leadership
Nifty Pharma,67.48,2026-05-15,DRREDDY,DRREDDY,NA,LARGE_CAP,1336.7,2.54,3.31,9.44,64.7,53.5,6.66,STRONG_BULLISH,HOLD,12,20,NA,NA,NA,NA,NA,NA,NA,107,69.1,Leadership
