SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Defence & Aerospace,72.28,17,BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,76,68.6,13.71,23,16,NA,STRONG_BULLISH,BUY
Defence & Aerospace,72.28,17,ASTRAMICRO,ASTRAMICRO,LARGE_CAP,1162.5,6.83,4.9,16.61,74,63.4,28.17,25,14,NA,STRONG_BULLISH,BUY
Defence & Aerospace,72.28,17,BELRISE,BELRISE,SMALL_CAP,227.94,2.62,6.53,19.91,70.7,66.7,24.5,21,10,NA,STRONG_BULLISH,BUY
Defence & Aerospace,72.28,17,MODEFENCE,MODEFENCE,MICRO_CAP,103.57,3.09,4.75,21.02,70.7,79.8,17.76,21,16,NA,STRONG_BULLISH,BUY
Defence & Aerospace,72.28,17,AEROFLEX,AEROFLEX,SMALL_CAP,413.6,19.99,35.53,68.34,70,76.2,81.48,25,8,NA,STRONG_BULLISH,BUY
Infrastructure,67.46,22,THERMAX,THERMAX,LARGE_CAP,4182.3,2.59,4.82,30.14,72.7,52.9,39.44,21,16,NA,STRONG_BULLISH,BUY
Infrastructure,67.46,22,JSWINFRA,JSWINFRA,SMALL_CAP,281.2,2.93,2.95,20.01,69.3,58.8,11.57,21,18,NA,BULLISH,BUY
Infrastructure,67.46,22,ABB,ABB,LARGE_CAP,7188,0.08,-1.05,14.66,65.3,60.1,26.03,18,11,NA,STRONG_BULLISH,BUY
Infrastructure,67.46,22,BHEL,BHEL,SMALL_CAP,406.45,5.31,17.98,60.28,65.3,89.8,60.5,21,14,NA,STRONG_BULLISH,BUY
Infrastructure,67.46,22,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Energy - Power,67.34,20,CGPOWER,CG Power and Industrial Solutions Limited,MID_CAP,859.1,3.64,4.06,23.81,73.3,76.3,23.69,25,16,NA,STRONG_BULLISH,BUY
Energy - Power,67.34,20,TDPOWERSYS,TDPOWERSYS,LARGE_CAP,1245.3,6.97,8.62,41.47,70,86.9,41.21,23,14,NA,STRONG_BULLISH,BUY
Energy - Power,67.34,20,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,64.7,59.1,10.59,16,12,NA,STRONG_BULLISH,HOLD
Energy - Power,67.34,20,BORORENEW,BORORENEW,MID_CAP,565.55,3.8,11.91,34.11,64.7,77.4,18.6,21,11,NA,BULLISH,HOLD
