SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK
Pharma & Healthcare,57.72,16,2026-05-11,LAURUSLABS,LAURUSLABS,NA,LARGE_CAP,1266.8,3.13,8.61,16.9,62,71.7,NA,STRONG_BULLISH,HOLD,16,10,NA,73.1,NA,NA,NA,NA,NA,4
Pharma & Healthcare,57.72,16,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18
Pharma & Healthcare,57.72,16,2026-05-11,GLENMARK,GLENMARK,NA,LARGE_CAP,2347.3,-0.81,-1.94,8.22,57.3,65.8,NA,STRONG_BULLISH,HOLD,12,10,NA,60.6,NA,NA,NA,NA,NA,18
Pharma & Healthcare,57.72,16,2026-05-11,TORNTPHARM,Torrent Pharmaceuticals Limited,NA,LARGE_CAP,4517.1,3.11,6.24,10.32,57.3,71.3,NA,STRONG_BULLISH,HOLD,11,16,NA,56.67,NA,NA,NA,NA,NA,18
Pharma & Healthcare,57.72,16,2026-05-11,NATCOPHARM,NATCOPHARM,NA,LARGE_CAP,1206,2.66,8.2,7.32,54.7,76.2,NA,STRONG_BULLISH,HOLD,16,4,NA,53.91,NA,NA,NA,NA,NA,26
Energy - Power,51.06,20,2026-05-11,TDPOWERSYS,TDPOWERSYS,NA,LARGE_CAP,1178.7,-3.35,1.39,34.32,54.7,69.5,NA,STRONG_BULLISH,HOLD,16,6,NA,53.43,NA,NA,NA,NA,NA,26
Energy - Power,51.06,20,2026-05-11,ARROWGREEN,ARROWGREEN,NA,MID_CAP,593.9,2.25,12.48,10.78,51.3,66.4,NA,STRONG_BEARISH,HOLD,14,8,NA,59.66,NA,NA,NA,NA,NA,50
Energy - Power,51.06,20,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64
Energy - Power,51.06,20,2026-05-11,POWERINDIA,POWERINDIA,NA,LARGE_CAP,33020,-2.9,-2.1,20.89,50,68.5,NA,STRONG_BULLISH,HOLD,15,6,NA,54.8,NA,NA,NA,NA,NA,64
Energy - Power,51.06,20,2026-05-11,CGPOWER,CG Power and Industrial Solutions Limited,NA,MID_CAP,858.1,-1.77,6.96,19.08,49.3,66.8,NA,STRONG_BULLISH,WEAK_HOLD,14,8,NA,55.37,NA,NA,NA,NA,NA,76
Metals & Mining,50.12,24,2026-05-11,COALINDIA,COALINDIA,NA,SMALL_CAP,464.45,1.76,-3.23,2.28,53.3,64.2,NA,STRONG_BULLISH,HOLD,9,12,NA,71.16,NA,NA,NA,NA,NA,35
Metals & Mining,50.12,24,2026-05-11,SAIL,Steel Authority of India Limited,NA,MICRO_CAP,180.72,-2.25,-2.92,10.63,52.7,65,NA,STRONG_BULLISH,HOLD,12,8,NA,50.86,NA,NA,NA,NA,NA,40
Metals & Mining,50.12,24,2026-05-11,WELCORP,Welspun Corp Limited,NA,LARGE_CAP,1329.3,2.89,7.3,39.98,49.3,89,NA,STRONG_BULLISH,WEAK_HOLD,15,14,NA,49.35,NA,NA,NA,NA,NA,76
Metals & Mining,50.12,24,2026-05-11,RATNAMANI,RATNAMANI,NA,LARGE_CAP,3046.2,6.16,12.41,31.27,48,90.7,NA,STRONG_BULLISH,WEAK_HOLD,18,14,NA,NA,NA,NA,NA,NA,NA,96
