SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Metals & Mining,71.74,21,2026-05-15,NATIONALUM,National Aluminium Company Limited,NA,SMALL_CAP,403.6,-3.09,0.41,-6.73,74,35.8,16.56,STRONG_BULLISH,BUY,13,12,NA,72.1,NA,NA,NA,NA,NA,25,53.1,Weakening
Metals & Mining,71.74,21,2026-05-15,COALINDIA,COALINDIA,NA,SMALL_CAP,462.2,1.79,1.27,6.81,73.3,53.7,10.07,STRONG_BULLISH,BUY,14,12,NA,71.16,NA,NA,NA,NA,NA,27,53.1,Weakening
Metals & Mining,71.74,21,2026-05-15,WELCORP,Welspun Corp Limited,NA,LARGE_CAP,1309,-4.28,1.32,21.53,70.7,66.4,61.36,STRONG_BULLISH,BUY,20,6,NA,49.35,NA,NA,NA,NA,NA,38,53.1,Weakening
Metals & Mining,71.74,21,2026-05-15,HINDALCO,Hindalco Industries Limited,NA,LARGE_CAP,1067.5,-3.24,2.21,2.65,70.7,53.9,18.19,STRONG_BULLISH,BUY,15,6,NA,52.87,NA,NA,NA,NA,NA,38,53.1,Weakening
Metals & Mining,71.74,21,2026-05-15,SAILIFE,SAILIFE,NA,LARGE_CAP,1090.9,-1.94,-2.21,12.19,70,63.9,12.03,STRONG_BULLISH,BUY,21,10,NA,NA,NA,NA,NA,NA,NA,47,53.1,Weakening
Energy - Power,69.72,21,2026-05-15,TDPOWERSYS,TDPOWERSYS,NA,LARGE_CAP,1311.3,10.75,7.52,35.08,84,73.3,47.91,STRONG_BULLISH,STRONG_BUY,25,14,NA,53.43,NA,NA,NA,NA,NA,2,62.4,Leadership
Energy - Power,69.72,21,2026-05-15,POWERINDIA,POWERINDIA,NA,LARGE_CAP,32535,0.76,-4.32,15.15,70,51.9,30.02,STRONG_BULLISH,BUY,20,6,NA,54.8,NA,NA,NA,NA,NA,47,62.4,Leadership
Energy - Power,69.72,21,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,62.4,Leadership
Energy - Power,69.72,21,2026-05-15,ARROWGREEN,ARROWGREEN,NA,SMALL_CAP,482.95,-4.71,-16.85,-13.97,65.3,40.8,22.4,BULLISH,BUY,16,4,NA,59.66,NA,NA,NA,NA,NA,95,62.4,Leadership
Energy - Power,69.72,21,2026-05-15,CGPOWER,CG Power and Industrial Solutions Limited,NA,MID_CAP,838.2,-1.18,-4.05,10.89,62,54.2,18.33,STRONG_BULLISH,HOLD,16,6,NA,55.37,NA,NA,NA,NA,NA,134,62.4,Leadership
Pharma & Healthcare,68.4,16,2026-05-15,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1511.8,0.06,1.65,9.04,70,74.1,26.62,STRONG_BULLISH,BUY,18,10,NA,67.41,NA,NA,NA,NA,NA,47,71.4,Leadership
Pharma & Healthcare,68.4,16,2026-05-15,LAURUSLABS,LAURUSLABS,NA,LARGE_CAP,1323.6,0.62,7.76,17.3,69.3,86.1,25.78,STRONG_BULLISH,BUY,20,6,NA,73.1,NA,NA,NA,NA,NA,53,71.4,Leadership
Pharma & Healthcare,68.4,16,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,71.4,Leadership
Pharma & Healthcare,68.4,16,2026-05-15,TORNTPHARM,Torrent Pharmaceuticals Limited,NA,LARGE_CAP,4405.7,0.04,0.57,6.01,68,66.1,4.41,STRONG_BULLISH,BUY,10,15,NA,56.67,NA,NA,NA,NA,NA,65,71.4,Leadership
Pharma & Healthcare,68.4,16,2026-05-15,BIOCON,Biocon Limited,NA,SMALL_CAP,430.1,2.65,13.07,22.62,66.7,94.5,13.08,STRONG_BULLISH,BUY,19,7,NA,58.99,NA,NA,NA,NA,NA,80,71.4,Leadership
Infrastructure,64,19,2026-05-15,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1379,-2.54,1.71,23.25,67.3,65.9,48.31,STRONG_BULLISH,BUY,23,6,NA,10,NA,NA,NA,NA,NA,72,60.9,Leadership
Infrastructure,64,19,2026-05-15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1795.1,1.22,1.97,15.83,66,73.8,20.77,STRONG_BULLISH,BUY,19,13,NA,10,NA,NA,NA,NA,NA,91,60.9,Leadership
