SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,56.0,68.6,,18,16,,STRONG_BULLISH,HOLD
ROSSTECH,ROSSTECH,SMALL_CAP,1043.05,8.63,3.67,36.15,54.7,61.7,,18,14,,STRONG_BULLISH,HOLD
ASTRAMICRO,ASTRAMICRO,LARGE_CAP,1162.5,6.83,4.9,16.61,54.0,63.4,,20,14,,STRONG_BULLISH,HOLD
GAEL,GAEL,MICRO_CAP,163.08,4.12,7.71,13.42,53.3,62.6,,18,12,,STRONG_BULLISH,HOLD
CGPOWER,CG Power and Industrial Solutions Limited,MID_CAP,859.1,3.64,4.06,23.81,53.3,76.3,,20,16,,STRONG_BULLISH,HOLD
HAPPYFORGE,HAPPYFORGE,SMALL_CAP,1412.2,4.31,8.52,16.82,53.3,64.8,,16,14,,STRONG_BULLISH,HOLD
HONASA,HONASA,SMALL_CAP,354.6,2.74,2.44,17.17,52.7,61.4,,13,16,,STRONG_BULLISH,HOLD
THERMAX,THERMAX,LARGE_CAP,4182.3,2.59,4.82,30.14,52.7,52.9,,16,16,,STRONG_BULLISH,HOLD
J&KBANK,J&KBANK,MICRO_CAP,139.63,2.0,3.71,19.5,52.7,60.2,,20,9,,STRONG_BULLISH,HOLD
PARAS,PARAS,MID_CAP,869.5,8.0,7.17,35.71,52.7,67.4,,18,14,,STRONG_BULLISH,HOLD
POLYCAB,POLYCAB,LARGE_CAP,9003.0,6.98,10.49,24.57,52.7,77.0,,18,14,,STRONG_BULLISH,HOLD
APEX,APEX,MID_CAP,501.3,6.92,5.51,31.77,52.0,70.0,,14,14,,STRONG_BULLISH,HOLD
UNIPARTS,UNIPARTS,MICRO_CAP,558.0,4.4,3.54,13.3,52.0,69.7,,16,12,,STRONG_BULLISH,HOLD
AVALON,AVALON,LARGE_CAP,1255.5,9.1,18.56,30.04,52.0,66.0,,20,8,,STRONG_BULLISH,HOLD
HINDCOPPER,Hindustan Copper Limited,MID_CAP,568.6,3.29,2.4,12.73,51.3,51.9,,13,14,,STRONG_BULLISH,HOLD
MOTHERSON,MOTHERSON,MICRO_CAP,130.43,2.37,5.83,20.28,51.3,59.8,,13,14,,STRONG_BULLISH,HOLD
BAJAJCON,BAJAJCON,MID_CAP,521.35,6.37,13.01,34.39,51.3,73.5,,16,14,,STRONG_BULLISH,HOLD
DLINKINDIA,DLINKINDIA,MICRO_CAP,465.7,3.1,2.22,15.3,51.3,68.5,,12,18,,STRONG_BULLISH,HOLD
SKYGOLD,SKYGOLD,SMALL_CAP,497.05,3.77,8.4,34.59,51.3,75.3,,18,12,,STRONG_BULLISH,HOLD
CEIGALL,CEIGALL,SMALL_CAP,366.15,6.13,8.28,31.57,51.3,86.9,,20,14,,STRONG_BULLISH,HOLD
LINDEINDIA,LINDEINDIA,LARGE_CAP,7847.5,3.6,7.39,10.59,51.3,78.1,,16,14,,STRONG_BULLISH,HOLD
KPIL,KPIL,SMALL_CAP,1297.9,1.37,2.66,18.81,50.7,68.8,,16,13,,STRONG_BULLISH,HOLD
BELRISE,BELRISE,SMALL_CAP,227.94,2.62,6.53,19.91,50.7,66.7,,16,10,,STRONG_BULLISH,HOLD
MODEFENCE,MODEFENCE,MICRO_CAP,103.57,3.09,4.75,21.02,50.7,79.8,,16,16,,STRONG_BULLISH,HOLD
DCXINDIA,DCXINDIA,SMALL_CAP,220.92,6.59,10.82,30.07,50.7,73.1,,18,14,,STRONG_BULLISH,HOLD
ASHIANA,ASHIANA,MICRO_CAP,373.5,8.56,9.82,20.39,50.7,77.8,,18,14,,STRONG_BULLISH,HOLD
BANSALWIRE,BANSALWIRE,MICRO_CAP,326.35,4.67,6.77,28.63,50.0,62.0,,18,14,,BULLISH,HOLD
BHARATGEAR,BHARATGEAR,MICRO_CAP,117.25,4.45,8.27,23.62,50.0,56.2,,15,14,,STRONG_BULLISH,HOLD
ANURAS,ANURAS,LARGE_CAP,1367.0,0.49,5.58,9.88,50.0,75.4,,13,15,,STRONG_BULLISH,HOLD
BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,10605.0,2.77,11.12,17.19,50.0,70.6,,16,12,,STRONG_BULLISH,HOLD
MENONBE,MENONBE,MICRO_CAP,137.02,6.64,12.41,24.33,50.0,63.8,,16,12,,STRONG_BULLISH,HOLD
DMCC,DMCC,MICRO_CAP,312.4,8.17,9.55,50.45,50.0,61.9,,18,14,,BULLISH,HOLD
KARURVYSYA,Karur Vysya Bank Limited,SMALL_CAP,313.55,2.74,5.38,19.65,50.0,72.9,,13,18,,STRONG_BULLISH,HOLD
