"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN"
130,"CREDITACC","CREDITACCESS GRAMEEN LTD","MID_CAP",1399.9,4.24,0.09,12.91,81.3,64.4,"STRONG_BULLISH",26.38,20,18,15,53.16,50.22,47,57.11,66,1112580750.2,"STRONG_BUY","2025-08-29",1,0.813,1,0.9252,0.94016,0.27756,10,1.58787185354691
419,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",143.7,7.23,4.32,6.85,80.7,61.9,"BULLISH",13.69,16,18,25,71.65,75.43,86,59.55,53.75,248528655.39,"STRONG_BUY","2025-08-29",1,0.807,0.7,0.8328,0.86624,0.24984,9,0.93502994011976
650,"BALAJEE","SHREE TIRUPATI BALAJEE L","MICRO_CAP",58.22,13.05,13.03,12.5,78.7,71.5,"STRONG_BULLISH",31.37,20,12,20,61.51,67.61,60,56.82,54,105889645.13,"BUY","2025-08-29",0.7,0.787,1,0.8248,0.85984,0.16496,9,0.599418604651163
746,"AARVI","AARVI ENCON LIMITED","MICRO_CAP",128.83,10.38,6,22.61,75.3,67.8,"STRONG_BULLISH",20.95,18,16,10,42.4,45.4,47.5,54.35,10,77236974.51,"BUY","2025-08-29",1,0.753,1,0.9012,0.92096,0.18024,10,0.906639839034205
68,"BOSCHLTD","BOSCH LIMITED","MID_CAP",39960,1.87,1.61,-0.25,74.7,61.3,"STRONG_BULLISH",26.95,11,17,15,53.48,51.96,47,57.5,63,1842288465,"BUY","2025-08-29",1,0.747,1,0.8988,0.91904,0.17976,10,0.893439363817098
228,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",516.05,6.84,5.57,-5.12,73.3,52.9,"BULLISH",36.21,13,16,15,52.76,51.96,47,58.41,57,554925000.8,"BUY","2025-08-29",1,0.733,1,0.8932,0.91456,0.17864,10,0.863829787234043
6,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",262.79,8.38,11.75,53.12,72.7,81.5,"STRONG_BULLISH",36.97,20,12,15,54.74,51.67,59,56.14,54,13533045652.41,"BUY","2025-08-29",0.3,0.727,1,0.6808,0.74464,0.13616,8,0.324809160305344
100,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",450.15,4.64,7.88,30.18,72.7,72.1,"BULLISH",42.64,16,14,20,63.36,53.7,85,53.64,66,1395608092.35,"BUY","2025-08-29",0.7,0.727,1,0.8008,0.84064,0.16016,9,0.535294117647059
194,"CHOICEIN","CHOICE INTERNATIONAL LTD","SMALL_CAP",796,-0.09,-0.9,6.97,72.7,59.6,"STRONG_BULLISH",18.52,14,12,15,54.36,51.52,55,55,60,717351004.8,"BUY","2025-08-29",1,0.727,0.7,0.8008,0.84064,0.16016,9,0.535294117647059
621,"ASIANENE","ASIAN ENERGY SERVICES LTD","MICRO_CAP",369.15,2.34,8.91,14.66,72.7,65,"STRONG_BULLISH",28.57,15,5,25,75.48,78.33,94,62.75,54,119246440.2,"BUY","2025-08-29",1,0.727,1,0.8908,0.91264,0.17816,10,0.851625239005736
358,"ARVINDFASN","ARVIND FASHIONS LIMITED","MICRO_CAP",519.7,1.19,-0.33,-5.09,71.3,52.7,"BULLISH",10.33,11,17,15,50.43,47.61,47,55.45,57,323535265.95,"BUY","2025-08-29",1,0.713,0.7,0.7952,0.83616,0.15904,9,0.521784776902887
163,"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","SMALL_CAP",50.03,17.61,12.86,38.2,70.7,76,"BULLISH",50.77,20,12,15,55.94,62.61,56,55.71,38.33,904211021.62,"BUY","2025-08-29",0.7,0.707,1,0.7928,0.83424,0.15856,9,0.516145833333333
500,"DEEPINDS","DEEP INDUSTRIES LIMITED","MICRO_CAP",536.9,-0.83,-2.59,13.07,70.7,56.1,"STRONG_BULLISH",29.46,15,8,20,62.64,63.48,74.6,58,46.67,179330815.35,"BUY","2025-08-29",1,0.707,1,0.8828,0.90624,0.17656,10,0.812891344383057
7,"CGPOWER","CG POWER AND IND SOL LTD","LARGE_CAP",694.3,4.56,2.13,5.14,70,60.6,"BULLISH",5.09,11,18,15,55.37,53.04,51,57.5,66,10027894012.85,"BUY","2025-08-29",1,0.7,0.5,0.73,0.784,0.146,8,0.394594594594595
132,"CARTRADE","CARTRADE TECH LIMITED","MID_CAP",2398,5.57,2.19,14.69,70,61.3,"STRONG_BULLISH",45.68,15,11,15,52.67,50.65,47,54.55,65,1071764775.7,"BUY","2025-08-29",1,0.7,1,0.88,0.904,0.176,10,0.8
142,"DALBHARAT","DALMIA BHARAT LIMITED","MID_CAP",2401.5,2.13,3.23,7.23,70,71,"STRONG_BULLISH",20.78,12,12,20,68.15,73.7,76,57.73,54.17,1014692939.7,"BUY","2025-08-29",0.7,0.7,1,0.79,0.832,0.158,9,0.509677419354839
389,"AJAXENGG","AJAX ENGINEERING LIMITED","MICRO_CAP",719.3,5.12,5.8,6.86,70,60.8,"STRONG_BULLISH",22.96,16,20,0,10,10,10,10,10,283450521.85,"BUY","2025-08-29",1,0.7,1,0.88,0.904,0.176,10,0.8
575,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",234.42,0.03,3.49,2.51,69.3,59.3,"STRONG_BULLISH",38.83,12,8,20,61.4,60.24,65,60.25,60,139534150.97,"BUY","2025-08-29",1,0.693,1,0.8772,0.90176,0.17544,10,0.787432675044883
5,"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","LARGE_CAP",11003.5,3.87,4.14,17.18,68.7,61.1,"STRONG_BULLISH",38.52,20,14,0,NA,NA,NA,NA,NA,15324116039,"BUY","2025-08-29",1,0.687,1,0.8748,0.89984,0.17496,10,0.776909413854352
59,"DABUR","DABUR INDIA LTD","MID_CAP",521.1,1.41,1,-0.17,68.7,53.3,"STRONG_BULLISH",14.4,9,15,15,51.29,50.22,47,54.77,56.67,1946795378.45,"BUY","2025-08-29",1,0.687,0.7,0.7848,0.82784,0.15696,9,0.497969543147208
149,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","MID_CAP",636.75,3.44,-1.16,37.53,68.7,69.8,"STRONG_BULLISH",52.7,15,14,20,62.86,66.96,62,58.64,59,960972145.95,"BUY","2025-08-29",1,0.687,1,0.8748,0.89984,0.17496,10,0.776909413854352
24,"NAVA","NAVA LIMITED","LARGE_CAP",687.6,4.79,2.34,12.7,67.3,67.9,"STRONG_BULLISH",28.18,20,12,0,NA,NA,NA,NA,NA,3593435683.45,"BUY","2025-08-29",1,0.673,1,0.8692,0.89536,0.17384,10,0.753206239168111
80,"GARUDA","GARUDA CONSTRUCT N ENG L","MID_CAP",216.33,9.66,12.53,11.65,67.3,66.1,"STRONG_BULLISH",77.17,20,12,0,NA,NA,NA,NA,NA,1628760604.08,"BUY","2025-08-29",1,0.673,1,0.8692,0.89536,0.17384,10,0.753206239168111
377,"BLUESTARCO","BLUE STAR LIMITED","MICRO_CAP",1881.7,0.09,-1.99,7.24,67.3,58,"STRONG_BULLISH",18.91,11,12,25,72.84,74.35,86,58.5,66,297460188.9,"BUY","2025-08-29",1,0.673,0.7,0.7792,0.82336,0.15584,9,0.485785536159601
29,"LTF","L&T FINANCE LIMITED","LARGE_CAP",217.16,0.33,-2.49,6.76,66.7,60.2,"STRONG_BULLISH",18.62,16,15,0,NA,NA,NA,NA,NA,3366873217.53,"BUY","2025-08-29",1,0.667,0.7,0.7768,0.82144,0.15536,9,0.480693069306931
