"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
148,"BLISSGVS","BLISS GVS PHARMA LTD","MID_CAP",203.6,0,17.84,16.15,80.7,68.2,"STRONG_BULLISH",30.59,20,12,20,66.8,73.48,70,56.82,57,1795764159.75,"STRONG_BUY",2026-02-09
6,"BSE","BSE LIMITED","LARGE_CAP",2985.1,0,10.49,11.82,76,63.4,"STRONG_BULLISH",12.89,14,16,20,61.34,64.35,60,57.05,61.25,16245423699.2,"BUY",2026-02-09
565,"CARRARO","CARRARO INDIA LIMITED","MICRO_CAP",573.9,0,15.62,6.83,74.7,63.2,"BULLISH",11.29,14,12,20,61.57,57.17,71,57.5,63,203801585.35,"BUY",2026-02-09
91,"BLUESTARCO","BLUE STAR LIMITED","MID_CAP",1937,0,5.37,7.53,74,67.4,"BULLISH",8.81,12,12,25,72.84,74.35,86,58.5,66,2660377190.3,"BUY",2026-02-09
668,"CANTABIL","CANTABIL RETAIL LTD","MICRO_CAP",297.5,0,2.22,3.77,70.7,56.7,"STRONG_BULLISH",19.57,14,8,20,60.3,66.09,56,56.59,57,143288207.75,"BUY",2026-02-09
10,"TATASTEEL","TATA STEEL LIMITED","LARGE_CAP",202,0,7.16,13.23,70,65.3,"STRONG_BULLISH",11.57,18,18,0,NA,NA,NA,NA,NA,13918269579.09,"BUY",2026-02-09
130,"ASHOKLEY","ASHOK LEYLAND LTD","MID_CAP",205.8,0,5.86,9.61,68,76,"STRONG_BULLISH",40.92,15,11,25,71.08,74.57,82,59.41,59.17,1976359055.78,"BUY",2026-02-09
308,"ARVIND","ARVIND LIMITED","MICRO_CAP",387.6,0,18.75,30.95,67.3,76.8,"BULLISH",19.22,16,12,15,57.39,51.96,61,57.27,66,653230025.75,"BUY",2026-02-09
954,"CONSOFINVT","CONSO. FIN. & HOLD. LTD.","MICRO_CAP",225.25,0,14.92,40.55,67.3,76.8,"BULLISH",27.15,20,4,20,62.98,75.79,56,50.59,57,26324977.74,"BUY",2026-02-09
1,"SBIN","STATE BANK OF INDIA","LARGE_CAP",1146,0,11.4,14.54,66.7,73.3,"STRONG_BULLISH",20.21,20,14,0,NA,NA,NA,NA,NA,46346694652.1,"BUY",2026-02-09
101,"BANKINDIA","BANK OF INDIA","MID_CAP",168.41,0,11.04,15.33,66.7,62,"STRONG_BULLISH",15.73,13,13,15,52.66,50.71,47,55.88,63,2438003462.18,"BUY",2026-02-09
312,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",380.15,0,9.19,36.18,66.7,80,"STRONG_BULLISH",35.23,15,14,20,61.4,60.24,65,60.25,60,641097329.55,"BUY",2026-02-09
340,"JAMNAAUTO","JAMNA AUTO IND LTD","MICRO_CAP",135.14,0,10.77,5.18,66,62.4,"STRONG_BULLISH",37.82,16,14,0,NA,NA,NA,NA,NA,557663149.6,"BUY",2026-02-09
52,"JKTYRE","JK TYRE & INDUSTRIES LTD","MID_CAP",555.85,0,5.98,9.74,65.3,71.6,"STRONG_BULLISH",22.74,18,14,0,NA,NA,NA,NA,NA,3785555275.05,"BUY",2026-02-09
81,"AVANTIFEED","AVANTI FEEDS LIMITED","MID_CAP",1103.8,0,37.97,37.3,64.7,73.7,"STRONG_BULLISH",50.42,16,5,20,60,68.81,56,59.25,44.17,2865022231.15,"HOLD",2026-02-09
249,"APEX","APEX FROZEN FOODS LIMITED","SMALL_CAP",380.95,0,29.75,46.55,64.7,68.9,"STRONG_BULLISH",39.56,16,12,15,57.85,71.74,64,58.27,10,883712837.6,"HOLD",2026-02-09
181,"BANDHANBNK","BANDHAN BANK LIMITED","SMALL_CAP",162.07,0,9.09,12.53,64,66.6,"BULLISH",7.37,9,15,20,65.58,70.71,70,56.47,56.67,1405445722.82,"HOLD",2026-02-09
478,"CEIGALL","CEIGALL INDIA LIMITED","MICRO_CAP",286.3,0,5.84,5.28,64,64.9,"BULLISH",14.88,14,2,15,52.84,53.04,47,56.59,57,304008808.65,"HOLD",2026-02-09
939,"DDEVPLSTIK","DDEV PLASTIKS IND LTD","MICRO_CAP",305.45,0,6.65,2.53,64,59.6,"BULLISH",7.93,6,18,15,52.26,49.57,51,55.68,57,32114253.7,"HOLD",2026-02-09
144,"AUBANK","AU SMALL FINANCE BANK LTD","MID_CAP",1005.3,0,4.15,0.61,63.3,58,"BULLISH",13.03,9,15,15,55,51.19,55,57.35,62,1876900450.1,"HOLD",2026-02-09
150,"BHARATFORG","BHARAT FORGE LTD","MID_CAP",1590.4,0,10.16,10.1,63.3,68.5,"STRONG_BULLISH",13.43,12,14,15,54.83,55.22,53,56.82,54.17,1785246829.2,"HOLD",2026-02-09
92,"NAVINFLUOR","NAVIN FLUORINE INT. LTD","MID_CAP",6598,0,11.81,15.78,62.7,68.2,"STRONG_BULLISH",9.53,14,14,0,NA,NA,NA,NA,NA,2594218842,"HOLD",2026-02-09
117,"GRAPHITE","GRAPHITE INDIA LTD","MID_CAP",637.3,0,5.94,1.41,62.7,53.9,"STRONG_BULLISH",11.84,13,12,0,NA,NA,NA,NA,NA,2101989033.65,"HOLD",2026-02-09
242,"APOLLOPIPE","APOLLO PIPES LIMITED","SMALL_CAP",332.35,0,28.32,10.2,62.7,69.1,"STRONG_BEARISH",11.86,18,2,15,55.88,55.87,53,58.64,57,904647116.5,"HOLD",2026-02-09
311,"MEDPLUS","MEDPLUS HEALTH SERV LTD","MICRO_CAP",870.45,0,6.05,6.46,62.7,63.3,"STRONG_BULLISH",14.58,16,9,0,NA,NA,NA,NA,NA,644775067,"HOLD",2026-02-09
453,"MBAPL","MADHYA BHARAT AGRO P. LTD","MICRO_CAP",452.55,0,8.85,13.01,62.7,70.8,"BULLISH",11.54,16,16,0,NA,NA,NA,NA,NA,323657738.6,"HOLD",2026-02-09
865,"MUTHOOTMF","MUTHOOT MICROFIN LIMITED","MICRO_CAP",188.57,0,8.75,4.41,62.7,59,"BULLISH",13.42,12,16,0,NA,NA,NA,NA,NA,53420710.41,"HOLD",2026-02-09
29,"INDUSINDBK","INDUSIND BANK LIMITED","LARGE_CAP",927.9,0,1.94,5.17,62,59.9,"BULLISH",12.32,12,20,0,NA,NA,NA,NA,NA,6354621640.35,"HOLD",2026-02-09
134,"COALINDIA","COAL INDIA LTD","MID_CAP",431.7,0,1.94,3.19,62,55,"STRONG_BULLISH",12.77,9,6,25,71.16,75.65,82,61.36,54.17,1947786149.4,"HOLD",2026-02-09
234,"KTKBANK","KARNATAKA BANK LIMITED","SMALL_CAP",206.88,0,15.31,10.27,61.3,65.4,"BULLISH",16.56,14,12,0,NA,NA,NA,NA,NA,962829193.76,"HOLD",2026-02-09
301,"STYLEBAAZA","BAAZAR STYLE RETAIL LTD","MICRO_CAP",354.9,0,12.79,48.34,61.3,64.6,"BULLISH",13.86,13,14,0,NA,NA,NA,NA,NA,663974913.55,"HOLD",2026-02-09
